variant,backbone,completed_rows,total_rows,mean_mse,mean_mae,mean_mse_delta_pct_vs_raw,mean_mae_delta_pct_vs_raw,blocked_rows
future_center_horizon_conservative,DLinear,8,8,5.654910424421468,1.8086466904437828,-27.58537400247382,-15.782781240300087,0
future_center_horizon_conservative,PatchTST,8,8,5.841037693164186,1.8532241105756713,0.014842828222198429,0.12476136051919509,0
future_center_horizon_selector,DLinear,8,8,5.6395135034586,1.8040404168510333,-27.856965132686923,-16.034343919349066,0
future_center_horizon_selector,PatchTST,8,8,5.825653861970141,1.8493616432611126,-0.26696848146724134,-0.12239931410198715,0
future_center_selector,DLinear,8,8,5.648922074387425,1.8056805920488777,-27.76531025808861,-15.967397357651787,0
future_center_selector,PatchTST,8,8,5.815322895714727,1.847592314094849,-0.4722183744035747,-0.21845342328097167,0
raw_no_correction,DLinear,8,8,9.180323123453949,2.2483446980850332,0.0,0.0,0
raw_no_correction,PatchTST,8,8,5.844938262863285,1.8516697711273498,0.0,0.0,0
unified_revin_rdn_hybrid,DLinear,8,8,5.655497250632147,1.8081324433262052,-27.567475740429863,-15.808043899286229,0
unified_revin_rdn_hybrid,PatchTST,8,8,5.825162314542845,1.8498515115411975,-0.29072934136697576,-0.08577329750233026,0
future_center_horizon_conservative,ALL,16,16,5.747974058792826,1.8309354005097271,-13.785265587125812,-7.8290099398904465,0
future_center_horizon_selector,ALL,16,16,5.73258368271437,1.8267010300560726,-14.061966807077077,-8.078371616725526,0
future_center_selector,ALL,16,16,5.732122485051077,1.8266364530718633,-14.118764316246093,-8.09292539046638,0
raw_no_correction,ALL,16,16,7.512630693158616,2.0500072346061917,0.0,0.0,0
unified_revin_rdn_hybrid,ALL,16,16,5.740329782587495,1.8289919774337011,-13.92910254089842,-7.94690859839428,0
