variant,backbone,completed_rows,total_rows,mean_mse,mean_mae,mean_mse_delta_pct_vs_raw,mean_mae_delta_pct_vs_raw,blocked_rows
future_center_horizon_residual_gate,DLinear,8,8,5.649340943364515,1.8068383417939553,-27.699462310677944,-15.884515826328553,0
future_center_horizon_residual_gate,PatchTST,8,8,5.835552123261706,1.8508271076267013,-0.1214894210808394,-0.04051816933516393,0
future_center_horizon_residual_gate_strong,DLinear,8,8,5.654428171054372,1.8063782926994227,-27.640033560142186,-15.919607825137193,0
future_center_horizon_residual_gate_strong,PatchTST,8,8,5.824440850461398,1.849295133685437,-0.26593603946781685,-0.11134505238372641,0
future_center_horizon_selector,DLinear,8,8,5.6395135034586,1.8040404168510333,-27.856965132686923,-16.034343919349066,0
future_center_horizon_selector,PatchTST,8,8,5.825653861970141,1.8493616432611126,-0.26696848146724134,-0.12239931410198715,0
future_center_selector,DLinear,8,8,5.648922074387425,1.8056805920488777,-27.76531025808861,-15.967397357651787,0
future_center_selector,PatchTST,8,8,5.815322895714727,1.847592314094849,-0.4722183744035747,-0.21845342328097167,0
raw_no_correction,DLinear,8,8,9.180323123453949,2.2483446980850332,0.0,0.0,0
raw_no_correction,PatchTST,8,8,5.844938262863285,1.8516697711273498,0.0,0.0,0
unified_revin_rdn_hybrid,DLinear,8,8,5.655497250632147,1.8081324433262052,-27.567475740429863,-15.808043899286229,0
unified_revin_rdn_hybrid,PatchTST,8,8,5.825162314542845,1.8498515115411975,-0.29072934136697576,-0.08577329750233026,0
future_center_horizon_residual_gate,ALL,16,16,5.74244653331311,1.8288327247103284,-13.910475865879393,-7.962516997831858,0
future_center_horizon_residual_gate_strong,ALL,16,16,5.739434510757885,1.82783671319243,-13.952984799805,-8.015476438760459,0
future_center_horizon_selector,ALL,16,16,5.73258368271437,1.8267010300560726,-14.061966807077077,-8.078371616725526,0
future_center_selector,ALL,16,16,5.732122485051077,1.8266364530718633,-14.118764316246093,-8.09292539046638,0
raw_no_correction,ALL,16,16,7.512630693158616,2.0500072346061917,0.0,0.0,0
unified_revin_rdn_hybrid,ALL,16,16,5.740329782587495,1.8289919774337011,-13.92910254089842,-7.94690859839428,0
