variant,backbone,completed_rows,total_rows,mean_mse,mean_mae,mean_mse_delta_pct_vs_raw,mean_mae_delta_pct_vs_raw,blocked_rows
future_center_residual_shift,DLinear,8,8,5.651895012833654,1.8076002611697597,-27.630665764226016,-15.838311399903262,0
future_center_residual_shift,PatchTST,8,8,5.8229405318929235,1.8489298098726235,-0.3088563985084405,-0.13686254733354936,0
future_center_residual_shift_cap015,DLinear,8,8,5.65162723737706,1.807450929153161,-27.615850662417145,-15.834009837191065,0
future_center_residual_shift_cap015,PatchTST,8,8,5.85318406620524,1.8523637387824528,0.007926316587418353,-0.008174526320788134,0
future_center_selector,DLinear,8,8,5.648922074387425,1.8056805920488777,-27.76531025808861,-15.967397357651787,0
future_center_selector,PatchTST,8,8,5.815322895714727,1.847592314094849,-0.4722183744035747,-0.21845342328097167,0
raw_no_correction,DLinear,8,8,9.180323123453949,2.2483446980850332,0.0,0.0,0
raw_no_correction,PatchTST,8,8,5.844938262863285,1.8516697711273498,0.0,0.0,0
unified_revin_rdn_hybrid,DLinear,8,8,5.655497250632147,1.8081324433262052,-27.567475740429863,-15.808043899286229,0
unified_revin_rdn_hybrid,PatchTST,8,8,5.825162314542845,1.8498515115411975,-0.29072934136697576,-0.08577329750233026,0
future_center_residual_shift,ALL,16,16,5.737417772363288,1.8282650355211916,-13.969761081367228,-7.987586973618406,0
future_center_residual_shift_cap015,ALL,16,16,5.752405651791149,1.8299073339678067,-13.803962172914863,-7.9210921817559266,0
future_center_selector,ALL,16,16,5.732122485051077,1.8266364530718633,-14.118764316246093,-8.09292539046638,0
raw_no_correction,ALL,16,16,7.512630693158616,2.0500072346061917,0.0,0.0,0
unified_revin_rdn_hybrid,ALL,16,16,5.740329782587495,1.8289919774337011,-13.92910254089842,-7.94690859839428,0
