dataset,backbone,horizon,seq_len,epochs,batch_size,learning_rate,max_train_windows,max_eval_windows,device,n_val,n_test,prediction_path,adapter_mode,test_threshold_leakage,mse,mae,variant,method,model_label,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,status,blocker_reason,tail_len,learned_params
ETTm1,DLinear,96,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTm1_DLinear_96_raw_no_correction.jsonl,raw_backbone,False,2.9249793286967134,1.2792347499378551,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
ETTm1,DLinear,192,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTm1_DLinear_192_raw_no_correction.jsonl,raw_backbone,False,4.373015713369047,1.583073405546662,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
ETTm1,DLinear,336,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTm1_DLinear_336_raw_no_correction.jsonl,raw_backbone,False,6.192431161070777,1.8536489646767311,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
ETTm1,DLinear,720,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTm1_DLinear_720_raw_no_correction.jsonl,raw_backbone,False,8.91422795007734,2.2441130891350984,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
ETTm1,PatchTST,96,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTm1_PatchTST_96_raw_no_correction.jsonl,raw_backbone,False,2.4161946400770695,1.161643884034947,raw_no_correction,raw_no_correction,PatchTST+raw_no_correction,0.0,0.0,completed,,,
ETTm1,PatchTST,192,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTm1_PatchTST_192_raw_no_correction.jsonl,raw_backbone,False,3.685686445487219,1.465864462399388,raw_no_correction,raw_no_correction,PatchTST+raw_no_correction,0.0,0.0,completed,,,
ETTm1,PatchTST,336,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTm1_PatchTST_336_raw_no_correction.jsonl,raw_backbone,False,4.8352312872783605,1.6915874016662136,raw_no_correction,raw_no_correction,PatchTST+raw_no_correction,0.0,0.0,completed,,,
ETTm1,PatchTST,720,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTm1_PatchTST_720_raw_no_correction.jsonl,raw_backbone,False,6.841237311728141,2.0019594858430363,raw_no_correction,raw_no_correction,PatchTST+raw_no_correction,0.0,0.0,completed,,,
ETTh1,DLinear,96,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTh1_DLinear_96_raw_no_correction.jsonl,raw_backbone,False,5.283091798638298,1.7096637248462485,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
ETTh1,DLinear,192,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTh1_DLinear_192_raw_no_correction.jsonl,raw_backbone,False,6.99427793464118,1.9875975575877096,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
ETTh1,DLinear,336,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTh1_DLinear_336_raw_no_correction.jsonl,raw_backbone,False,8.737771133315276,2.293415417108299,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
ETTh1,DLinear,720,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTh1_DLinear_720_raw_no_correction.jsonl,raw_backbone,False,16.76894689531753,3.3919717189141596,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
ETTh1,PatchTST,96,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTh1_PatchTST_96_raw_no_correction.jsonl,raw_backbone,False,4.676158386023476,1.6454042400307012,raw_no_correction,raw_no_correction,PatchTST+raw_no_correction,0.0,0.0,completed,,,
ETTh1,PatchTST,192,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTh1_PatchTST_192_raw_no_correction.jsonl,raw_backbone,False,6.286665152768866,1.9136905281130179,raw_no_correction,raw_no_correction,PatchTST+raw_no_correction,0.0,0.0,completed,,,
ETTh1,PatchTST,336,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTh1_PatchTST_336_raw_no_correction.jsonl,raw_backbone,False,7.303855184969872,2.1256462674738774,raw_no_correction,raw_no_correction,PatchTST+raw_no_correction,0.0,0.0,completed,,,
ETTh1,PatchTST,720,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main_raw\ETTh1_PatchTST_720_raw_no_correction.jsonl,raw_backbone,False,7.866246424074964,2.209563790682499,raw_no_correction,raw_no_correction,PatchTST+raw_no_correction,0.0,0.0,completed,,,
ETTm1,DLinear,96,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_DLinear_96_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,2.3899670838155522,1.1454051059937278,unified_revin_rdn_hybrid,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-unified_revin_rdn_hybrid,-18.291146184597046,-10.461695474628776,completed,,48,"{""beta"": 0.7015297412872314, ""gamma"": 0.3632005751132965}"
ETTm1,DLinear,96,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_DLinear_96_lrbn_nst_feature_gate.jsonl,learnable_reversible_boundary_normalization,False,2.39054070532822,1.1452233281213842,lrbn_nst_feature_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-lrbn_nst_feature_gate,-18.27153505411691,-10.475905366312258,completed,,48,"{""lrbn_branch.beta"": 0.7029753923416138, ""lrbn_branch.gamma"": 0.3619692325592041}"
ETTm1,DLinear,96,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_DLinear_96_lrbn_nst_conservative_gate.jsonl,learnable_reversible_boundary_normalization,False,2.390388284805147,1.144478052276373,lrbn_nst_conservative_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-lrbn_nst_conservative_gate,-18.276746048997364,-10.534164872243243,completed,,48,"{""lrbn_branch.beta"": 0.7015257477760315, ""lrbn_branch.gamma"": 0.3630343973636627}"
ETTm1,DLinear,192,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_DLinear_192_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,3.6307834269671804,1.448348496184548,unified_revin_rdn_hybrid,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-unified_revin_rdn_hybrid,-16.973007531912984,-8.510338742984006,completed,,48,"{""beta"": 0.70097416639328, ""gamma"": 0.36288681626319885}"
ETTm1,DLinear,192,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_DLinear_192_lrbn_nst_feature_gate.jsonl,learnable_reversible_boundary_normalization,False,3.6273013738220627,1.447682602319932,lrbn_nst_feature_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-lrbn_nst_feature_gate,-17.052633432512255,-8.552402102919364,completed,,48,"{""lrbn_branch.beta"": 0.7025028467178345, ""lrbn_branch.gamma"": 0.36358293890953064}"
ETTm1,DLinear,192,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_DLinear_192_lrbn_nst_conservative_gate.jsonl,learnable_reversible_boundary_normalization,False,3.623237121334664,1.4472238996440288,lrbn_nst_conservative_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-lrbn_nst_conservative_gate,-17.14557278498184,-8.581377554992283,completed,,48,"{""lrbn_branch.beta"": 0.701287031173706, ""lrbn_branch.gamma"": 0.3622308075428009}"
ETTm1,DLinear,336,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_DLinear_336_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,4.775155377420925,1.6832386061097033,unified_revin_rdn_hybrid,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-unified_revin_rdn_hybrid,-22.88722711299031,-9.193237868354792,completed,,48,"{""beta"": 0.7006206512451172, ""gamma"": 0.3630618453025818}"
ETTm1,DLinear,336,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_DLinear_336_lrbn_nst_feature_gate.jsonl,learnable_reversible_boundary_normalization,False,4.778038350055965,1.6843404575098022,lrbn_nst_feature_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-lrbn_nst_feature_gate,-22.840670719224264,-9.133795577980733,completed,,48,"{""lrbn_branch.beta"": 0.7019270658493042, ""lrbn_branch.gamma"": 0.36364051699638367}"
ETTm1,DLinear,336,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_DLinear_336_lrbn_nst_conservative_gate.jsonl,learnable_reversible_boundary_normalization,False,4.77308629153847,1.682557353920105,lrbn_nst_conservative_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-lrbn_nst_conservative_gate,-22.92064025604571,-9.229989820994167,completed,,48,"{""lrbn_branch.beta"": 0.7015213966369629, ""lrbn_branch.gamma"": 0.3627389371395111}"
ETTm1,DLinear,720,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_DLinear_720_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,6.661526302152927,1.9843149279542562,unified_revin_rdn_hybrid,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-unified_revin_rdn_hybrid,-25.270855317367875,-11.57687473232335,completed,,48,"{""beta"": 0.7009667754173279, ""gamma"": 0.36193227767944336}"
