slice_type,slice_name,count,mean_A,A_gt_1_rate,mean_cos,mean_delta_vs_lrbn,harm_rate
post_lrbn_gap_quantile,q1_low,173,35.223713661493704,0.4913294797687861,-0.008208255470758579,-0.002656532782088258,0.5086705202312138
post_lrbn_gap_quantile,q2,213,2.680944328829355,0.5539906103286385,0.14301553984743287,-0.16070354918035853,0.4460093896713615
post_lrbn_gap_quantile,q3,188,2.166717699090779,0.5904255319148937,0.20326389927142616,-0.17241985155778466,0.4095744680851064
post_lrbn_gap_quantile,q4_high,194,-0.9290422353854577,0.6649484536082474,0.3685449510247812,-0.6444921700032566,0.33505154639175255
repair_ratio_bin,0-0.3,130,4.607150912284403,0.5538461538461539,0.22390823408141788,-0.40345535975571023,0.4461538461538462
repair_ratio_bin,0.3-0.7,183,3.565627019076532,0.6229508196721312,0.2312782662092707,-0.32514762675853415,0.3770491803278688
repair_ratio_bin,<0,339,0.47413970993400145,0.5870206489675516,0.19549054016896883,-0.23731034118286068,0.41297935103244837
repair_ratio_bin,>0.7,116,47.23861736627367,0.5,0.009054561109796204,0.0022721457399215946,0.5
conflict_cosine_bin,<-0.2,200,-4.565327124843592,0.575,0.17447729860867864,-0.10376030620178725,0.425
conflict_cosine_bin,>0.2,187,46.20950996623453,0.5882352941176471,0.20060360498140611,-0.44053848913153903,0.4117647058823529
conflict_cosine_bin,"[-0.2,0.2]",381,-2.1949097099049593,0.5721784776902887,0.17413459711191331,-0.23360391210566325,0.42782152230971127
norm_ratio_quantile,q1_low,270,21.40203690527206,0.5037037037037037,0.049606175282579566,-0.030826879049397144,0.4962962962962963
norm_ratio_quantile,q2,222,1.500055631219702,0.5900900900900901,0.16277134465117593,-0.1421348886855313,0.4099099099099099
norm_ratio_quantile,q3,154,3.444052592036651,0.6428571428571429,0.3140983107626156,-0.5898362688657885,0.35714285714285715
norm_ratio_quantile,q4_high,122,2.0484092255367066,0.6311475409836066,0.33486532505407623,-0.5034742719947239,0.36885245901639346
anchor_disagreement_quantile,q1_low,216,20.94337056102755,0.5462962962962963,0.1331097332430324,-0.20561879009378603,0.4537037037037037
anchor_disagreement_quantile,q2,212,15.06515471993256,0.589622641509434,0.1800346865114099,-0.2786312512959706,0.41037735849056606
anchor_disagreement_quantile,q3,184,1.9189143254686223,0.5760869565217391,0.19484433838331297,-0.37572057468688136,0.42391304347826086
anchor_disagreement_quantile,q4_high,156,-7.5564662721187865,0.6025641025641025,0.2306615459580395,-0.12512679194117454,0.3974358974358974
dataset,ETTh1,384,7.536322010758188,0.5729166666666666,0.1778876372894667,-0.2921266917657452,0.4270833333333333
dataset,ETTm1,384,10.411210122688042,0.5807291666666666,0.18344990269203762,-0.20822708224522604,0.4192708333333333
backbone,DLinear,384,20.30690765470602,0.5859375,0.19443831839063516,-0.27380612272963045,0.4140625
backbone,PatchTST,384,-2.3593755212597864,0.5677083333333334,0.16689922159086915,-0.2265476512813408,0.4322916666666667
horizon,96,384,4.178527420844508,0.5911458333333334,0.21391981696376414,-0.31630739111069656,0.4088541666666667
horizon,192,384,13.769004712601726,0.5625,0.14741772301774017,-0.18404638290027464,0.4375
seed,2026,768,8.973766066723115,0.5768229166666666,0.18066876999075218,-0.2501768870054856,0.4231770833333333
horizon_segment,early,768,7.480312767054577,0.63671875,0.3436452813387542,-0.6288581927686018,0.36328125
horizon_segment,late,768,29.17596519039279,0.5533854166666666,0.07501390754391067,-0.047414396243841854,0.4466145833333333
horizon_segment,mid,768,10.375152139304367,0.53515625,0.10972451995201864,-0.16221747950474935,0.46484375
