method,mean_mse,mean_mae,baseline_mean_mse,delta_vs_baseline,delta_pct_vs_baseline,win_rate_vs_baseline,harm_rate_vs_baseline,raw_mean_mse,delta_vs_raw,delta_pct_vs_raw,coverage,split,baseline,lrbn_mean_mse,delta_vs_lrbn,delta_pct_vs_lrbn,win_rate_vs_lrbn,harm_rate_vs_lrbn,test_threshold_leakage
raw_no_correction,9.171186122711934,2.3582131224290634,9.171186122711934,0.0,0.0,0.0,0.0,9.171186122711934,0.0,0.0,0.0,val,raw_no_correction,8.79717792520947,0.3740081975024641,4.251456549554929,0.3815104166666667,0.6184895833333334,False
HalluGuard-LRBN,8.79717792520947,2.3053724718885635,8.79717792520947,0.0,0.0,0.0,0.0,9.171186122711934,-0.3740081975024641,-4.078078801262637,0.0,val,HalluGuard-LRBN,8.79717792520947,0.0,0.0,0.0,0.0,False
HalluGuard-LRBN-BP-gated,8.694683185861635,2.285228917264343,8.79717792520947,-0.1024947393478341,-1.1650865777946104,0.0390625,0.01171875,9.171186122711934,-0.4765029368502982,-5.1956522303118495,0.05078125,val,HalluGuard-LRBN,8.79717792520947,-0.1024947393478341,-1.1650865777946104,0.0390625,0.01171875,False
HalluGuard-LRBN-BP-always,8.419232644426494,2.2301619219390045,8.79717792520947,-0.37794528078297623,-4.296210484390716,0.546875,0.453125,9.171186122711934,-0.7519534782854403,-8.199086436631791,1.0,val,HalluGuard-LRBN,8.79717792520947,-0.37794528078297623,-4.296210484390716,0.546875,0.453125,False
HalluGuard-BP-global,8.673353730781693,2.274914008110861,8.79717792520947,-0.12382419442777533,-1.4075445027909128,0.4856770833333333,0.5143229166666666,9.171186122711934,-0.4978323919302395,-5.428222530066896,1.0,val,HalluGuard-LRBN,8.79717792520947,-0.12382419442777533,-1.4075445027909128,0.4856770833333333,0.5143229166666666,False
matched_sparse_smoothing,9.022955284437964,2.337708504067654,8.79717792520947,0.22577735922849565,2.5664748501317978,0.4518229166666667,0.5481770833333334,9.171186122711934,-0.14823083827396846,-1.6162668179338011,0.0,val,HalluGuard-LRBN,8.79717792520947,0.22577735922849565,2.5664748501317978,0.4518229166666667,0.5481770833333334,False
naive_smoothing,8.670374355196003,2.2918209336927626,8.79717792520947,-0.1268035700134662,-1.4414119044466855,0.6223958333333334,0.3776041666666667,9.171186122711934,-0.5008117675159303,-5.460708792395206,0.0,val,HalluGuard-LRBN,8.79717792520947,-0.1268035700134662,-1.4414119044466855,0.6223958333333334,0.3776041666666667,False
ema_smoothing,8.686157485272394,2.2950934707858615,8.79717792520947,-0.11102043993707504,-1.2620006183202386,0.62890625,0.37109375,9.171186122711934,-0.48502863743953917,-5.2886140398953545,0.0,val,HalluGuard-LRBN,8.79717792520947,-0.11102043993707504,-1.2620006183202386,0.62890625,0.37109375,False
median_smoothing,8.735572809619775,2.3011196950168187,8.79717792520947,-0.06160511558969434,-0.7002827047879588,0.5885416666666666,0.4114583333333333,9.171186122711934,-0.43561331309215845,-4.7498034255177295,0.0,val,HalluGuard-LRBN,8.79717792520947,-0.06160511558969434,-0.7002827047879588,0.5885416666666666,0.4114583333333333,False
raw_no_correction,6.427220554044915,1.9149077056592396,6.427220554044915,0.0,0.0,0.0,0.0,6.427220554044915,0.0,0.0,0.0,test,raw_no_correction,4.894157596003544,1.5330629580413706,31.32434795644504,0.3580729166666667,0.6419270833333334,False
HalluGuard-LRBN,4.894157596003544,1.682162338434372,4.894157596003544,0.0,0.0,0.0,0.0,6.427220554044915,-1.5330629580413706,-23.85265827996653,0.0,test,HalluGuard-LRBN,4.894157596003544,0.0,0.0,0.0,0.0,False
HalluGuard-LRBN-BP-gated,4.864130971809323,1.6743534601010577,4.894157596003544,-0.03002662419422079,-0.6135197640016364,0.024739583333333332,0.018229166666666668,6.427220554044915,-1.5630895822355912,-24.3198372711808,0.04296875,test,HalluGuard-LRBN,4.894157596003544,-0.03002662419422079,-0.6135197640016364,0.024739583333333332,0.018229166666666668,False
HalluGuard-LRBN-BP-always,4.6439807089980585,1.6218519507831555,4.894157596003544,-0.2501768870054856,-5.111745618870136,0.5768229166666666,0.4231770833333333,6.427220554044915,-1.7832398450468563,-27.74511668422641,1.0,test,HalluGuard-LRBN,4.894157596003544,-0.2501768870054856,-5.111745618870136,0.5768229166666666,0.4231770833333333,False
HalluGuard-BP-global,5.985373195882954,1.8431704971257126,4.894157596003544,1.0912155998794109,22.296290551428964,0.4309895833333333,0.5690104166666666,6.427220554044915,-0.44184735816195975,-6.87462572287838,1.0,test,HalluGuard-LRBN,4.894157596003544,1.0912155998794109,22.296290551428964,0.4309895833333333,0.5690104166666666,False
matched_sparse_smoothing,6.22247505249129,1.877729907498508,4.894157596003544,1.3283174564877447,27.140880278524964,0.4153645833333333,0.5846354166666666,6.427220554044915,-0.20474550155362573,-3.1855994284529494,0.0,test,HalluGuard-LRBN,4.894157596003544,1.3283174564877447,27.140880278524964,0.4153645833333333,0.5846354166666666,False
naive_smoothing,6.07206912318001,1.849256261297065,4.894157596003544,1.1779115271764655,24.06770729515434,0.5690104166666666,0.4309895833333333,6.427220554044915,-0.35515143086490514,-5.525738961747929,0.0,test,HalluGuard-LRBN,4.894157596003544,1.1779115271764655,24.06770729515434,0.5690104166666666,0.4309895833333333,False
ema_smoothing,6.060487040025387,1.848220973289117,4.894157596003544,1.166329444021843,23.831056085957155,0.5611979166666666,0.4388020833333333,6.427220554044915,-0.36673351401952753,-5.705942566699901,0.0,test,HalluGuard-LRBN,4.894157596003544,1.166329444021843,23.831056085957155,0.5611979166666666,0.4388020833333333,False
median_smoothing,6.129929274585332,1.8603371525591363,4.894157596003544,1.235771678581787,25.24993631316443,0.55078125,0.44921875,6.427220554044915,-0.2972912794595836,-4.625502991490389,0.0,test,HalluGuard-LRBN,4.894157596003544,1.235771678581787,25.24993631316443,0.55078125,0.44921875,False
