split,method,dataset,backbone,horizon,seed,n,coverage,mean_boundary_gap,raw_mse,lrbn_mse,method_mse,method_mae,delta_vs_lrbn,delta_pct_vs_lrbn,win_rate_vs_lrbn,harm_rate_vs_lrbn
val,raw_no_correction,ETTh1,DLinear,96,2026,96,0.0,3.72022580998699,10.256048040432235,9.535620690105475,10.256048040432235,2.5867104267578123,0.7204273503267613,7.5551175218073805,0.3541666666666667,0.6458333333333334
val,raw_no_correction,ETTh1,DLinear,192,2026,96,0.0,3.2847191714813064,11.535659465455899,10.618143575280191,11.535659465455899,2.7384984178548173,0.917515890175704,8.641019805454963,0.2604166666666667,0.7395833333333334
val,raw_no_correction,ETTh1,PatchTST,96,2026,96,0.0,3.9794606129365704,10.584955679701597,10.528241004299185,10.584955679701597,2.628140420909288,0.05671467540241241,0.5386908917205085,0.4583333333333333,0.5416666666666666
val,raw_no_correction,ETTh1,PatchTST,192,2026,96,0.0,3.8731496737948348,11.66805422291551,11.609037853274186,11.66805422291551,2.741069784928385,0.059016369641327344,0.5083657262246077,0.53125,0.46875
val,raw_no_correction,ETTm1,DLinear,96,2026,96,0.0,4548.0471950276005,6.1284908718965925,5.436033967295309,6.1284908718965925,1.8749642619249132,0.6924569046012837,12.738274033853896,0.21875,0.78125
val,raw_no_correction,ETTm1,DLinear,192,2026,96,0.0,4.292044084564384,8.762769084396433,8.33279445849474,8.762769084396433,2.2661031756781687,0.42997462590169294,5.160029177815117,0.40625,0.59375
val,raw_no_correction,ETTm1,PatchTST,96,2026,96,0.0,5485.11958454418,5.853425533887335,5.742462045489039,5.853425533887335,1.7955642782335068,0.1109634883982944,1.932332984111396,0.375,0.625
val,raw_no_correction,ETTm1,PatchTST,192,2026,96,0.0,5.6322349377094625,8.580086083009865,8.575089807437628,8.580086083009865,2.234654213145616,0.004996275572237034,0.05826499405379077,0.4479166666666667,0.5520833333333334
val,HalluGuard-LRBN,ETTh1,DLinear,96,2026,96,0.0,3.72022580998699,10.256048040432235,9.535620690105475,9.535620690105475,2.511128074739583,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN,ETTh1,DLinear,192,2026,96,0.0,3.2847191714813064,11.535659465455899,10.618143575280191,10.618143575280191,2.6343761562879773,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN,ETTh1,PatchTST,96,2026,96,0.0,3.9794606129365704,10.584955679701597,10.528241004299185,10.528241004299185,2.6130248384114583,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN,ETTh1,PatchTST,192,2026,96,0.0,3.8731496737948348,11.66805422291551,11.609037853274186,11.609037853274186,2.727519098388672,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN,ETTm1,DLinear,96,2026,96,0.0,4548.0471950276005,6.1284908718965925,5.436033967295309,5.436033967295309,1.7259651724934895,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN,ETTm1,DLinear,192,2026,96,0.0,4.292044084564384,8.762769084396433,8.33279445849474,8.33279445849474,2.2139451141493054,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN,ETTm1,PatchTST,96,2026,96,0.0,5485.11958454418,5.853425533887335,5.742462045489039,5.742462045489039,1.7778711557291669,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN,ETTm1,PatchTST,192,2026,96,0.0,5.6322349377094625,8.580086083009865,8.575089807437628,8.575089807437628,2.239150164908854,0.0,0.0,0.0,0.0
val,HalluGuard-LRBN-BP-gated,ETTh1,DLinear,96,2026,96,0.020833333333333332,3.72022580998699,10.256048040432235,9.535620690105475,9.502536692034504,2.505941992468476,-0.033083998070970476,-0.34695169943793197,0.010416666666666666,0.010416666666666666
val,HalluGuard-LRBN-BP-gated,ETTh1,DLinear,192,2026,96,0.020833333333333332,3.2847191714813064,11.535659465455899,10.618143575280191,10.599328566839823,2.6312605647604665,-0.018815008440369246,-0.17719677916628906,0.020833333333333332,0.0
val,HalluGuard-LRBN-BP-gated,ETTh1,PatchTST,96,2026,96,0.041666666666666664,3.9794606129365704,10.584955679701597,10.528241004299185,10.358187562085263,2.5835269196379294,-0.1700534422139223,-1.6152122845873258,0.03125,0.010416666666666666
val,HalluGuard-LRBN-BP-gated,ETTh1,PatchTST,192,2026,96,0.052083333333333336,3.8731496737948348,11.66805422291551,11.609037853274186,11.742734705555428,2.7320871063398164,0.13369685228124395,1.1516617815865584,0.03125,0.020833333333333332
val,HalluGuard-LRBN-BP-gated,ETTm1,DLinear,96,2026,96,0.08333333333333333,4548.0471950276005,6.1284908718965925,5.436033967295309,5.348539219597561,1.7024436070631166,-0.08749474769774766,-1.6095327597875055,0.0625,0.020833333333333332
val,HalluGuard-LRBN-BP-gated,ETTm1,DLinear,192,2026,96,0.041666666666666664,4.292044084564384,8.762769084396433,8.33279445849474,8.190548339764327,2.187935798936405,-0.14224611873041504,-1.707063809964699,0.03125,0.010416666666666666
val,HalluGuard-LRBN-BP-gated,ETTm1,PatchTST,96,2026,96,0.08333333333333333,5485.11958454418,5.853425533887335,5.742462045489039,5.618800362996574,1.7473850044862482,-0.12366168249246412,-2.153461029390003,0.07291666666666667,0.010416666666666666
val,HalluGuard-LRBN-BP-gated,ETTm1,PatchTST,192,2026,96,0.0625,5.6322349377094625,8.580086083009865,8.575089807437628,8.196790038019602,2.1912503444222886,-0.37829976941802784,-4.41161290985834,0.052083333333333336,0.010416666666666666
val,HalluGuard-LRBN-BP-always,ETTh1,DLinear,96,2026,96,1.0,3.72022580998699,10.256048040432235,9.535620690105475,9.03812007469939,2.3989237255497304,-0.49750061540608254,-5.21728612171603,0.6041666666666666,0.3958333333333333
val,HalluGuard-LRBN-BP-always,ETTh1,DLinear,192,2026,96,1.0,3.2847191714813064,11.535659465455899,10.618143575280191,10.410931508211744,2.5760084422531437,-0.20721206706845008,-1.9514905350847076,0.5416666666666666,0.4583333333333333
