split,method,mean_mse,mean_mae,lrbn_mse,lrbn_mae,delta_mse_vs_lrbn,delta_pct_vs_lrbn,delta_mae_vs_lrbn,delta_mae_pct_vs_lrbn,harm_rate_vs_lrbn,win_rate_vs_lrbn,mean_win_size,mean_loss_size,win_loss_ratio,coverage,mean_strength,test_threshold_leakage,q4_improvement_pct_vs_lrbn,low_delta_pct_vs_lrbn,config_improved_ratio,param_alpha,param_anchor_mode,param_bridge_mode,param_gap_tau_quantile,param_gap_tau,param_gap_temp,param_boundary_clip,param_norm_clip,param_k_value,param_conflict_eta,param_high_repair
val,LRBN,8.79717792520947,2.3053724718885635,8.79717792520947,2.3053724718885635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-0.0,0.0,1.0,,,,,,,,,,,
val,LRBN-BP-always,8.726488838791965,2.293893078194969,8.79717792520947,2.3053724718885635,-0.07068908641750342,-0.8035427603957047,-0.011479393693594457,-0.4979409524395251,0.40625,0.59375,0.17589616760924887,0.08307510917043216,2.1173146588979352,1.0,1.0,False,1.7927764517598335,-0.08909214194531594,1.0,0.05,last,linear,,,,,,,,
val,LRBN-BP-gap-strength,8.738033417444145,2.2959096919153414,8.79717792520947,2.3053724718885635,-0.05914450776532453,-0.6723122824264719,-0.009462779973222188,-0.41046642343323936,0.4049479166666667,0.5950520833333334,0.14067884831667285,0.060666404234566776,2.318891763945993,1.0,0.5029008847740121,False,1.7927563983424326,-0.00014836135948158416,1.0,0.05,last,linear,0.5,2.4260872328869336,0.25,,,,,
val,LRBN-BP-gap-strength,8.737482718445854,2.2958154485114592,8.79717792520947,2.3053724718885635,-0.059695206763615505,-0.6785722330873168,-0.009557023377104063,-0.41455441375248686,0.4049479166666667,0.5950520833333334,0.140951702217633,0.05970742481994076,2.3607060434383076,1.0,0.511310875426767,False,1.7905795108638944,-0.00346291898945822,1.0,0.05,last,linear,0.5,2.4260872328869336,0.5,,,,,
val,LRBN-BP-gap-strength,8.737777537171093,2.2958614059196742,8.79717792520947,2.3053724718885635,-0.05940038803837524,-0.675220945578865,-0.009511065968889251,-0.4125609220900309,0.4049479166666667,0.5950520833333334,0.1391185315994491,0.05774170716230242,2.4093244613493203,1.0,0.5325086863244659,False,1.763139187782416,-0.015013210888162936,1.0,0.05,last,linear,0.5,2.4260872328869336,1.0,,,,,
val,LRBN-BP-gap-strength,8.740881997239514,2.2964276747433203,8.79717792520947,2.3053724718885635,-0.056295927969954786,-0.6399316733681034,-0.008944797145242935,-0.38799791424228436,0.4036458333333333,0.5963541666666666,0.12772093769235748,0.049228763813465984,2.594436704361319,1.0,0.40090770491021194,False,1.792460247634613,-9.410197801600777e-06,1.0,0.05,last,linear,0.6,3.116005981912195,0.25,,,,,
val,LRBN-BP-gap-strength,8.740805319574099,2.2964105314868046,8.79717792520947,2.3053724718885635,-0.056372605635372,-0.6408032899931169,-0.008961940401758862,-0.3887415362231302,0.4036458333333333,0.5963541666666666,0.1280011525051064,0.0494527958689453,2.5883496447971384,1.0,0.411091153826964,False,1.7842631133272657,-0.0008988960005181102,1.0,0.05,last,linear,0.6,3.116005981912195,0.5,,,,,
val,LRBN-BP-gap-strength,8.741257149793151,2.296462722308117,8.79717792520947,2.3053724718885635,-0.055920775416319124,-0.6356672085999668,-0.008909749580446429,-0.3864776581851008,0.4036458333333333,0.5963541666666666,0.12763003564617667,0.050023873568438154,2.5513819907957522,1.0,0.44250892351343896,False,1.736994610906541,-0.008232029970390908,1.0,0.05,last,linear,0.6,3.116005981912195,1.0,,,,,
val,LRBN-BP-gap-strength,8.74399227884428,2.2969920045619663,8.79717792520947,2.3053724718885635,-0.053185646365190464,-0.604576226113624,-0.00838046732659712,-0.3635190144948709,0.4036458333333333,0.5963541666666666,0.11414711393669094,0.036880005724316704,3.0950939606413574,1.0,0.3065800353285815,False,1.7865154320056538,-4.592415440430076e-07,1.0,0.05,last,linear,0.7,3.8710284796289334,0.25,,,,,
val,LRBN-BP-gap-strength,8.744667488983369,2.2970759247549855,8.79717792520947,2.3053724718885635,-0.05251043622609897,-0.5969009222370592,-0.008296547133577699,-0.3598788134567105,0.4036458333333333,0.5963541666666666,0.11445651149543992,0.039009894333120874,2.934037225983711,1.0,0.32035193529879286,False,1.75820081489617,-0.0002002274085121281,1.0,0.05,last,linear,0.7,3.8710284796289334,0.5,,,,,
val,LRBN-BP-gap-strength,8.745379431132895,2.297161125155842,8.79717792520947,2.3053724718885635,-0.051798494076574886,-0.5888080752494365,-0.008211346732721307,-0.3561830809221184,0.4036458333333333,0.5963541666666666,0.11502447158374583,0.04161278882111638,2.7641609034328343,1.0,0.3566799482826957,False,1.6868106351530812,-0.00407158440600301,1.0,0.05,last,linear,0.7,3.8710284796289334,1.0,,,,,
val,LRBN-BP-gap-strength,8.753879152352551,2.29856805710792,8.79717792520947,2.3053724718885635,-0.04329877285691722,-0.49218934953697835,-0.006804414780642969,-0.29515468038679965,0.3932291666666667,0.5963541666666666,0.09015719064524992,0.02661766808413892,3.3871170265213046,0.8346354166666666,0.2031890247489637,False,1.5911181075800567,-1.7375856639011222e-09,1.0,0.05,last,linear,0.8,5.265299801054961,0.25,,,,,
val,LRBN-BP-gap-strength,8.753729523777873,2.2985517071636417,8.79717792520947,2.3053724718885635,-0.04344840143159568,-0.493890219699898,-0.006820764724921473,-0.2958638909116457,0.4036458333333333,0.5963541666666666,0.0907622052207503,0.026453928037542433,3.430952514213347,1.0,0.21060374497393006,False,1.5741426877544489,-1.2343636563956591e-05,1.0,0.05,last,linear,0.8,5.265299801054961,0.5,,,,,
val,LRBN-BP-gap-strength,8.75380140609214,2.2985463155409582,8.79717792520947,2.3053724718885635,-0.04337651911732904,-0.49307311318235986,-0.006826156347605146,-0.29609776299634283,0.4036458333333333,0.5963541666666666,0.09222002383907872,0.028785820116739844,3.2036603935020773,1.0,0.23795311529617313,False,1.512385817759274,-0.0010463729930070451,1.0,0.05,last,linear,0.8,5.265299801054961,1.0,,,,,
val,LRBN-BP-bounded,8.7881583716968,2.3038808472467363,8.79717792520947,2.3053724718885635,-0.009019553512669122,-0.10252780583838624,-0.0014916246418270357,-0.06470211011651109,0.40234375,0.59765625,0.025927241571024814,0.01609575010799515,1.61081187822538,1.0,1.0,False,0.11623643078770725,-0.056934387597703695,1.0,0.05,last,linear,,,,0.5,0.1,,,
val,LRBN-BP-bounded,8.7881583716968,2.3038808472467363,8.79717792520947,2.3053724718885635,-0.009019553512669122,-0.10252780583838624,-0.0014916246418270357,-0.06470211011651109,0.40234375,0.59765625,0.025927241571024814,0.01609575010799515,1.61081187822538,1.0,1.0,False,0.11623643078770725,-0.056934387597703695,1.0,0.05,last,linear,,,,0.5,0.2,,,
