split,method,boundary_bin,n,coverage,mean_strength,mean_post_gap,lrbn_mse,method_mse,delta_mse_vs_lrbn,delta_pct_vs_lrbn,harm_rate_vs_lrbn,win_rate_vs_lrbn
val,LRBN,q1_low,192,0.0,0.0,0.4946807915136298,7.432626210096681,7.432626210096681,0.0,0.0,0.0,0.0
val,LRBN,q2,192,0.0,0.0,1.679188493144255,8.097538175693995,8.097538175693995,0.0,0.0,0.0,0.0
val,LRBN,q3,192,0.0,0.0,3.3231352604846616,8.79776483854919,8.79776483854919,0.0,0.0,0.0,0.0
val,LRBN,q4_high,192,0.0,0.0,5020.384567542719,10.860782476498011,10.860782476498011,0.0,0.0,0.0,0.0
test,LRBN,q1_low,192,0.0,0.0,0.6003833187882978,5.654687644500144,5.654687644500144,0.0,0.0,0.0,0.0
test,LRBN,q2,192,0.0,0.0,1.779171072226018,5.158836975042691,5.158836975042691,0.0,0.0,0.0,0.0
test,LRBN,q3,192,0.0,0.0,3.3910687327357087,4.161863949148709,4.161863949148709,0.0,0.0,0.0,0.0
test,LRBN,q4_high,192,0.0,0.0,23988.287048995422,4.601241815322632,4.601241815322632,0.0,0.0,0.0,0.0
val,LRBN-BP-always,q1_low,192,1.0,1.0,0.4946807915136298,7.432626210096681,7.389359795467158,-0.043266414629524054,-0.5821147646647141,0.5104166666666666,0.4895833333333333
val,LRBN-BP-always,q2,192,1.0,1.0,1.679188493144255,8.097538175693995,7.884724106093013,-0.21281406960098237,-2.628132954988252,0.4427083333333333,0.5572916666666666
val,LRBN-BP-always,q3,192,1.0,1.0,3.3231352604846616,8.79776483854919,8.674380581489212,-0.12338425705997724,-1.4024500448011545,0.5104166666666666,0.4895833333333333
val,LRBN-BP-always,q4_high,192,1.0,1.0,5020.384567542719,10.860782476498011,9.72846609465659,-1.132316381841421,-10.425734823886799,0.3489583333333333,0.6510416666666666
test,LRBN-BP-always,q1_low,192,1.0,1.0,0.6003833187882978,5.654687644500144,5.663854540736984,0.009166896236839923,0.1621114515413528,0.5208333333333334,0.4791666666666667
test,LRBN-BP-always,q2,192,1.0,1.0,1.779171072226018,5.158836975042691,4.968535390600699,-0.1903015844419922,-3.688846633335083,0.4270833333333333,0.5729166666666666
test,LRBN-BP-always,q3,192,1.0,1.0,3.3910687327357087,4.161863949148709,3.9940264149638964,-0.16783753418481293,-4.032749167974805,0.4114583333333333,0.5885416666666666
test,LRBN-BP-always,q4_high,192,1.0,1.0,23988.287048995422,4.601241815322632,3.949506489690655,-0.6517353256319772,-14.16433542017276,0.3333333333333333,0.6666666666666666
val,LRBN-BP-gap-strength,q1_low,192,0.3385416666666667,9.55503854816159e-09,0.4946807915136298,7.432626210096681,7.432626209321792,-7.748897680922203e-10,-1.0425513983406733e-08,0.4791666666666667,0.5
val,LRBN-BP-gap-strength,q2,192,1.0,1.909474036470725e-06,1.679188493144255,8.097538175693995,8.097538059848134,-1.1584586081618091e-07,-1.4306306218936965e-06,0.40625,0.59375
val,LRBN-BP-gap-strength,q3,192,1.0,0.0036577145637749363,3.3231352604846616,8.79776483854919,8.795449793535601,-0.002315045013588096,-0.026314013314080197,0.421875,0.578125
val,LRBN-BP-gap-strength,q4_high,192,1.0,0.8090964654030047,5020.384567542719,10.860782476498011,10.056100142363823,-0.8046823341341889,-7.40906408110612,0.3177083333333333,0.6822916666666666
test,LRBN-BP-gap-strength,q1_low,192,0.4947916666666667,1.5594241778447797e-08,0.6003833187882978,5.654687644500144,5.654687644678625,1.7848179459263128e-10,3.1563410872665916e-09,0.4947916666666667,0.5
test,LRBN-BP-gap-strength,q2,192,1.0,2.1803046530593846e-06,1.779171072226018,5.158836975042691,5.15883652322787,-4.5181482177369253e-07,-8.758075171242432e-06,0.3854166666666667,0.6145833333333334
test,LRBN-BP-gap-strength,q3,192,1.0,0.004684533575006899,3.3910687327357087,4.161863949148709,4.160425347718247,-0.001438601430462258,-0.03456627714367697,0.3177083333333333,0.6822916666666666
test,LRBN-BP-gap-strength,q4_high,192,1.0,0.7700631190000596,23988.287048995422,4.601241815322632,4.154295363616175,-0.4469464517064572,-9.713604906543212,0.2552083333333333,0.7447916666666666
val,LRBN-BP-bounded,q1_low,192,1.0,1.0,0.4946807915136298,7.432626210096681,7.4005457094807765,-0.03208050061590525,-0.43161730007576715,0.5052083333333334,0.4947916666666667
val,LRBN-BP-bounded,q2,192,1.0,0.9258368819332681,1.679188493144255,8.097538175693995,7.923141935411251,-0.17439624028274336,-2.153694570911087,0.421875,0.578125
val,LRBN-BP-bounded,q3,192,1.0,0.5980094754216004,3.3231352604846616,8.79776483854919,8.685010103276435,-0.11275473527275337,-1.2816293366985068,0.4427083333333333,0.5572916666666666
val,LRBN-BP-bounded,q4_high,192,1.0,0.5762363767969955,5020.384567542719,10.860782476498011,10.615903197823306,-0.24487927867470574,-2.2547111958013746,0.2864583333333333,0.7135416666666666
test,LRBN-BP-bounded,q1_low,192,1.0,1.0,0.6003833187882978,5.654687644500144,5.657538160171647,0.002850515671503538,0.050409781152718186,0.5052083333333334,0.4947916666666667
test,LRBN-BP-bounded,q2,192,1.0,0.9122292282084102,1.779171072226018,5.158836975042691,5.043800294292251,-0.11503668075043899,-2.2298956350815566,0.3958333333333333,0.6041666666666666
test,LRBN-BP-bounded,q3,192,1.0,0.5991888723692943,3.3910687327357087,4.161863949148709,4.07311586168789,-0.08874808746081908,-2.1324120233610877,0.3385416666666667,0.6614583333333334
test,LRBN-BP-bounded,q4_high,192,1.0,0.5761443349564322,23988.287048995422,4.601241815322632,4.450245094198375,-0.15099672112425724,-3.281651494456492,0.22395833333333334,0.7760416666666666
val,LRBN-BP-robust-anchor,q1_low,192,1.0,1.0,0.5132052212467983,7.5252517099986695,7.508377349700116,-0.016874360298552066,-0.2242364897071676,0.46875,0.53125
val,LRBN-BP-robust-anchor,q2,192,1.0,1.0,1.7645880812613075,7.881813457805303,7.812177730998485,-0.06963572680681927,-0.8834987923941353,0.40625,0.59375
val,LRBN-BP-robust-anchor,q3,192,1.0,1.0,3.4469583404696933,8.859860536792592,8.780557364084913,-0.07930317270767973,-0.8950837576827065,0.453125,0.546875
val,LRBN-BP-robust-anchor,q4_high,192,1.0,1.0,5020.689521120396,10.921785996241312,10.532567771049594,-0.38921822519171895,-3.5636866073854265,0.28125,0.71875
test,LRBN-BP-robust-anchor,q1_low,192,1.0,1.0,0.614444719494016,5.727166506865008,5.723700120042828,-0.0034663868221795264,-0.06052533677818571,0.4947916666666667,0.5052083333333334
test,LRBN-BP-robust-anchor,q2,192,1.0,1.0,1.8501073605147216,5.1477865596546755,5.100528513932176,-0.047258045722499815,-0.9180265165047428,0.4010416666666667,0.5989583333333334
test,LRBN-BP-robust-anchor,q3,192,1.0,1.0,3.516196392913622,3.9667020426061868,3.903099000945589,-0.06360304166059759,-1.603423721194525,0.3333333333333333,0.6666666666666666
test,LRBN-BP-robust-anchor,q4_high,192,1.0,1.0,23988.521856925876,4.734975274888306,4.522986811065254,-0.21198846382305367,-4.477076459081313,0.22916666666666666,0.7708333333333334
val,LRBN-BP-short-bridge,q1_low,192,1.0,1.0,0.4946807915136298,7.432626210096681,7.428089917021718,-0.004536293074964168,-0.061032170065243446,0.3645833333333333,0.6354166666666666
val,LRBN-BP-short-bridge,q2,192,1.0,1.0,1.679188493144255,8.097538175693995,8.067032669572878,-0.030505506121116324,-0.3767256840481561,0.21354166666666666,0.7864583333333334
val,LRBN-BP-short-bridge,q3,192,1.0,1.0,3.3231352604846616,8.79776483854919,8.733739675625415,-0.0640251629237736,-0.7277435124255802,0.08333333333333333,0.9166666666666666
val,LRBN-BP-short-bridge,q4_high,192,1.0,1.0,5020.384567542719,10.860782476498011,10.74552225553382,-0.11526022096419343,-1.0612515360424724,0.041666666666666664,0.9583333333333334
test,LRBN-BP-short-bridge,q1_low,192,1.0,1.0,0.6003833187882978,5.654687644500144,5.653204731505526,-0.0014829129946179595,-0.026224489931601286,0.4114583333333333,0.5885416666666666
test,LRBN-BP-short-bridge,q2,192,1.0,1.0,1.779171072226018,5.158836975042691,5.150285519421619,-0.00855145562107268,-0.16576324558938188,0.21354166666666666,0.7864583333333334
test,LRBN-BP-short-bridge,q3,192,1.0,1.0,3.3910687327357087,4.161863949148709,4.131462734344939,-0.030401214803770348,-0.7304711326986552,0.041666666666666664,0.9583333333333334
test,LRBN-BP-short-bridge,q4_high,192,1.0,1.0,23988.287048995422,4.601241815322632,4.523249646153369,-0.07799216916926353,-1.6950243462544996,0.026041666666666668,0.9739583333333334
val,LRBN-BP-conflict-filter,q1_low,192,1.0,0.9622557689061089,0.4946807915136298,7.432626210096681,7.421050886954911,-0.011575323141770432,-0.15573665080146235,0.5,0.5
val,LRBN-BP-conflict-filter,q2,192,1.0,0.9541643752771369,1.679188493144255,8.097538175693995,8.027937048265708,-0.06960112742828752,-0.8595344144378607,0.4114583333333333,0.5885416666666666
val,LRBN-BP-conflict-filter,q3,192,1.0,0.9775867266205228,3.3231352604846616,8.79776483854919,8.717224562489681,-0.0805402760595083,-0.9154629323013818,0.4322916666666667,0.5677083333333334
val,LRBN-BP-conflict-filter,q4_high,192,1.0,0.9650886911534328,5020.384567542719,10.860782476498011,10.507060006591681,-0.35372246990633266,-3.256878317433145,0.2916666666666667,0.7083333333333334
test,LRBN-BP-conflict-filter,q1_low,192,1.0,0.8315473432825554,0.6003833187882978,5.654687644500144,5.6555613452877225,0.0008737007875789163,0.015450911543862586,0.5,0.5
test,LRBN-BP-conflict-filter,q2,192,1.0,0.7842283762392682,1.779171072226018,5.158836975042691,5.1139408279695955,-0.044896147073095916,-0.8702765216901692,0.390625,0.609375
test,LRBN-BP-conflict-filter,q3,192,1.0,0.82068350060768,3.3910687327357087,4.161863949148709,4.115771153255575,-0.04609279589313444,-1.1075036653183248,0.328125,0.671875
test,LRBN-BP-conflict-filter,q4_high,192,1.0,0.9184858823340196,23988.287048995422,4.601241815322632,4.403729613446195,-0.19751220187643662,-4.292584684192028,0.22395833333333334,0.7760416666666666
val,LRBN-BP-repair-gate,q1_low,192,0.2916666666666667,0.2494074924258937,0.4946807915136298,7.432626210096681,7.432949169982391,0.00032295988571005217,0.0043451651696954875,0.15625,0.13541666666666666
val,LRBN-BP-repair-gate,q2,192,0.6458333333333334,0.5280785083475187,1.679188493144255,8.097538175693995,8.020607564064628,-0.07693061162936696,-0.9500493837161614,0.2708333333333333,0.375
