split,method,segment,rows,mean_delta_mse_vs_lrbn,lrbn_mse,method_mse,delta_pct_vs_lrbn
test,LRBN,early,768,0.0,3.1954194452432705,3.1954194452432705,0.0
test,LRBN,late,768,0.0,6.345977742617602,6.345977742617602,0.0
test,LRBN,mid,768,0.0,5.0176165980766525,5.0176165980766525,0.0
test,LRBN-BP-always,early,768,-0.6288581927686018,3.1954194452432705,2.5665612524746684,-19.679988858324283
test,LRBN-BP-always,late,768,-0.047414396243841854,6.345977742617602,6.298563346373759,-0.7471566729695094
test,LRBN-BP-always,mid,768,-0.16221747950474935,5.0176165980766525,4.855399118571904,-3.232958836345408
test,LRBN-BP-bounded,early,768,-0.20943460210650475,3.1954194452432705,2.9859848431367655,-6.554213149164186
test,LRBN-BP-bounded,late,768,-0.015069587158401261,6.345977742617602,6.330908155459199,-0.2374667505284967
test,LRBN-BP-bounded,mid,768,-0.06371339219955294,5.0176165980766525,4.9539032058771,-1.2697939515146675
test,LRBN-BP-conflict-filter,early,768,-0.17477696673513313,3.1954194452432705,3.0206424785081367,-5.469609520225814
test,LRBN-BP-conflict-filter,late,768,-0.010455532139912517,6.345977742617602,6.335522210477688,-0.16475841150878717
test,LRBN-BP-conflict-filter,mid,768,-0.05119747259002116,5.0176165980766525,4.966419125486632,-1.0203544150346229
test,LRBN-BP-gap-strength,early,768,-0.2662987803428686,3.1954194452432705,2.929120664900402,-8.333766007023165
test,LRBN-BP-gap-strength,late,768,-0.018180224002204492,6.345977742617602,6.327797518615397,-0.2864842063889274
test,LRBN-BP-gap-strength,mid,768,-0.0819532502140931,5.0176165980766525,4.93566334786256,-1.6333103267032338
test,LRBN-BP-repair-gate,early,768,-0.2190778357654529,3.1954194452432705,2.9763416094778172,-6.855996179342741
test,LRBN-BP-repair-gate,late,768,-0.010220690436728377,6.345977742617602,6.335757052180873,-0.16105777289421988
test,LRBN-BP-repair-gate,mid,768,-0.056398629717369635,5.0176165980766525,4.961217968359283,-1.1240123373831903
test,LRBN-BP-robust-anchor,early,768,-0.19992796926346082,3.1954194452432705,2.9954914759798092,-6.25670501365338
test,LRBN-BP-robust-anchor,late,768,-0.01146149788315707,6.345977742617602,6.334516244734444,-0.18061043278051003
test,LRBN-BP-robust-anchor,mid,768,-0.057463235440856325,5.0176165980766525,4.960153362635796,-1.1452296962737287
test,LRBN-BP-safe-controller,early,768,-0.03973345702606203,3.1954194452432705,3.155685988217208,-1.2434504321761226
test,LRBN-BP-safe-controller,late,768,0.0,6.345977742617602,6.345977742617602,0.0
test,LRBN-BP-safe-controller,mid,768,0.0,5.0176165980766525,5.0176165980766525,0.0
test,LRBN-BP-short-bridge,early,768,-0.1184277525887245,3.1954194452432705,3.0769916926545453,-3.7061723585115107
test,LRBN-BP-short-bridge,late,768,0.0,6.345977742617602,6.345977742617602,0.0
test,LRBN-BP-short-bridge,mid,768,0.0,5.0176165980766525,5.0176165980766525,0.0
test,LRBN-BP-stage3-gated,early,768,-0.08652895603999332,3.1954194452432705,3.108890489203277,-2.707906027736374
test,LRBN-BP-stage3-gated,late,768,-0.004656857564830002,6.345977742617602,6.341320885052771,-0.07338282210191495
test,LRBN-BP-stage3-gated,mid,768,-0.014460341586029902,5.0176165980766525,5.003156256490623,-0.2881914405886085
val,LRBN,early,768,0.0,6.148145680022889,6.148145680022889,0.0
val,LRBN,late,768,0.0,11.228785292363783,11.228785292363783,0.0
val,LRBN,mid,768,0.0,8.905890364225602,8.905890364225602,0.0
val,LRBN-BP-always,early,768,-1.1151749254942234,6.148145680022889,5.032970754528666,-18.138394594388206
val,LRBN-BP-always,late,768,-0.04414267924830814,11.228785292363783,11.184642613115477,-0.39312069880803463
val,LRBN-BP-always,mid,768,-0.17623175919468648,8.905890364225602,8.729658605030915,-1.9788224623190593
val,LRBN-BP-bounded,early,768,-0.4100581099263574,6.148145680022889,5.738087570096532,-6.669622526866805
val,LRBN-BP-bounded,late,768,-0.01026840152127891,11.228785292363783,11.218516890842507,-0.09144712669067599
val,LRBN-BP-bounded,mid,768,-0.07189212169923555,8.905890364225602,8.833998242526366,-0.8072423831680828
