method,slice_type,slice_name,count,coverage,mse_delta_pct_vs_lrbn,mean_delta,harm_rate,win_rate,win_loss_ratio,A_gt_1_rate,mean_A
LRBN-BP-always,g_l_bin,q1_low,173,1.0,-0.04670302827616203,-0.002656532782088258,0.5086705202312138,0.4913294797687861,1.0767945438836972,0.4913294797687861,34.97516212471031
LRBN-BP-always,g_l_bin,q2,213,1.0,-3.0840158014782264,-0.16070354918035853,0.4460093896713615,0.5539906103286385,1.6874998004679,0.5539906103286385,2.6809430323764785
LRBN-BP-always,g_l_bin,q3,188,1.0,-4.227456588349073,-0.17241985155778466,0.4095744680851064,0.5904255319148937,1.2142408919589351,0.5904255319148937,2.1667173509404734
LRBN-BP-always,g_l_bin,q4_high,194,1.0,-13.923609400006454,-0.6444921700032566,0.33505154639175255,0.6649484536082474,1.8213738260047707,0.6649484536082474,-0.5150946219785068
LRBN-BP-stage3-gated,g_l_bin,q1_low,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-BP-stage3-gated,g_l_bin,q2,213,0.009389671361502348,-0.275847248267251,-0.014373996335211157,0.0,0.009389671361502348,0.0,0.009389671361502348,0.2085607897722895
LRBN-BP-stage3-gated,g_l_bin,q3,188,0.010638297872340425,-0.279581913203268,-0.011402949022730015,0.0,0.010638297872340425,0.0,0.010638297872340425,0.0545674833453417
LRBN-BP-stage3-gated,g_l_bin,q4_high,194,0.14948453608247422,-1.9883511408411154,-0.09203624611076468,0.07216494845360824,0.07731958762886598,3.4991399158331533,0.07731958762886598,-3.0149897741465113
LRBN-BP-repair-gate,g_l_bin,q1_low,173,0.2774566473988439,-0.0029088481980224057,-0.0001654593049183649,0.1329479768786127,0.14450867052023122,0.9370087656298777,0.14450867052023122,5.2453294337900855
LRBN-BP-repair-gate,g_l_bin,q2,213,0.539906103286385,-0.6312822243399654,-0.032895192669660754,0.2300469483568075,0.30985915492957744,1.5303592265568466,0.30985915492957744,-0.8215690312338477
LRBN-BP-repair-gate,g_l_bin,q3,188,0.7606382978723404,-1.469802172681423,-0.059946936683271446,0.2872340425531915,0.4734042553191489,1.2871038705544702,0.4734042553191489,10.442874286274543
LRBN-BP-repair-gate,g_l_bin,q4_high,194,0.8402061855670103,-5.275949383098501,-0.24421168168786134,0.21649484536082475,0.6237113402061856,1.8383064042837454,0.6237113402061856,11.29812649327807
LRBN-BP-short-bridge,g_l_bin,q1_low,173,1.0,-0.01590895882492304,-0.000904923560789353,0.43352601156069365,0.5664739884393064,1.533469255623232,0.5664739884393064,0.6113773318201271
LRBN-BP-short-bridge,g_l_bin,q2,213,1.0,-0.15919807484461168,-0.00829557865363327,0.215962441314554,0.784037558685446,1.9723573752288388,0.784037558685446,5.245818372815237
LRBN-BP-short-bridge,g_l_bin,q3,188,1.0,-0.7494358582824809,-0.030566279448799614,0.03723404255319149,0.9627659574468085,7.59573540761435,0.9627659574468085,4.971586002617445
LRBN-BP-short-bridge,g_l_bin,q4_high,194,1.0,-1.6780025619884027,-0.07767091717226979,0.02577319587628866,0.9742268041237113,12.462818573192518,0.9742268041237113,4.824279861199652
LRBN-SRA-BP-safe,g_l_bin,q1_low,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-safe,g_l_bin,q2,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-safe,g_l_bin,q3,188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-safe,g_l_bin,q4_high,194,0.7422680412371134,-6.9282969211486956,-0.32069508622785287,0.13917525773195877,0.6030927835051546,2.3278581513757297,0.6030927835051546,2.075406778044511
LRBN-SRA-BP-balanced,g_l_bin,q1_low,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-balanced,g_l_bin,q2,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-balanced,g_l_bin,q3,188,0.8138297872340425,-2.6806142853162087,-0.10933077785628915,0.2553191489361702,0.5585106382978723,1.5794538557604758,0.5585106382978723,1.857896675873588
LRBN-SRA-BP-balanced,g_l_bin,q4_high,194,0.9381443298969072,-8.587732598775384,-0.397506584606567,0.16494845360824742,0.7731958762886598,2.062575264239022,0.7731958762886598,2.588854490019104
LRBN-SRA-BP-basic,g_l_bin,q1_low,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-basic,g_l_bin,q2,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-basic,g_l_bin,q3,188,0.30319148936170215,-0.8805897076971908,-0.03591548334355726,0.12234042553191489,0.18085106382978725,0.9172446073080881,0.18085106382978725,0.6804771294161281
LRBN-SRA-BP-basic,g_l_bin,q4_high,194,0.9896907216494846,-13.9235266210784,-0.6444883383551947,0.32989690721649484,0.6597938144329897,1.8073571046337014,0.6597938144329897,2.494402276583358
LRBN-SRA-BP-short,g_l_bin,q1_low,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-short,g_l_bin,q2,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-short,g_l_bin,q3,188,0.8351063829787234,-2.7923622586963197,-0.11388849916682528,0.26063829787234044,0.574468085106383,1.6003614260693544,0.574468085106383,1.9513867507425564
LRBN-SRA-BP-short,g_l_bin,q4_high,194,0.8865979381443299,-7.977599493832576,-0.3692649126737683,0.16494845360824742,0.7216494845360825,2.085199821780051,0.7216494845360825,2.4038200225175173
LRBN-SRA-BP-support,g_l_bin,q1_low,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-support,g_l_bin,q2,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-support,g_l_bin,q3,188,0.8138297872340425,-2.6806142853162087,-0.10933077785628915,0.2553191489361702,0.5585106382978723,1.5794538557604758,0.5585106382978723,1.857896675873588
LRBN-SRA-BP-support,g_l_bin,q4_high,194,0.9381443298969072,-8.587732598775384,-0.397506584606567,0.16494845360824742,0.7731958762886598,2.062575264239022,0.7731958762886598,2.588854490019104
LRBN-SRA-BP-continuous,g_l_bin,q1_low,173,0.0,-6.245828717676456e-14,-3.4423331237510635e-15,0.0,0.3468208092485549,1.4788161699065792e-06,0.0,4.5905357329799e-07
LRBN-SRA-BP-continuous,g_l_bin,q2,213,0.0,-9.507577034058378e-11,-4.953895405523361e-12,0.08450704225352113,0.6854460093896714,0.0008925069754147718,0.0,0.0007303971063606428
LRBN-SRA-BP-continuous,g_l_bin,q3,188,0.44148936170212766,-7.624329521658972e-07,-3.109637521830792e-08,0.2074468085106383,0.7872340425531915,1.88854545337372,0.31382978723404253,3.879303775878949
LRBN-SRA-BP-continuous,g_l_bin,q4_high,194,1.0,-2.9935523615933746,-0.13856472141058515,0.0979381443298969,0.9020618556701031,3.2580773263098712,0.9020618556701031,1003.6490178296118
