split,method,n,mse,mae,mse_lrbn,mae_lrbn,mean_delta,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,coverage,selected_count,mean_strength,q4_improvement_pct,low_gap_high_repair_delta_pct,high_gap_low_repair_delta_pct,low_gap_high_repair_coverage,high_gap_low_repair_coverage,config_improved_ratio,test_threshold_leakage,method_family,anchor_mode,tail_len,tau_g,tau_r,tau_j,alpha,K,continuous,kg,kr,kj,q_g,candidate_index,safe_feasible,balanced_feasible
val,LRBN-SRA-BP-basic,768,8.754180658423776,2.2979923381662712,8.79717792520947,2.3053724718885635,-0.04299726678569371,-0.4887620450826985,-0.320127605420469,0.078125,0.13541666666666666,0.21354166666666666,164,0.021354166666666664,1.30489067989991,0.0,-1.5364661572723597,0.0,0.5153374233128835,1.0,False,basic,last,16,2.4260872328869336,-0.2,,0.1,H,False,4.0,4.0,4.0,0.5,0,False,False
val,LRBN-SRA-BP-short,768,8.793170728401174,2.304646501200392,8.79717792520947,2.3053724718885635,-0.004007196808295332,-0.0455509350590408,-0.03149038577822316,0.014322916666666666,0.19921875,0.21354166666666666,164,0.021354166666666664,0.10977619367867314,0.0,-0.12925788271732894,0.0,0.5153374233128835,1.0,False,short,last,16,2.4260872328869336,-0.2,,0.1,4,False,4.0,4.0,4.0,0.5,1,False,False
val,LRBN-SRA-BP-support,768,8.793396585205635,2.3047080759372625,8.79717792520947,2.3053724718885635,-0.0037813400038344686,-0.04298355713257335,-0.028819462213620417,0.009114583333333334,0.16145833333333334,0.17057291666666666,131,0.01705729166666667,0.10629863569767949,0.0,-0.12516317177327158,0.0,0.4662576687116564,1.0,False,support,last,16,2.4260872328869336,-0.2,0.3,0.1,4,False,4.0,4.0,4.0,0.5,2,False,False
val,LRBN-SRA-BP-support,768,8.793173514699212,2.304647699266934,8.79717792520947,2.3053724718885635,-0.004004410510256224,-0.045519262424259105,-0.03143841731970349,0.014322916666666666,0.19661458333333334,0.2109375,162,0.021093750000000005,0.10977619367867314,0.0,-0.12925788271732894,0.0,0.5153374233128835,1.0,False,support,last,16,2.4260872328869336,-0.2,0.5,0.1,4,False,4.0,4.0,4.0,0.5,3,False,False
val,LRBN-SRA-BP-support,768,8.793170728401174,2.304646501200392,8.79717792520947,2.3053724718885635,-0.004007196808295332,-0.0455509350590408,-0.03149038577822316,0.014322916666666666,0.19921875,0.21354166666666666,164,0.021354166666666664,0.10977619367867314,0.0,-0.12925788271732894,0.0,0.5153374233128835,1.0,False,support,last,16,2.4260872328869336,-0.2,0.7,0.1,4,False,4.0,4.0,4.0,0.5,4,False,False
val,LRBN-SRA-BP-continuous,768,8.793887674261716,2.3048063431187855,8.79717792520947,2.3053724718885635,-0.003290250947752126,-0.03740120947860188,-0.02455693273974733,0.14713541666666666,0.84765625,0.9869791666666666,758,0.014570528755322694,0.08933734410476687,-1.7219853566783197e-08,-0.10287379465101802,0.8809523809523809,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.3,0.1,4,True,4.0,4.0,4.0,0.5,5,False,False
val,LRBN-SRA-BP-continuous,768,8.79311682029242,2.304665223913488,8.79717792520947,2.3053724718885635,-0.004061104917050219,-0.04616372371866392,-0.030678251806666723,0.15104166666666666,0.84765625,0.9908854166666666,761,0.0186454100680326,0.10889466441816466,-2.787467966479172e-08,-0.1253926973271296,0.9166666666666666,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.5,0.1,4,True,4.0,4.0,4.0,0.5,6,False,False
val,LRBN-SRA-BP-continuous,768,8.79262673889845,2.304573298878068,8.79717792520947,2.3053724718885635,-0.004551186311017859,-0.05173461699352205,-0.03466567840008207,0.15104166666666666,0.84765625,1.0,768,0.02147429276709543,0.12096170083967613,-3.9330226949323274e-08,-0.13928005741761676,1.0,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.7,0.1,4,True,4.0,4.0,4.0,0.5,7,False,False
val,LRBN-SRA-BP-continuous,768,8.792115176630647,2.304475699982295,8.79717792520947,2.3053724718885635,-0.005062748578821198,-0.057549689413006706,-0.03889921968418974,0.15104166666666666,0.84765625,1.0,768,0.024720913421283307,0.13317713045560728,-6.187485527454558e-08,-0.15332871790626362,1.0,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,,0.1,4,True,4.0,4.0,4.0,0.5,8,False,False
val,LRBN-SRA-BP-short,768,8.791074482022845,2.3042185981008063,8.79717792520947,2.3053724718885635,-0.006103443186624588,-0.0693795582126005,-0.05005151214488193,0.0234375,0.19010416666666666,0.21354166666666666,164,0.021354166666666664,0.16645859382343312,0.0,-0.1959995576154206,0.0,0.5153374233128835,1.0,False,short,last,16,2.4260872328869336,-0.2,,0.1,8,False,4.0,4.0,4.0,0.5,9,False,False
