method,sample_id,dataset,backbone,horizon,seed,split,delta_mse_vs_lrbn,selected,strength,g_l,g_y,repair_ratio,jump_support,A,case_type
LRBN-BP-always,test_00040,ETTh1,DLinear,96,2026,test,1.8527680975076617,True,1.0,2.2654636436428857,0.7097791937802569,-0.8614624102863402,0.19223173528021364,-11.190736649154582,top_harm
LRBN-BP-always,test_00003,ETTh1,DLinear,96,2026,test,1.412934207337142,True,1.0,4.080559156035937,0.8608428816252458,-0.02142446238426099,0.10917015481455873,-1.3766170724402975,top_harm
LRBN-BP-always,test_00008,ETTh1,DLinear,96,2026,test,1.1134533586128423,True,1.0,3.1747715171851496,0.09559543106682433,-0.10805396703704662,0.14070821612941853,-1.4593862720798547,top_harm
LRBN-BP-always,test_00004,ETTh1,DLinear,96,2026,test,1.0031256719691841,True,1.0,1.3659666430186128,1.14201749884295,-0.36234077489043703,0.3336854563962255,-15.936022889887417,top_harm
LRBN-BP-always,test_00001,ETTh1,DLinear,96,2026,test,0.9609954155844451,True,1.0,4.669413455881945,0.14116493239467334,0.18355633699746476,0.09554262654519234,-1.0798588272688288,top_harm
LRBN-BP-always,test_00015,ETTh1,DLinear,96,2026,test,0.9533539724691045,True,1.0,7.408712060484911,1.0551336353365537,0.18845377544608188,0.06628661766356046,-0.2961624518695919,top_harm
LRBN-BP-always,test_00063,ETTh1,DLinear,96,2026,test,0.8862063036788435,True,1.0,1.1092166479252237,0.0,0.554458575180357,0.3571984959511429,-13.844682768147479,top_harm
LRBN-BP-always,test_00053,ETTh1,DLinear,96,2026,test,0.8212949599767221,True,1.0,4.584494731938196,1.6253083013472502,0.4146697232930947,0.12285410319956037,-5.9193366300975025,top_harm
LRBN-BP-always,test_00067,ETTh1,DLinear,96,2026,test,0.5520779683031263,True,1.0,1.5762634249264516,0.4187151509372752,0.6289145946061492,0.2768287623095078,-22.726013473111454,top_harm
LRBN-BP-always,test_00069,ETTh1,DLinear,96,2026,test,0.5285167051829103,True,1.0,5.55964186869317,3.5245340626212593,-0.2074916727988223,0.08102477107741625,0.29689527493503,top_harm
LRBN-BP-always,test_00006,ETTh1,DLinear,96,2026,test,0.5008977651986748,True,1.0,3.050195891364872,0.0,0.2132182101850547,0.16646377147609184,-1.344410505743084,top_harm
LRBN-BP-always,test_00018,ETTh1,DLinear,96,2026,test,0.37383637365759625,True,1.0,0.9388372047360889,0.8760235652241155,-1.6659171082316035,0.4214366598847923,-11.301568485221052,top_harm
LRBN-BP-always,test_00029,ETTh1,DLinear,96,2026,test,0.3655020625109877,True,1.0,1.4253204232782406,0.9034814715678624,-35.90829107689192,0.39456677515710176,-21.201957968299592,top_harm
LRBN-BP-always,test_00010,ETTh1,DLinear,96,2026,test,0.36019411417235503,True,1.0,6.273294880790408,0.4917934324851287,0.14637416727817876,0.08023556487827167,0.6677116155290599,top_harm
LRBN-BP-always,test_00032,ETTh1,DLinear,96,2026,test,0.3447553105717842,True,1.0,2.406089924599888,0.3589917751650331,0.4400542601394727,0.2281850133825527,-3.6080741621035815,top_harm
LRBN-BP-always,test_00091,ETTh1,DLinear,96,2026,test,0.3165653676018332,True,1.0,1.1870256467322908,0.0,0.5329312860128896,0.3374683948841648,-5.624703214820981,top_harm
LRBN-BP-always,test_00039,ETTh1,DLinear,96,2026,test,0.3113443445193127,True,1.0,1.9631683419641968,1.5637941500349208,-1.0101127751170123,0.21388088973236755,-1.4355449602273085,top_harm
LRBN-BP-always,test_00093,ETTh1,DLinear,96,2026,test,0.26239341328604393,True,1.0,4.658184088326012,1.7315248263756455,-0.3184492534965271,0.09985130362119038,0.4830649264036123,top_harm
LRBN-BP-always,test_00089,ETTh1,DLinear,96,2026,test,0.2561333107874484,True,1.0,5.5615940809411955,0.0,-0.4094447777635848,0.08231815980393041,0.25217281261742863,top_harm
LRBN-BP-always,test_00070,ETTh1,DLinear,96,2026,test,0.2513204190912779,True,1.0,2.5222611371667076,0.18348188599897142,-0.3380982867066691,0.16491654650481444,0.201456535243453,top_harm
LRBN-BP-always,test_00076,ETTh1,DLinear,96,2026,test,-7.119245343746581,True,1.0,11.87280884479929,2.684836367100037,0.22658269831607158,0.05001968904243132,7.100694180682282,top_win
LRBN-BP-always,test_00059,ETTh1,DLinear,96,2026,test,-4.43466529141436,True,1.0,6.1723059006680865,0.8646037505852872,0.21226095336850437,0.0790185869522389,3.5923528427218803,top_win
LRBN-BP-always,test_00075,ETTh1,DLinear,96,2026,test,-3.626176673976122,True,1.0,1.7332869966172295,0.15620037382130103,0.3537801224781728,0.22500845972871894,18.68221240270907,top_win
LRBN-BP-always,test_00019,ETTh1,DLinear,96,2026,test,-3.397021987332078,True,1.0,7.4770926167779,2.0765452112340723,0.22707619127348733,0.0644790149025144,10.867337588353207,top_win
LRBN-BP-always,test_00021,ETTh1,DLinear,96,2026,test,-2.601169130061564,True,1.0,3.069496759917361,0.4180423367790974,0.22911017638233588,0.1944175749044,8.242325082797928,top_win
LRBN-BP-always,test_00020,ETTh1,DLinear,96,2026,test,-2.4057510785461105,True,1.0,1.8260197915017011,0.891304347066403,0.29077811737059445,0.2341782167765459,22.58619603504105,top_win
LRBN-BP-always,test_00080,ETTh1,DLinear,96,2026,test,-2.3050127819347352,True,1.0,4.989112141112874,0.16965642694695232,-0.8145336083838199,0.09278577108677395,7.493409979091851,top_win
LRBN-BP-always,test_00041,ETTh1,DLinear,96,2026,test,-2.2494848827194844,True,1.0,5.501336033375028,0.16324065602303037,0.2828893388838071,0.09667566242176866,5.690178690982577,top_win
LRBN-BP-always,test_00030,ETTh1,DLinear,96,2026,test,-1.9577163910130686,True,1.0,2.1041701072622234,0.3719966090558396,0.3221739563750735,0.19930163487138927,10.184784639505253,top_win
LRBN-BP-always,test_00009,ETTh1,DLinear,96,2026,test,-1.7594151594356728,True,1.0,3.8112834343551536,0.25515925950017454,0.2220847274333032,0.11990522598205618,5.734923570030406,top_win
LRBN-BP-always,test_00081,ETTh1,DLinear,96,2026,test,-1.5672809396409026,True,1.0,3.645906550016339,0.41763931438800606,-0.9537533760436738,0.12297830110331005,6.462213653865524,top_win
LRBN-BP-always,test_00077,ETTh1,DLinear,96,2026,test,-1.5125036052941774,True,1.0,5.108263103640135,0.1446989077914814,0.30256240506243104,0.11342176424360874,3.9565538735645567,top_win
LRBN-BP-always,test_00068,ETTh1,DLinear,96,2026,test,-1.4182922908267863,True,1.0,2.950305533070012,0.18399811737760993,-0.37969338181940926,0.13663405686733268,4.3122255754903955,top_win
LRBN-BP-always,test_00074,ETTh1,DLinear,96,2026,test,-1.398215303477233,True,1.0,1.8252545093630261,2.0915117188421175,0.39318381116099377,0.23874200961106884,12.070345238670695,top_win
LRBN-BP-always,test_00005,ETTh1,DLinear,96,2026,test,-1.2225271636513733,True,1.0,7.11182061151196,0.8089085523924641,0.13627927812539475,0.06184284016810023,1.7799502040585957,top_win
LRBN-BP-always,test_00082,ETTh1,DLinear,96,2026,test,-1.0628839662492093,True,1.0,6.3159666193087345,0.8418316215886246,-1.1463124672435319,0.0742092360550415,6.062828510424459,top_win
LRBN-BP-always,test_00007,ETTh1,DLinear,96,2026,test,-0.9251027725841805,True,1.0,3.011249781544245,5.88235460457731,-0.1626645680261387,0.14400807637251695,5.825977616370935,top_win
LRBN-BP-always,test_00057,ETTh1,DLinear,96,2026,test,-0.8808326362045875,True,1.0,1.3350689838966183,1.3366373947277346,0.5075296692354241,0.30543741636973865,22.325754623830672,top_win
LRBN-BP-always,test_00024,ETTh1,DLinear,96,2026,test,-0.8133455033720169,True,1.0,4.176381445143435,0.29261920410542086,-2.14355806029422,0.11673078130862706,10.727097355874678,top_win
LRBN-BP-always,test_00044,ETTh1,DLinear,96,2026,test,-0.6568515180454977,True,1.0,1.731883123312195,1.0825830757461326,-4.431586817248429,0.2367416664102293,8.646212742546409,top_win
LRBN-BP-always,test_00092,ETTh1,DLinear,96,2026,test,0.15755922936970812,True,1.0,0.4736406213354628,0.7657925468013178,0.8166916826679395,0.6900859122764866,-60.8257570119445,low_gap_high_repair_harm
LRBN-BP-always,test_00038,ETTh1,DLinear,96,2026,test,0.14537933909912137,True,1.0,0.7561157769263342,0.9533345689456236,0.7266676641864662,0.5194050294305764,-21.392526992092115,low_gap_high_repair_harm
