method,slice_type,slice_name,count,coverage,mse_delta_pct_vs_lrbn,mean_delta,harm_rate,win_rate,win_loss_ratio,A_gt_1_rate,mean_A
LRBN-BP-always,gap_repair,low_gap__low_repair,48,1.0,0.05536315720868993,0.0028799422677027037,0.5,0.5,0.9672118735186803,0.5,0.3698983610728881
LRBN-BP-always,gap_repair,low_gap__mid_repair,35,1.0,-0.9443498688486276,-0.04839877602438323,0.5428571428571428,0.45714285714285713,1.9534453105178,0.45714285714285713,2.062776582721781
LRBN-BP-always,gap_repair,low_gap__high_repair,90,1.0,0.19751047625541376,0.012179330674471276,0.5,0.5,0.7628731417942174,0.5,66.23056384275692
LRBN-BP-always,gap_repair,mid_gap__low_repair,258,1.0,-2.6080588818794666,-0.1193924538682118,0.44573643410852715,0.5542635658914729,1.2141780905812345,0.5542635658914729,1.3220888448534198
LRBN-BP-always,gap_repair,mid_gap__mid_repair,119,1.0,-5.889956602230133,-0.2941992223120483,0.37815126050420167,0.6218487394957983,2.338051340693389,0.6218487394957983,4.178194458021851
LRBN-BP-always,gap_repair,mid_gap__high_repair,24,1.0,-0.8219074512127569,-0.03465947979781198,0.5,0.5,1.4896805131258923,0.5,5.836652724842345
LRBN-BP-always,gap_repair,high_gap__low_repair,163,1.0,-12.864612407762973,-0.6271925555833323,0.3619631901840491,0.6380368098159509,1.9024087253579673,0.6380368098159509,2.458947504042418
LRBN-BP-always,gap_repair,high_gap__mid_repair,29,1.0,-22.214965521055213,-0.7861500372698133,0.1724137931034483,0.8275862068965517,1.2932734467277711,0.8275862068965517,2.8657102930433553
LRBN-BP-always,gap_repair,high_gap__high_repair,2,1.0,-0.10986025107949393,-0.000371669862011037,0.5,0.5,13.552818608840203,0.5,-291.9211991605009
LRBN-BP-stage3-gated,gap_repair,low_gap__low_repair,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-BP-stage3-gated,gap_repair,low_gap__mid_repair,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-BP-stage3-gated,gap_repair,low_gap__high_repair,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-BP-stage3-gated,gap_repair,mid_gap__low_repair,258,0.007751937984496124,-0.20545185121839926,-0.009405232695918359,0.0,0.007751937984496124,0.0,0.007751937984496124,0.11278750836652264
LRBN-BP-stage3-gated,gap_repair,mid_gap__mid_repair,119,0.01680672268907563,-0.46751027009150914,-0.023351811765767082,0.0,0.01680672268907563,0.0,0.01680672268907563,0.2149828397635215
LRBN-BP-stage3-gated,gap_repair,mid_gap__high_repair,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
