method,segment,count,coverage,mse_delta_pct_vs_lrbn,mean_delta,harm_rate,win_loss_ratio
LRBN-BP-always,early,768,1.0,-19.679988858324283,-0.6288581927686018,0.36328125,2.1527050902935905
LRBN-BP-always,late,768,1.0,-0.7471566729695094,-0.047414396243841854,0.4466145833333333,1.2357802357362049
LRBN-BP-always,mid,768,1.0,-3.232958836345408,-0.16221747950474935,0.46484375,1.37204154445107
LRBN-BP-repair-gate,early,768,0.6106770833333334,-6.855996179342741,-0.21907783576545284,0.1640625,2.131894190516651
LRBN-BP-repair-gate,late,768,0.6106770833333334,-0.16105777289421988,-0.010220690436728377,0.2786458333333333,1.1890243623930636
LRBN-BP-repair-gate,mid,768,0.6106770833333334,-1.1240123373831903,-0.05639862971736962,0.26953125,1.464277929694926
LRBN-BP-short-bridge,early,768,1.0,-3.7061723585115107,-0.11842775258872451,0.17317708333333334,9.65413305183712
LRBN-BP-short-bridge,late,768,1.0,0.0,0.0,0.0,0.0
LRBN-BP-short-bridge,mid,768,1.0,0.0,0.0,0.0,0.0
LRBN-BP-stage3-gated,early,768,0.04296875,-2.707906027736374,-0.08652895603999332,0.006510416666666667,4.935008862850649
LRBN-BP-stage3-gated,late,768,0.04296875,-0.07338282210192894,-0.004656857564830002,0.024739583333333332,2.36659462446466
LRBN-BP-stage3-gated,mid,768,0.04296875,-0.2881914405886085,-0.014460341586029902,0.022135416666666668,1.8125709940000858
LRBN-SRA-BP-balanced,early,768,0.4361979166666667,-15.919673102043744,-0.5087003315138353,0.10416666666666667,2.0881515593912967
LRBN-SRA-BP-balanced,late,768,0.4361979166666667,0.0,0.0,0.0,0.0
LRBN-SRA-BP-balanced,mid,768,0.4361979166666667,0.0,0.0,0.0,0.0
LRBN-SRA-BP-basic,early,768,0.32421875,-14.269830767627651,-0.45598094857906313,0.08203125,1.7872227065159791
LRBN-SRA-BP-basic,late,768,0.32421875,-0.4408969628550508,-0.027979223174746822,0.15234375,1.40885594651488
LRBN-SRA-BP-basic,mid,768,0.32421875,-2.0169818333071463,-0.10120441544990888,0.12890625,1.101103478543961
LRBN-SRA-BP-continuous,early,768,0.3606770833333333,-4.381526004342772,-0.14000813437931164,0.11848958333333333,10.318938417561903
LRBN-SRA-BP-continuous,late,768,0.3606770833333333,0.0,0.0,0.0,0.0
LRBN-SRA-BP-continuous,mid,768,0.3606770833333333,0.0,0.0,0.0,0.0
LRBN-SRA-BP-safe,early,768,0.1875,-10.14062987915486,-0.32403566004272644,0.03515625,2.3278582202293014
LRBN-SRA-BP-safe,late,768,0.1875,0.0,0.0,0.0,0.0
LRBN-SRA-BP-safe,mid,768,0.1875,0.0,0.0,0.0,0.0
LRBN-SRA-BP-short,early,768,0.4283854166666667,-15.166310747918422,-0.48462724428163656,0.10546875,2.0842053942396137
LRBN-SRA-BP-short,late,768,0.4283854166666667,0.0,0.0,0.0,0.0
LRBN-SRA-BP-short,mid,768,0.4283854166666667,0.0,0.0,0.0,0.0
LRBN-SRA-BP-support,early,768,0.4361979166666667,-15.919673102043744,-0.5087003315138353,0.10416666666666667,2.0881515593912967
LRBN-SRA-BP-support,late,768,0.4361979166666667,0.0,0.0,0.0,0.0
LRBN-SRA-BP-support,mid,768,0.4361979166666667,0.0,0.0,0.0,0.0
