method,slice_type,slice_name,count,coverage,mse_delta_pct_vs_lrbn,mean_delta,harm_rate,win_rate,win_loss_ratio,A_gt_1_rate,mean_A
LRBN-BP-always,oracle_boundary,low_gL_low_gY,138,1.0,-0.11672372520998617,-0.006267082930625843,0.4782608695652174,0.5217391304347826,1.014622198510256,0.5217391304347826,46.439625726690316
LRBN-BP-always,oracle_boundary,high_gL_low_gY,143,1.0,-16.211510130108344,-0.7199115973243229,0.3076923076923077,0.6923076923076923,2.0321309812551793,0.6923076923076923,-1.4119754492935022
LRBN-BP-always,oracle_boundary,high_gL_high_gY,51,1.0,-8.398426268378687,-0.4330220110441887,0.4117647058823529,0.5882352941176471,1.5136291886741902,0.5882352941176471,1.9996888742184409
LRBN-BP-always,oracle_boundary,low_gL_high_gY,35,1.0,0.16670949059389387,0.01157935066071709,0.6285714285714286,0.37142857142857144,1.4888877225831187,0.37142857142857144,-10.227580077382258
LRBN-BP-always,oracle_boundary,mid_or_mixed,401,1.0,-3.551200538387177,-0.16619647897326656,0.428927680798005,0.571072319201995,1.4236475958588006,0.571072319201995,2.4398596705062316
LRBN-BP-stage3-gated,oracle_boundary,low_gL_low_gY,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-BP-stage3-gated,oracle_boundary,high_gL_low_gY,143,0.15384615384615385,-1.9316116253293252,-0.08577791948070426,0.07692307692307693,0.07692307692307693,4.129926679093418,0.07692307692307693,-4.153853945838822
LRBN-BP-stage3-gated,oracle_boundary,high_gL_high_gY,51,0.13725490196078433,-2.1253746619572254,-0.10958410313230661,0.058823529411764705,0.0784313725490196,2.3772363995722894,0.0784313725490196,0.17829604059859464
LRBN-BP-stage3-gated,oracle_boundary,low_gL_high_gY,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-BP-stage3-gated,oracle_boundary,mid_or_mixed,401,0.00997506234413965,-0.27737315015530656,-0.012981086373249923,0.0,0.00997506234413965,0.0,0.00997506234413965,0.13636442665940623
LRBN-BP-repair-gate,oracle_boundary,low_gL_low_gY,138,0.2826086956521739,-0.03372567159471554,-0.0018107850858503308,0.11594202898550725,0.16666666666666666,0.8522854981741302,0.16666666666666666,6.332927134700634
LRBN-BP-repair-gate,oracle_boundary,high_gL_low_gY,143,0.8251748251748252,-6.577844137666585,-0.29210519205753627,0.18181818181818182,0.6433566433566433,2.445327295882601,0.6433566433566433,11.409499360789805
LRBN-BP-repair-gate,oracle_boundary,high_gL_high_gY,51,0.8823529411764706,-2.1319288220429335,-0.10992203496504735,0.3137254901960784,0.5686274509803921,1.107051391575329,0.5686274509803921,10.985845707902024
LRBN-BP-repair-gate,oracle_boundary,low_gL_high_gY,35,0.2571428571428571,0.09101617958169347,0.006321825202756244,0.2,0.05714285714285714,1.7337426139051113,0.05714285714285714,0.9570870701999228
LRBN-BP-repair-gate,oracle_boundary,mid_or_mixed,401,0.6433915211970075,-0.9738830183267452,-0.045577805823174,0.256857855361596,0.3865336658354115,1.3938462266592637,0.3865336658354115,4.459516613882306
LRBN-BP-short-bridge,oracle_boundary,low_gL_low_gY,138,1.0,-0.021341746394685158,-0.001145872394829721,0.4057971014492754,0.5942028985507246,2.1180324505671293,0.5942028985507246,0.2527464167286524
LRBN-BP-short-bridge,oracle_boundary,high_gL_low_gY,143,1.0,-1.898865447226827,-0.08432374567488152,0.006993006993006993,0.993006993006993,358250.0347466866,0.993006993006993,4.814490064923286
LRBN-BP-short-bridge,oracle_boundary,high_gL_high_gY,51,1.0,-1.1446280707501053,-0.05901690784141723,0.0784313725490196,0.9215686274509803,8.076766650708816,0.9215686274509803,4.8517296821314195
LRBN-BP-short-bridge,oracle_boundary,low_gL_high_gY,35,1.0,0.0006493579373447262,4.510327056981289e-05,0.5428571428571428,0.45714285714285713,1.164273423319086,0.45714285714285713,2.025407797037941
LRBN-BP-short-bridge,oracle_boundary,mid_or_mixed,401,1.0,-0.40035624126244246,-0.018736705210968114,0.13216957605985039,0.8678304239401496,3.770843813318854,0.8678304239401496,5.117250578308542
LRBN-SRA-BP-safe,oracle_boundary,low_gL_low_gY,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-safe,oracle_boundary,high_gL_low_gY,143,0.7552447552447552,-7.8811801525799625,-0.34998300262645965,0.13986013986013987,0.6153846153846154,2.7766884374591876,0.6153846153846154,2.1701622478925326
LRBN-SRA-BP-safe,oracle_boundary,high_gL_high_gY,51,0.7058823529411765,-4.62712437137626,-0.23857406573764176,0.13725490196078433,0.5686274509803921,1.4729526131122168,0.5686274509803921,1.809719872392213
LRBN-SRA-BP-safe,oracle_boundary,low_gL_high_gY,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-safe,oracle_boundary,mid_or_mixed,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-balanced,oracle_boundary,low_gL_low_gY,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-balanced,oracle_boundary,high_gL_low_gY,143,0.9440559440559441,-10.078278988383067,-0.4475505283947611,0.15384615384615385,0.7902097902097902,2.790448409690808,0.7902097902097902,2.7255172397733083
LRBN-SRA-BP-balanced,oracle_boundary,high_gL_high_gY,51,0.9215686274509803,-4.988126348200794,-0.25718729123967005,0.19607843137254902,0.7254901960784313,1.1357212229726146,0.7254901960784313,2.205662858355355
LRBN-SRA-BP-balanced,oracle_boundary,low_gL_high_gY,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-balanced,oracle_boundary,mid_or_mixed,401,0.38154613466334164,-1.0952399932024597,-0.05125732228673905,0.11970074812967581,0.26184538653366585,1.5794538557604758,0.26184538653366585,0.8710338530280162
LRBN-SRA-BP-basic,oracle_boundary,low_gL_low_gY,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-basic,oracle_boundary,high_gL_low_gY,143,0.986013986013986,-16.21139307358885,-0.7199063991444346,0.3006993006993007,0.6853146853146853,2.0062028463571013,0.6853146853146853,2.6708385249792372
LRBN-SRA-BP-basic,oracle_boundary,high_gL_high_gY,51,1.0,-8.398426268378687,-0.4330220110441887,0.4117647058823529,0.5882352941176471,1.5136291886741902,0.5882352941176471,1.9996888742184409
LRBN-SRA-BP-basic,oracle_boundary,low_gL_high_gY,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
