pool,candidate,family,tier,deployable,new_family
inner_train,keep_lrbn,default,default,True,False
inner_train,sra_safe,boundary,safe,True,False
inner_train,sra_balanced,boundary,balanced,True,False
inner_train,sra_basic_ablation,boundary,balanced,True,False
inner_train,stage3_gated_bp,boundary,safe,True,False
inner_train,mrc_ridge_abstain,residual,safe,True,False
inner_train,mrc_ridge_residual_blend,residual,balanced,True,False
inner_train,volatility_shrink,volatility,safe,True,False
inner_train,level_bias_bounded,level,balanced,True,False
inner_train,level_bias_light,level,safe,True,False
inner_train,amplitude_scale_bounded,amplitude,balanced,True,False
inner_train,amplitude_expand,amplitude,aggressive,False,False
inner_train,phase_shift_short,phase,aggressive,False,False
inner_train,ensemble_median,ensemble,safe,True,False
inner_train,bp_always,boundary,aggressive,False,False
inner_train,raw,raw,aggressive,False,False
inner_train,teacher_median_smoothing,smoothing_teacher,balanced,True,True
inner_train,teacher_ema_smoothing,smoothing_teacher,balanced,True,True
inner_train,teacher_naive_smoothing,smoothing_teacher,balanced,True,True
inner_train,teacher_short_preserve_mid_smooth,smoothing_teacher,safe,True,True
inner_train,teacher_robust_trend,smoothing_teacher,balanced,True,True
inner_train,residual_q25,residual_distribution,balanced,True,True
inner_train,residual_config_median,residual_distribution,safe,True,True
inner_train,residual_q75,residual_distribution,balanced,True,True
inner_train,residual_slice_quantile_median,residual_distribution,balanced,True,True
inner_train,residual_memory_knn_median,retrieval_memory,balanced,True,True
inner_train,residual_memory_knn_weighted,retrieval_memory,balanced,True,True
inner_calib,keep_lrbn,default,default,True,False
inner_calib,sra_safe,boundary,safe,True,False
inner_calib,sra_balanced,boundary,balanced,True,False
inner_calib,sra_basic_ablation,boundary,balanced,True,False
inner_calib,stage3_gated_bp,boundary,safe,True,False
inner_calib,mrc_ridge_abstain,residual,safe,True,False
inner_calib,mrc_ridge_residual_blend,residual,balanced,True,False
inner_calib,volatility_shrink,volatility,safe,True,False
inner_calib,level_bias_bounded,level,balanced,True,False
inner_calib,level_bias_light,level,safe,True,False
inner_calib,amplitude_scale_bounded,amplitude,balanced,True,False
inner_calib,amplitude_expand,amplitude,aggressive,False,False
inner_calib,phase_shift_short,phase,aggressive,False,False
inner_calib,ensemble_median,ensemble,safe,True,False
inner_calib,bp_always,boundary,aggressive,False,False
inner_calib,raw,raw,aggressive,False,False
inner_calib,teacher_median_smoothing,smoothing_teacher,balanced,True,True
inner_calib,teacher_ema_smoothing,smoothing_teacher,balanced,True,True
inner_calib,teacher_naive_smoothing,smoothing_teacher,balanced,True,True
inner_calib,teacher_short_preserve_mid_smooth,smoothing_teacher,safe,True,True
inner_calib,teacher_robust_trend,smoothing_teacher,balanced,True,True
inner_calib,residual_q25,residual_distribution,balanced,True,True
inner_calib,residual_config_median,residual_distribution,safe,True,True
inner_calib,residual_q75,residual_distribution,balanced,True,True
inner_calib,residual_slice_quantile_median,residual_distribution,balanced,True,True
inner_calib,residual_memory_knn_median,retrieval_memory,balanced,True,True
inner_calib,residual_memory_knn_weighted,retrieval_memory,balanced,True,True
test,keep_lrbn,default,default,True,False
test,sra_safe,boundary,safe,True,False
test,sra_balanced,boundary,balanced,True,False
test,sra_basic_ablation,boundary,balanced,True,False
test,stage3_gated_bp,boundary,safe,True,False
test,mrc_ridge_abstain,residual,safe,True,False
test,mrc_ridge_residual_blend,residual,balanced,True,False
test,volatility_shrink,volatility,safe,True,False
test,level_bias_bounded,level,balanced,True,False
test,level_bias_light,level,safe,True,False
test,amplitude_scale_bounded,amplitude,balanced,True,False
test,amplitude_expand,amplitude,aggressive,False,False
test,phase_shift_short,phase,aggressive,False,False
test,ensemble_median,ensemble,safe,True,False
test,bp_always,boundary,aggressive,False,False
test,raw,raw,aggressive,False,False
test,teacher_median_smoothing,smoothing_teacher,balanced,True,True
test,teacher_ema_smoothing,smoothing_teacher,balanced,True,True
test,teacher_naive_smoothing,smoothing_teacher,balanced,True,True
test,teacher_short_preserve_mid_smooth,smoothing_teacher,safe,True,True
test,teacher_robust_trend,smoothing_teacher,balanced,True,True
test,residual_q25,residual_distribution,balanced,True,True
test,residual_config_median,residual_distribution,safe,True,True
test,residual_q75,residual_distribution,balanced,True,True
test,residual_slice_quantile_median,residual_distribution,balanced,True,True
test,residual_memory_knn_median,retrieval_memory,balanced,True,True
test,residual_memory_knn_weighted,retrieval_memory,balanced,True,True
