row_index,horizon,k_used,mean_distance,min_distance,memory_candidate,split,candidate,n,mean_mse_delta,win_rate,harm_rate
0,96,9,2.2476790329735796,1.1594103197610264,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
1,96,9,2.113658770884237,1.0709238088274522,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
2,96,9,2.4663101690480347,1.5457591773987196,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
3,96,9,2.227374129516129,1.5299943520666635,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
4,96,9,3.1233632978442536,2.499041325609429,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
5,96,9,2.6039617671811035,1.7991972581921798,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
6,96,9,2.709985513163014,1.758103695792539,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
7,96,9,2.3904721765064427,1.3737796268426135,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
8,96,9,2.2602029405258777,1.0709238088274522,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
9,96,9,5.005465170546243,3.54008704469969,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
10,96,9,9.116542119619787,7.223874285133143,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
11,96,9,2.7942551389890498,1.758103695792539,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
12,96,9,2.0512813644270187,1.3737796268426135,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
13,96,9,2.094991787978695,1.3937817918070126,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
14,96,9,2.52326552693433,1.5457591773987196,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
15,96,9,2.2550901049459084,1.6853778534400994,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
16,96,9,2.217431015112926,1.3937817918070126,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
17,96,9,2.191641809783853,1.4389217438267767,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
18,96,9,2.3444679251242713,1.446033208629115,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
19,96,9,2.466856781725237,1.1594103197610264,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
20,96,9,2.629137169822804,1.5299943520666635,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
21,96,9,3.9499746295485227,3.7003347782646085,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
22,96,9,2.625706892893706,1.878811493453034,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
23,96,9,2.7283080277005585,2.1772044143021625,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
24,96,9,1.9394231079951072,1.1901596172875248,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
25,96,9,2.2992223737002226,1.8389017607127243,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
26,96,9,2.2757771405641543,1.3999591830327076,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
27,96,9,2.3642574835698107,1.8665431711095313,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
28,96,9,2.1853245056876136,1.3957199381390557,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
29,96,9,2.2401689512580525,1.3619413888932344,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
30,96,9,1.8883697383135118,1.1281406302690908,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
31,96,9,2.455022783939077,2.0822405437473526,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
32,96,9,1.950704665343727,1.5114721869771268,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
33,96,9,1.9198403540768778,0.6601246828786839,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
