artifact,exists,bytes
stage10_config.json,True,739
stage10_candidate_pool.csv,True,5247373
stage10_candidate_metadata.csv,True,5018
stage10_oracle_old_vs_new.csv,True,1143
stage10_oracle_family_distribution.csv,True,1240
stage10_candidate_oracle_distribution.csv,True,2854
stage10_family_selector_metrics.csv,True,3451
stage10_candidate_selector_metrics.csv,True,547
stage10_policy_grid_safe.csv,True,2390
stage10_policy_grid_balanced.csv,True,2414
stage10_overall.csv,True,2054
stage10_per_config.csv,True,5753
stage10_slice_metrics.csv,True,11009
stage10_selection_distribution.csv,True,1228
stage10_memory_retrieval_diagnostics.csv,True,521510
stage10_bootstrap_ci.json,True,790
stage10_failure_cases.csv,True,30744
stage10_verdict.json,True,1690
summary.md,True,2902
