variant,selected_candidate,share
Safe-CGA,keep_lrbn,0.8203125
Safe-CGA,teacher_ema_smoothing,0.048177083333333336
Safe-CGA,teacher_median_smoothing,0.036458333333333336
Safe-CGA,sra_safe,0.032552083333333336
Safe-CGA,teacher_short_preserve_mid_smooth,0.015625
Safe-CGA,sra_balanced,0.013020833333333334
Safe-CGA,volatility_shrink,0.010416666666666666
Safe-CGA,teacher_naive_smoothing,0.0078125
Safe-CGA,mrc_ridge_abstain,0.006510416666666667
Safe-CGA,sra_basic_ablation,0.005208333333333333
Safe-CGA,stage3_gated_bp,0.0026041666666666665
Safe-CGA,mrc_ridge_residual_blend,0.0013020833333333333
Balanced-CGA,keep_lrbn,0.8203125
Balanced-CGA,teacher_ema_smoothing,0.048177083333333336
Balanced-CGA,teacher_median_smoothing,0.036458333333333336
Balanced-CGA,sra_safe,0.032552083333333336
Balanced-CGA,teacher_short_preserve_mid_smooth,0.015625
Balanced-CGA,sra_balanced,0.013020833333333334
Balanced-CGA,volatility_shrink,0.010416666666666666
Balanced-CGA,teacher_naive_smoothing,0.0078125
Balanced-CGA,mrc_ridge_abstain,0.006510416666666667
Balanced-CGA,sra_basic_ablation,0.005208333333333333
Balanced-CGA,stage3_gated_bp,0.0026041666666666665
Balanced-CGA,mrc_ridge_residual_blend,0.0013020833333333333
