variant,slice,n,mse,lrbn_mse,mse_delta_pct_vs_lrbn,harm_rate,win_rate,coverage
LRBN,overall,768,4.894157596003544,4.894157596003544,0.0,0.0,0.0,0.0
LRBN,high_gap_low_repair,163,4.875331913757459,4.875331913757459,0.0,0.0,0.0,0.0
LRBN,q4_boundary,194,4.628772253626971,4.628772253626971,0.0,0.0,0.0,0.0
LRBN,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
LRBN,non_boundary,574,4.983852293601202,4.983852293601202,0.0,0.0,0.0,0.0
LRBN,amplitude_mismatch,378,4.717407120726903,4.717407120726903,0.0,0.0,0.0,0.0
LRBN,known_harmed_config,96,3.994698335172625,3.994698335172625,0.0,0.0,0.0,0.0
SRA-BP-balanced,overall,768,4.766982513125085,4.894157596003544,-2.59850812165216,0.10416666666666667,0.33203125,0.0
SRA-BP-balanced,high_gap_low_repair,163,4.489336396175754,4.875331913757459,-7.917317705093091,0.17791411042944785,0.7668711656441718,0.0
SRA-BP-balanced,q4_boundary,194,4.231265669020404,4.628772253626971,-8.587732598775384,0.16494845360824742,0.7731958762886598,0.0
SRA-BP-balanced,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
SRA-BP-balanced,non_boundary,574,4.948043606777191,4.983852293601202,-0.7184941415325645,0.08362369337979095,0.18292682926829268,0.0
SRA-BP-balanced,amplitude_mismatch,378,4.616585785077957,4.717407120726903,-2.1372192998192694,0.10317460317460317,0.3148148148148148,0.0
SRA-BP-balanced,known_harmed_config,96,3.9061928594973883,3.994698335172625,-2.2155734432911722,0.19791666666666666,0.375,0.0
oracle_stage11_cga_full,overall,768,3.074767225864992,4.894157596003544,-37.174740100456724,0.0,1.0,0.0
oracle_stage11_cga_full,high_gap_low_repair,163,2.939199999119644,4.875331913757459,-39.71282253015549,0.0,1.0,0.0
oracle_stage11_cga_full,q4_boundary,194,2.7676174396675584,4.628772253626971,-40.20839021579052,0.0,1.0,0.0
oracle_stage11_cga_full,low_gap_high_repair,114,3.6799407741619192,5.953046697432603,-38.18390876108238,0.0,1.0,0.0
oracle_stage11_cga_full,non_boundary,574,3.1785774323498392,4.983852293601202,-36.22247914423383,0.0,1.0,0.0
oracle_stage11_cga_full,amplitude_mismatch,378,3.043236795942475,4.717407120726903,-35.48920579442241,0.0,1.0,0.0
oracle_stage11_cga_full,known_harmed_config,96,2.445506684734806,3.994698335172625,-38.78119238490016,0.0,1.0,0.0
CGA-HM-safe,overall,768,4.841242615138632,4.894157596003544,-1.0811866949279032,0.20442708333333334,0.7942708333333334,0.9986979166666666
CGA-HM-safe,high_gap_low_repair,163,4.849152566157336,4.875331913757459,-0.5369756974402313,0.17791411042944785,0.8220858895705522,1.0
CGA-HM-safe,q4_boundary,194,4.593722484461475,4.628772253626971,-0.7572152434656971,0.18556701030927836,0.8092783505154639,0.9948453608247423
CGA-HM-safe,low_gap_high_repair,114,5.909273196049564,5.953046697432603,-0.7353125808400943,0.23684210526315788,0.7631578947368421,1.0
CGA-HM-safe,non_boundary,574,4.924899244670633,4.983852293601202,-1.1828811397153725,0.21080139372822299,0.789198606271777,1.0
CGA-HM-safe,amplitude_mismatch,378,4.663649292960845,4.717407120726903,-1.1395630327496031,0.2275132275132275,0.7698412698412699,0.9973544973544973
CGA-HM-safe,known_harmed_config,96,4.030667611001664,3.994698335172625,0.9004253318027322,0.4791666666666667,0.5208333333333334,1.0
CGA-HM-balanced,overall,768,4.841242615138632,4.894157596003544,-1.0811866949279032,0.20442708333333334,0.7942708333333334,0.9986979166666666
CGA-HM-balanced,high_gap_low_repair,163,4.849152566157336,4.875331913757459,-0.5369756974402313,0.17791411042944785,0.8220858895705522,1.0
CGA-HM-balanced,q4_boundary,194,4.593722484461475,4.628772253626971,-0.7572152434656971,0.18556701030927836,0.8092783505154639,0.9948453608247423
CGA-HM-balanced,low_gap_high_repair,114,5.909273196049564,5.953046697432603,-0.7353125808400943,0.23684210526315788,0.7631578947368421,1.0
CGA-HM-balanced,non_boundary,574,4.924899244670633,4.983852293601202,-1.1828811397153725,0.21080139372822299,0.789198606271777,1.0
CGA-HM-balanced,amplitude_mismatch,378,4.663649292960845,4.717407120726903,-1.1395630327496031,0.2275132275132275,0.7698412698412699,0.9973544973544973
CGA-HM-balanced,known_harmed_config,96,4.030667611001664,3.994698335172625,0.9004253318027322,0.4791666666666667,0.5208333333333334,1.0
CGA-HM-veto-safe,overall,768,4.839807225691508,4.894157596003544,-1.110515326383568,0.19921875,0.7916666666666666,0.9908854166666666
CGA-HM-veto-safe,high_gap_low_repair,163,4.840795267636607,4.875331913757459,-0.7083957905010573,0.15950920245398773,0.803680981595092,0.9631901840490797
CGA-HM-veto-safe,q4_boundary,194,4.5867006305497275,4.628772253626971,-0.9089153814682819,0.17010309278350516,0.7938144329896907,0.9639175257731959
CGA-HM-veto-safe,low_gap_high_repair,114,5.909273196049564,5.953046697432603,-0.7353125808400943,0.23684210526315788,0.7631578947368421,1.0
CGA-HM-veto-safe,non_boundary,574,4.9253519634223535,4.983852293601202,-1.1737974284787183,0.20905923344947736,0.7909407665505227,1.0
CGA-HM-veto-safe,amplitude_mismatch,378,4.659403853549609,4.717407120726903,-1.2295582206481335,0.22486772486772486,0.7645502645502645,0.9894179894179894
CGA-HM-veto-safe,known_harmed_config,96,4.014513550297328,3.994698335172625,0.49603783346115393,0.46875,0.5104166666666666,0.9791666666666666
CGA-HM-veto-balanced,overall,768,4.839807225691508,4.894157596003544,-1.110515326383568,0.19921875,0.7916666666666666,0.9908854166666666
CGA-HM-veto-balanced,high_gap_low_repair,163,4.840795267636607,4.875331913757459,-0.7083957905010573,0.15950920245398773,0.803680981595092,0.9631901840490797
CGA-HM-veto-balanced,q4_boundary,194,4.5867006305497275,4.628772253626971,-0.9089153814682819,0.17010309278350516,0.7938144329896907,0.9639175257731959
CGA-HM-veto-balanced,low_gap_high_repair,114,5.909273196049564,5.953046697432603,-0.7353125808400943,0.23684210526315788,0.7631578947368421,1.0
CGA-HM-veto-balanced,non_boundary,574,4.9253519634223535,4.983852293601202,-1.1737974284787183,0.20905923344947736,0.7909407665505227,1.0
CGA-HM-veto-balanced,amplitude_mismatch,378,4.659403853549609,4.717407120726903,-1.2295582206481335,0.22486772486772486,0.7645502645502645,0.9894179894179894
CGA-HM-veto-balanced,known_harmed_config,96,4.014513550297328,3.994698335172625,0.49603783346115393,0.46875,0.5104166666666666,0.9791666666666666
