variant,selected_families,share
Sparse-Family-CGA,"residual_distribution,smoothing_teacher",0.8033854166666666
Sparse-Family-CGA,residual_distribution,0.0703125
Sparse-Family-CGA,"residual_distribution,retrieval_memory",0.0546875
Sparse-Family-CGA,smoothing_teacher,0.03125
Sparse-Family-CGA,"smoothing_teacher,retrieval_memory",0.018229166666666668
Sparse-Family-CGA,"smoothing_teacher,residual_distribution",0.016927083333333332
Sparse-Family-CGA,"retrieval_memory,smoothing_teacher",0.0026041666666666665
Sparse-Family-CGA,retrieval_memory,0.0013020833333333333
Sparse-Family-CGA,none,0.0013020833333333333
Sparse-Residual-Simplex-CGA,"residual_distribution,smoothing_teacher",0.8033854166666666
Sparse-Residual-Simplex-CGA,residual_distribution,0.0703125
Sparse-Residual-Simplex-CGA,"residual_distribution,retrieval_memory",0.0546875
Sparse-Residual-Simplex-CGA,smoothing_teacher,0.03125
Sparse-Residual-Simplex-CGA,"smoothing_teacher,retrieval_memory",0.018229166666666668
Sparse-Residual-Simplex-CGA,"smoothing_teacher,residual_distribution",0.016927083333333332
Sparse-Residual-Simplex-CGA,"retrieval_memory,smoothing_teacher",0.0026041666666666665
Sparse-Residual-Simplex-CGA,retrieval_memory,0.0013020833333333333
Sparse-Residual-Simplex-CGA,none,0.0013020833333333333
NoHarm-Selective-CGA,"residual_distribution,smoothing_teacher",0.8046875
NoHarm-Selective-CGA,residual_distribution,0.0703125
NoHarm-Selective-CGA,"residual_distribution,retrieval_memory",0.055989583333333336
NoHarm-Selective-CGA,smoothing_teacher,0.03125
NoHarm-Selective-CGA,"smoothing_teacher,retrieval_memory",0.018229166666666668
NoHarm-Selective-CGA,"smoothing_teacher,residual_distribution",0.014322916666666666
NoHarm-Selective-CGA,"retrieval_memory,smoothing_teacher",0.0026041666666666665
NoHarm-Selective-CGA,retrieval_memory,0.0013020833333333333
NoHarm-Selective-CGA,none,0.0013020833333333333
LambdaVeto-CGA,"residual_distribution,smoothing_teacher",0.6484375
LambdaVeto-CGA,"residual_distribution,retrieval_memory",0.15625
LambdaVeto-CGA,residual_distribution,0.13411458333333334
LambdaVeto-CGA,smoothing_teacher,0.0234375
LambdaVeto-CGA,"smoothing_teacher,retrieval_memory",0.015625
LambdaVeto-CGA,none,0.009114583333333334
LambdaVeto-CGA,"smoothing_teacher,residual_distribution",0.006510416666666667
LambdaVeto-CGA,retrieval_memory,0.00390625
LambdaVeto-CGA,"retrieval_memory,smoothing_teacher",0.0026041666666666665
