variant,slice,n,mse,lrbn_mse,mse_delta_pct_vs_lrbn,harm_rate,win_rate,coverage
LRBN,overall,768,4.894157596003544,4.894157596003544,0.0,0.0,0.0,0.0
LRBN,high_gap_low_repair,163,4.875331913757459,4.875331913757459,0.0,0.0,0.0,0.0
LRBN,q4_boundary,194,4.628772253626971,4.628772253626971,0.0,0.0,0.0,0.0
LRBN,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
LRBN,non_boundary,574,4.983852293601202,4.983852293601202,0.0,0.0,0.0,0.0
LRBN,amplitude_mismatch,378,4.717407120726903,4.717407120726903,0.0,0.0,0.0,0.0
LRBN,known_harmed_config,96,3.994698335172625,3.994698335172625,0.0,0.0,0.0,0.0
SRA-BP-balanced,overall,768,4.766982513125085,4.894157596003544,-2.59850812165216,0.10416666666666667,0.33203125,0.0
SRA-BP-balanced,high_gap_low_repair,163,4.489336396175754,4.875331913757459,-7.917317705093091,0.17791411042944785,0.7668711656441718,0.0
SRA-BP-balanced,q4_boundary,194,4.231265669020404,4.628772253626971,-8.587732598775384,0.16494845360824742,0.7731958762886598,0.0
SRA-BP-balanced,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
SRA-BP-balanced,non_boundary,574,4.948043606777191,4.983852293601202,-0.7184941415325645,0.08362369337979095,0.18292682926829268,0.0
SRA-BP-balanced,amplitude_mismatch,378,4.616585785077957,4.717407120726903,-2.1372192998192694,0.10317460317460317,0.3148148148148148,0.0
SRA-BP-balanced,known_harmed_config,96,3.9061928594973883,3.994698335172625,-2.2155734432911722,0.19791666666666666,0.375,0.0
oracle_stage12_cga_full,overall,768,3.074767225864992,4.894157596003544,-37.174740100456724,0.0,1.0,0.0
oracle_stage12_cga_full,high_gap_low_repair,163,2.939199999119644,4.875331913757459,-39.71282253015549,0.0,1.0,0.0
oracle_stage12_cga_full,q4_boundary,194,2.7676174396675584,4.628772253626971,-40.20839021579052,0.0,1.0,0.0
oracle_stage12_cga_full,low_gap_high_repair,114,3.6799407741619192,5.953046697432603,-38.18390876108238,0.0,1.0,0.0
oracle_stage12_cga_full,non_boundary,574,3.1785774323498392,4.983852293601202,-36.22247914423383,0.0,1.0,0.0
oracle_stage12_cga_full,amplitude_mismatch,378,3.043236795942475,4.717407120726903,-35.48920579442241,0.0,1.0,0.0
oracle_stage12_cga_full,known_harmed_config,96,2.445506684734806,3.994698335172625,-38.78119238490016,0.0,1.0,0.0
Sparse-Family-CGA,overall,768,4.823735595698971,4.894157596003544,-1.4388993157512555,0.2513020833333333,0.7473958333333334,0.9986979166666666
Sparse-Family-CGA,high_gap_low_repair,163,4.854335815320471,4.875331913757459,-0.43065987640090403,0.20245398773006135,0.7975460122699386,1.0
Sparse-Family-CGA,q4_boundary,194,4.5914550249054304,4.628772253626971,-0.8062014416820652,0.211340206185567,0.7835051546391752,0.9948453608247423
Sparse-Family-CGA,low_gap_high_repair,114,5.86758521367758,5.953046697432603,-1.4355923606028704,0.2631578947368421,0.7368421052631579,1.0
Sparse-Family-CGA,non_boundary,574,4.90224157258738,4.983852293601202,-1.6375027998893892,0.26480836236933797,0.735191637630662,1.0
Sparse-Family-CGA,amplitude_mismatch,378,4.643485476744668,4.717407120726903,-1.5669973342081343,0.2804232804232804,0.716931216931217,0.9973544973544973
Sparse-Family-CGA,known_harmed_config,96,4.039974154645254,3.994698335172625,1.1333977076727808,0.4895833333333333,0.5104166666666666,1.0
Sparse-Residual-Simplex-CGA,overall,768,4.849833568502527,4.894157596003544,-0.905651821401212,0.2265625,0.7721354166666666,0.9986979166666666
Sparse-Residual-Simplex-CGA,high_gap_low_repair,163,4.8585403783517656,4.875331913757459,-0.3444183015287333,0.17791411042944785,0.8220858895705522,1.0
Sparse-Residual-Simplex-CGA,q4_boundary,194,4.602064036662658,4.628772253626971,-0.5770043424729799,0.19072164948453607,0.8041237113402062,0.9948453608247423
Sparse-Residual-Simplex-CGA,low_gap_high_repair,114,5.900067219324178,5.953046697432603,-0.8899556934817535,0.2543859649122807,0.7456140350877193,1.0
Sparse-Residual-Simplex-CGA,non_boundary,574,4.933574490413563,4.983852293601202,-1.0088140684126834,0.23867595818815332,0.7613240418118467,1.0
Sparse-Residual-Simplex-CGA,amplitude_mismatch,378,4.670282749620545,4.717407120726903,-0.9989464508885177,0.24603174603174602,0.7513227513227513,0.9973544973544973
Sparse-Residual-Simplex-CGA,known_harmed_config,96,4.00717738064223,3.994698335172625,0.3123901829705256,0.4791666666666667,0.5208333333333334,1.0
NoHarm-Selective-CGA,overall,768,4.8489604572372835,4.894157596003544,-0.9234916895773526,0.23567708333333334,0.7630208333333334,0.9986979166666666
NoHarm-Selective-CGA,high_gap_low_repair,163,4.857340287695953,4.875331913757459,-0.3690338697521904,0.1901840490797546,0.8098159509202454,1.0
NoHarm-Selective-CGA,q4_boundary,194,4.600916419181185,4.628772253626971,-0.6017974715385753,0.20103092783505155,0.7938144329896907,0.9948453608247423
NoHarm-Selective-CGA,low_gap_high_repair,114,5.898810629845368,5.953046697432603,-0.9110640358241957,0.2631578947368421,0.7368421052631579,1.0
NoHarm-Selective-CGA,non_boundary,574,4.9327941565106,4.983852293601202,-1.0244713121556206,0.24738675958188153,0.7526132404181185,1.0
NoHarm-Selective-CGA,amplitude_mismatch,378,4.67016774430451,4.717407120726903,-1.0013843434182026,0.2619047619047619,0.7354497354497355,0.9973544973544973
NoHarm-Selective-CGA,known_harmed_config,96,4.0067948780187,3.994698335172625,0.30281492620570155,0.4791666666666667,0.5208333333333334,1.0
LambdaVeto-CGA,overall,768,4.845183012122646,4.894157596003544,-1.0006744331409079,0.20833333333333334,0.7825520833333334,0.9908854166666666
LambdaVeto-CGA,high_gap_low_repair,163,4.845211964719106,4.875331913757459,-0.6178030441697414,0.1165644171779141,0.8466257668711656,0.9631901840490797
LambdaVeto-CGA,q4_boundary,194,4.590865421084702,4.628772253626971,-0.8189392431367053,0.13917525773195877,0.8247422680412371,0.9639175257731959
LambdaVeto-CGA,low_gap_high_repair,114,5.900067219324178,5.953046697432603,-0.8899556934817535,0.2543859649122807,0.7456140350877193,1.0
LambdaVeto-CGA,non_boundary,574,4.931137041149406,4.983852293601202,-1.0577210005542272,0.23170731707317074,0.7682926829268293,1.0
LambdaVeto-CGA,amplitude_mismatch,378,4.664132580402772,4.717407120726903,-1.1293182642033743,0.2222222222222222,0.7671957671957672,0.9894179894179894
LambdaVeto-CGA,known_harmed_config,96,3.992307158865175,3.994698335172625,-0.05985874528772339,0.4583333333333333,0.5208333333333334,0.9791666666666666
