variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,accept_precision,mean_expected_harm,observed_selected_harm,expected_observed_harm_gap_pp,mean_accept_score,k_max,tau_leave,tau_utility,beta_harm,base_floor,delta_cap,lam,temporal_q,local_lam,risk_tau,deadzone,agreement_tau,margin,calibration_score,target_variant
Residual-Prior Convex Mixer,232,9.08287578392998,2.3280785489773224,9.1261157455358,2.332075092367097,-0.04323996160582164,-0.4738046586752055,-0.17137284239766895,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.0228162171804902,0.6206896551724138,0.0007167612519626406,0.3793103448275862,37.85935835756236,0.9981823868644258,1,0.55,0.0,1.5,0.65,0.15,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.386536412117,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.08287578392998,2.3280785489773224,9.1261157455358,2.332075092367097,-0.04323996160582164,-0.4738046586752055,-0.17137284239766895,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.0228162171804902,0.6206896551724138,0.0007167612519626406,0.3793103448275862,37.85935835756236,0.9981823868644258,1,0.55,0.03,1.5,0.65,0.15,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.386536412117,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.073654213473406,2.326976934974872,9.1261157455358,2.332075092367097,-0.05246153206239742,-0.5748506096974777,-0.21861034351126088,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.027682117761079462,0.6163793103448276,0.0007167612519626406,0.38362068965517243,38.29039284032098,0.9981823868644258,1,0.55,0.0,1.5,0.65,0.25,0.35,0.75,0.25,0.08,0.0,0.35,0.05,132.087789305746,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.073654213473406,2.326976934974872,9.1261157455358,2.332075092367097,-0.05246153206239742,-0.5748506096974777,-0.21861034351126088,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.027682117761079462,0.6163793103448276,0.0007167612519626406,0.38362068965517243,38.29039284032098,0.9981823868644258,1,0.55,0.03,1.5,0.65,0.25,0.35,0.75,0.25,0.08,0.0,0.35,0.05,132.087789305746,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.067616938590481,2.3261797136819102,9.1261157455358,2.332075092367097,-0.05849880694532157,-0.6410044372912417,-0.2527954043676834,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.030867776808671456,0.6163793103448276,0.0007167612519626406,0.38362068965517243,38.29039284032098,0.9981823868644258,1,0.55,0.0,1.5,0.65,0.35,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.92606570672447,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.067616938590481,2.3261797136819102,9.1261157455358,2.332075092367097,-0.05849880694532157,-0.6410044372912417,-0.2527954043676834,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.030867776808671456,0.6163793103448276,0.0007167612519626406,0.38362068965517243,38.29039284032098,0.9981823868644258,1,0.55,0.03,1.5,0.65,0.35,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.92606570672447,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.10059732289001,2.3296810127101706,9.1261157455358,2.332075092367097,-0.025518422645793494,-0.2796197564151112,-0.10265877177354128,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.013465180161297234,0.6206896551724138,0.0007167612519626406,0.3793103448275862,37.85935835756236,0.9981823868644258,1,0.55,0.0,1.5,0.8,0.15,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.86125242495288,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.10059732289001,2.3296810127101706,9.1261157455358,2.332075092367097,-0.025518422645793494,-0.2796197564151112,-0.10265877177354128,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.013465180161297234,0.6206896551724138,0.0007167612519626406,0.3793103448275862,37.85935835756236,0.9981823868644258,1,0.55,0.03,1.5,0.8,0.15,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.86125242495288,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.0948787143527,2.3289725595186326,9.1261157455358,2.332075092367097,-0.031237031183102143,-0.3422817770435725,-0.13303743285606445,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.01648269011070183,0.6206896551724138,0.0007167612519626406,0.3793103448275862,37.85935835756236,0.9981823868644258,1,0.55,0.0,1.5,0.8,0.25,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.70806510584228,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.0948787143527,2.3289725595186326,9.1261157455358,2.332075092367097,-0.031237031183102143,-0.3422817770435725,-0.13303743285606445,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.01648269011070183,0.6206896551724138,0.0007167612519626406,0.3793103448275862,37.85935835756236,0.9981823868644258,1,0.55,0.03,1.5,0.8,0.25,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.70806510584228,Residual-Prior Convex Mixer
