variant,slice,n,mse,lrbn_mse,mse_delta_pct_vs_lrbn,harm_rate,win_rate,coverage
LRBN,overall,768,4.894157596003544,4.894157596003544,0.0,0.0,0.0,0.0
LRBN,high_gap_low_repair,163,4.875331913757459,4.875331913757459,0.0,0.0,0.0,0.0
LRBN,q4_boundary,194,4.628772253626971,4.628772253626971,0.0,0.0,0.0,0.0
LRBN,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
LRBN,non_boundary,574,4.983852293601202,4.983852293601202,0.0,0.0,0.0,0.0
LRBN,amplitude_mismatch,378,4.717407120726903,4.717407120726903,0.0,0.0,0.0,0.0
LRBN,known_harmed_config,96,3.994698335172625,3.994698335172625,0.0,0.0,0.0,0.0
SRA-BP-balanced,overall,768,4.766982513125085,4.894157596003544,-2.59850812165216,0.10416666666666667,0.33203125,0.0
SRA-BP-balanced,high_gap_low_repair,163,4.489336396175754,4.875331913757459,-7.917317705093091,0.17791411042944785,0.7668711656441718,0.0
SRA-BP-balanced,q4_boundary,194,4.231265669020404,4.628772253626971,-8.587732598775384,0.16494845360824742,0.7731958762886598,0.0
SRA-BP-balanced,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
SRA-BP-balanced,non_boundary,574,4.948043606777191,4.983852293601202,-0.7184941415325645,0.08362369337979095,0.18292682926829268,0.0
SRA-BP-balanced,amplitude_mismatch,378,4.616585785077957,4.717407120726903,-2.1372192998192694,0.10317460317460317,0.3148148148148148,0.0
SRA-BP-balanced,known_harmed_config,96,3.9061928594973883,3.994698335172625,-2.2155734432911722,0.19791666666666666,0.375,0.0
oracle_stage13_cga_full,overall,768,3.074767225864992,4.894157596003544,-37.174740100456724,0.0,1.0,0.0
oracle_stage13_cga_full,high_gap_low_repair,163,2.939199999119644,4.875331913757459,-39.71282253015549,0.0,1.0,0.0
oracle_stage13_cga_full,q4_boundary,194,2.7676174396675584,4.628772253626971,-40.20839021579052,0.0,1.0,0.0
oracle_stage13_cga_full,low_gap_high_repair,114,3.6799407741619192,5.953046697432603,-38.18390876108238,0.0,1.0,0.0
oracle_stage13_cga_full,non_boundary,574,3.1785774323498392,4.983852293601202,-36.22247914423383,0.0,1.0,0.0
oracle_stage13_cga_full,amplitude_mismatch,378,3.043236795942475,4.717407120726903,-35.48920579442241,0.0,1.0,0.0
oracle_stage13_cga_full,known_harmed_config,96,2.445506684734806,3.994698335172625,-38.78119238490016,0.0,1.0,0.0
Residual-Prior Convex Mixer,overall,768,4.8805278324383785,4.894157596003544,-0.27849049136558973,0.2682291666666667,0.73046875,0.9986979166666666
Residual-Prior Convex Mixer,high_gap_low_repair,163,4.863459687778641,4.875331913757459,-0.24351626031788587,0.22699386503067484,0.7730061349693251,1.0
Residual-Prior Convex Mixer,q4_boundary,194,4.616473578454257,4.628772253626971,-0.2657005891034435,0.23195876288659795,0.7628865979381443,0.9948453608247423
Residual-Prior Convex Mixer,low_gap_high_repair,114,5.938406880911879,5.953046697432603,-0.2459214120132034,0.2894736842105263,0.7105263157894737,1.0
Residual-Prior Convex Mixer,non_boundary,574,4.969772649987019,4.983852293601202,-0.2825052340337098,0.2804878048780488,0.7195121951219512,1.0
Residual-Prior Convex Mixer,amplitude_mismatch,378,4.705266253991062,4.717407120726903,-0.25736313189423904,0.31746031746031744,0.6798941798941799,0.9973544973544973
Residual-Prior Convex Mixer,known_harmed_config,96,3.9992124908195428,3.994698335172625,0.1130036677831516,0.4791666666666667,0.5208333333333334,1.0
Time-Step Gated Hybrid Editor,overall,768,4.893841195376388,4.894157596003544,-0.006464863877043484,0.27734375,0.72265625,0.5
Time-Step Gated Hybrid Editor,high_gap_low_repair,163,4.872596464532388,4.875331913757459,-0.05610795875745457,0.22085889570552147,0.7791411042944786,0.5030674846625767
Time-Step Gated Hybrid Editor,q4_boundary,194,4.6300024762834395,4.628772253626971,0.02657773133787567,0.26288659793814434,0.7371134020618557,0.4690721649484536
Time-Step Gated Hybrid Editor,low_gap_high_repair,114,5.952989906670362,5.953046697432603,-0.0009539781061940146,0.2982456140350877,0.7017543859649122,0.5087719298245614
Time-Step Gated Hybrid Editor,non_boundary,574,4.983013166637768,4.983852293601202,-0.016836914746194368,0.28222996515679444,0.7177700348432056,0.5104529616724739
Time-Step Gated Hybrid Editor,amplitude_mismatch,378,4.712166520049103,4.717407120726903,-0.11109070157767183,0.2566137566137566,0.7433862433862434,0.4497354497354497
Time-Step Gated Hybrid Editor,known_harmed_config,96,4.017942260965366,3.994698335172625,0.581869362447117,0.5104166666666666,0.4895833333333333,1.0
Selection-Conditional Conformal Family Editor,overall,768,4.844879639426057,4.894157596003544,-1.0068731034946523,0.4700520833333333,0.5247395833333334,0.9947916666666666
Selection-Conditional Conformal Family Editor,high_gap_low_repair,163,4.795326031947518,4.875331913757459,-1.6410345605408585,0.44785276073619634,0.5521472392638037,1.0
Selection-Conditional Conformal Family Editor,q4_boundary,194,4.567112150053145,4.628772253626971,-1.3321049311142978,0.4639175257731959,0.5257731958762887,0.9896907216494846
Selection-Conditional Conformal Family Editor,low_gap_high_repair,114,5.899176457673222,5.953046697432603,-0.9049188156397645,0.49122807017543857,0.5,0.9912280701754386
Selection-Conditional Conformal Family Editor,non_boundary,574,4.93875924384826,4.983852293601202,-0.9047830273854375,0.4721254355400697,0.524390243902439,0.9965156794425087
Selection-Conditional Conformal Family Editor,amplitude_mismatch,378,4.677724059787289,4.717407120726903,-0.8412049212614547,0.47619047619047616,0.5158730158730159,0.9920634920634921
Selection-Conditional Conformal Family Editor,known_harmed_config,96,3.9644637169775048,3.994698335172625,-0.7568686189197982,0.5,0.5,1.0
Retrieval-Augmented Local Residual Editor,overall,768,4.906838480118013,4.894157596003544,0.2591024878094217,0.47265625,0.52734375,1.0
Retrieval-Augmented Local Residual Editor,high_gap_low_repair,163,4.884675453381427,4.875331913757459,0.19164930244927636,0.4294478527607362,0.5705521472392638,1.0
Retrieval-Augmented Local Residual Editor,q4_boundary,194,4.62418568162818,4.628772253626971,-0.09908830544184967,0.39690721649484534,0.6030927835051546,1.0
Retrieval-Augmented Local Residual Editor,low_gap_high_repair,114,5.985478737089294,5.953046697432603,0.5447973323676204,0.49122807017543857,0.5087719298245614,1.0
Retrieval-Augmented Local Residual Editor,non_boundary,574,5.002369216889838,4.983852293601202,0.3715383635116311,0.49825783972125437,0.5017421602787456,1.0
Retrieval-Augmented Local Residual Editor,amplitude_mismatch,378,4.731534534856088,4.717407120726903,0.2994741335164028,0.4708994708994709,0.5291005291005291,1.0
Retrieval-Augmented Local Residual Editor,known_harmed_config,96,3.997379308757232,3.994698335172625,0.06711329249295532,0.4583333333333333,0.5416666666666666,1.0
Conservative Challenger Comparator,overall,768,4.8759349294989285,4.894157596003544,-0.3723350977145154,0.4361979166666667,0.5625,0.9986979166666666
Conservative Challenger Comparator,high_gap_low_repair,163,4.8556174767313385,4.875331913757459,-0.4043711758383531,0.4233128834355828,0.5766871165644172,1.0
Conservative Challenger Comparator,q4_boundary,194,4.610467888849535,4.628772253626971,-0.3954475125352722,0.4329896907216495,0.5618556701030928,0.9948453608247423
Conservative Challenger Comparator,low_gap_high_repair,114,5.932887177550163,5.953046697432603,-0.33864205797797425,0.45614035087719296,0.543859649122807,1.0
Conservative Challenger Comparator,non_boundary,574,4.9656572394048215,4.983852293601202,-0.36508012453003397,0.4372822299651568,0.5627177700348432,1.0
Conservative Challenger Comparator,amplitude_mismatch,378,4.702693641888759,4.717407120726903,-0.3118975833632699,0.4656084656084656,0.5317460317460317,0.9973544973544973
Conservative Challenger Comparator,known_harmed_config,96,3.99089966981756,3.994698335172625,-0.0950926710061973,0.5,0.5,1.0
