variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,accept_precision,selected_nonharm_rate,mean_expected_harm,mean_accept_score,tau_leave,tau_family_gain,tau_family_harm,tau_candidate_gain,tau_candidate_harm,beta_harm,lambda_existing,lambda_smoothing,lambda_residual,lambda_memory,calibration_score,target_variant,tau_select,tau_harm,lam,residual_cap,top_k_family,top_k_candidate,mix_temp,max_coverage,uncertainty_beta,retrieval_weight,calibration_feasible_safe,calibration_feasible_balanced
Balanced-CGA,232,9.009140354936179,2.31926397124944,9.1261157455358,2.332075092367097,-0.11697539059962356,-1.2817653614426932,-0.549344277319965,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.22413793103448276,52,0.0,0.06172382716302756,1.0,1.0,0.0,0.13874890512556587,0.55,0.55,0.15,0.55,0.15,2.0,0.5,0.5,0.25,0.25,-0.9162419047032443,Stage10 hard selector,,,,,,,,,,,,
Balanced-CGA,232,8.97293054045181,2.3154124044982876,9.1261157455358,2.332075092367097,-0.15318520508399158,-1.678536731150608,-0.7145004829345644,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.22413793103448276,52,0.0,0.08083048130097592,1.0,1.0,0.0,0.13874890512556587,0.55,0.55,0.15,0.55,0.15,2.0,0.75,0.75,0.5,0.5,-1.678536731150608,Stage10 hard selector,,,,,,,,,,,,
Balanced-CGA,232,8.951572646511071,2.313466055075385,9.1261157455358,2.332075092367097,-0.17454309902473028,-1.9125672268495357,-0.7979604633154197,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.22413793103448276,52,0.0,0.0921002958098806,1.0,1.0,0.0,0.13874890512556587,0.55,0.55,0.15,0.55,0.15,2.0,1.0,1.0,0.75,0.75,-1.9125672268495357,Stage10 hard selector,,,,,,,,,,,,
Balanced-CGA,232,9.009140354936179,2.31926397124944,9.1261157455358,2.332075092367097,-0.11697539059962356,-1.2817653614426932,-0.549344277319965,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.22413793103448276,52,0.0,0.06172382716302756,1.0,1.0,0.0,0.13874890512556587,0.75,0.55,0.15,0.55,0.15,2.0,0.5,0.5,0.25,0.25,-0.9162419047032443,Stage10 hard selector,,,,,,,,,,,,
Balanced-CGA,232,8.97293054045181,2.3154124044982876,9.1261157455358,2.332075092367097,-0.15318520508399158,-1.678536731150608,-0.7145004829345644,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.22413793103448276,52,0.0,0.08083048130097592,1.0,1.0,0.0,0.13874890512556587,0.75,0.55,0.15,0.55,0.15,2.0,0.75,0.75,0.5,0.5,-1.678536731150608,Stage10 hard selector,,,,,,,,,,,,
Balanced-CGA,232,8.951572646511071,2.313466055075385,9.1261157455358,2.332075092367097,-0.17454309902473028,-1.9125672268495357,-0.7979604633154197,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.22413793103448276,52,0.0,0.0921002958098806,1.0,1.0,0.0,0.13874890512556587,0.75,0.55,0.15,0.55,0.15,2.0,1.0,1.0,0.75,0.75,-1.9125672268495357,Stage10 hard selector,,,,,,,,,,,,
FamilyMix Selector,232,9.107094726147857,2.3302010929264814,9.1261157455358,2.332075092367097,-0.019021019387945468,-0.20842404257699837,-0.08035759391769563,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.25,58,0.0,0.010036727444532427,0.5344827586206896,1.0,0.02529593043435562,0.04228614355623872,0.45,,,,,1.5,,,,,1.1908414085323533,FamilyMix Selector,-0.1,0.15,0.2,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.107094726147857,2.3302010929264814,9.1261157455358,2.332075092367097,-0.019021019387945468,-0.20842404257699837,-0.08035759391769563,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.5,116,0.0,0.010036727444532427,0.2672413793103448,1.0,0.02529593043435562,0.04228614355623872,0.45,,,,,1.5,,,,,1.1908414085323533,FamilyMix Selector,-0.1,0.15,0.2,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.107094726147857,2.3302010929264814,9.1261157455358,2.332075092367097,-0.019021019387945468,-0.20842404257699837,-0.08035759391769563,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.625,145,0.0,0.010036727444532427,0.21379310344827587,1.0,0.02529593043435562,0.04228614355623872,0.45,,,,,1.5,,,,,1.1908414085323533,FamilyMix Selector,-0.1,0.15,0.2,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
FamilyMix Selector,232,9.094516779332503,2.3289634395167473,9.1261157455358,2.332075092367097,-0.03159896620329897,-0.34624770329184157,-0.13342850096000272,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.25,58,0.0,0.016673670576903818,0.5344827586206896,1.0,0.02529593043435562,0.04228614355623872,0.45,,,,,1.5,,,,,0.920278885170082,FamilyMix Selector,-0.1,0.15,0.35,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
