variant,selected_action,share
Stage10 hard selector,keep_lrbn,0.8658854166666666
Stage10 hard selector,volatility_shrink,0.1328125
Stage10 hard selector,teacher_short_preserve_mid_smooth,0.0013020833333333333
FamilyMix Selector,keep_lrbn,0.3307291666666667
FamilyMix Selector,"teacher_short_preserve_mid_smooth,teacher_robust_trend",0.1796875
FamilyMix Selector,teacher_short_preserve_mid_smooth,0.11328125
FamilyMix Selector,"stage3_gated_bp,sra_safe",0.08333333333333333
FamilyMix Selector,"sra_safe,stage3_gated_bp",0.053385416666666664
FamilyMix Selector,mrc_ridge_abstain,0.037760416666666664
FamilyMix Selector,"sra_basic_ablation,sra_balanced",0.028645833333333332
FamilyMix Selector,"sra_basic_ablation,stage3_gated_bp",0.016927083333333332
FamilyMix Selector,"stage3_gated_bp,sra_basic_ablation",0.013020833333333334
FamilyMix Selector,stage3_gated_bp,0.013020833333333334
FamilyMix Selector,"sra_safe,sra_balanced",0.01171875
FamilyMix Selector,"teacher_short_preserve_mid_smooth,teacher_naive_smoothing",0.009114583333333334
FamilyMix Selector,"sra_safe,stage3_gated_bp,teacher_short_preserve_mid_smooth,teacher_robust_trend",0.0078125
FamilyMix Selector,"teacher_short_preserve_mid_smooth,stage3_gated_bp,teacher_robust_trend",0.0078125
FamilyMix Selector,"volatility_shrink,teacher_short_preserve_mid_smooth,teacher_robust_trend",0.006510416666666667
FamilyMix Selector,sra_safe,0.006510416666666667
FamilyMix Selector,"teacher_short_preserve_mid_smooth,sra_safe,stage3_gated_bp,teacher_robust_trend",0.006510416666666667
FamilyMix Selector,"teacher_short_preserve_mid_smooth,sra_safe,teacher_robust_trend,stage3_gated_bp",0.005208333333333333
FamilyMix Selector,"teacher_short_preserve_mid_smooth,stage3_gated_bp,sra_safe,teacher_robust_trend",0.005208333333333333
FamilyMix Selector,"stage3_gated_bp,sra_safe,teacher_short_preserve_mid_smooth,teacher_robust_trend",0.005208333333333333
FamilyMix Selector,"teacher_short_preserve_mid_smooth,teacher_naive_smoothing,stage3_gated_bp,sra_safe",0.00390625
FamilyMix Selector,"teacher_short_preserve_mid_smooth,sra_safe,teacher_naive_smoothing,sra_balanced",0.0026041666666666665
FamilyMix Selector,"sra_basic_ablation,sra_safe",0.0026041666666666665
FamilyMix Selector,"teacher_short_preserve_mid_smooth,teacher_median_smoothing,sra_safe,stage3_gated_bp",0.0026041666666666665
FamilyMix Selector,"teacher_short_preserve_mid_smooth,sra_safe,teacher_naive_smoothing,stage3_gated_bp",0.0026041666666666665
FamilyMix Selector,"teacher_short_preserve_mid_smooth,sra_safe,stage3_gated_bp",0.0026041666666666665
FamilyMix Selector,"sra_safe,teacher_short_preserve_mid_smooth,stage3_gated_bp,teacher_robust_trend",0.0026041666666666665
FamilyMix Selector,"teacher_short_preserve_mid_smooth,teacher_robust_trend,stage3_gated_bp,sra_safe",0.0026041666666666665
FamilyMix Selector,"stage3_gated_bp,teacher_short_preserve_mid_smooth,teacher_robust_trend,sra_safe",0.0026041666666666665
FamilyMix Selector,"teacher_short_preserve_mid_smooth,teacher_robust_trend,sra_safe,stage3_gated_bp",0.0013020833333333333
FamilyMix Selector,"teacher_short_preserve_mid_smooth,stage3_gated_bp,sra_safe",0.0013020833333333333
FamilyMix Selector,"teacher_short_preserve_mid_smooth,teacher_median_smoothing,stage3_gated_bp,sra_safe",0.0013020833333333333
FamilyMix Selector,"stage3_gated_bp,teacher_short_preserve_mid_smooth",0.0013020833333333333
FamilyMix Selector,"stage3_gated_bp,teacher_short_preserve_mid_smooth,sra_safe,teacher_median_smoothing",0.0013020833333333333
FamilyMix Selector,"stage3_gated_bp,teacher_short_preserve_mid_smooth,teacher_robust_trend",0.0013020833333333333
FamilyMix Selector,"sra_safe,teacher_short_preserve_mid_smooth,teacher_median_smoothing,stage3_gated_bp",0.0013020833333333333
FamilyMix Selector,"sra_safe,sra_balanced,teacher_short_preserve_mid_smooth,teacher_median_smoothing",0.0013020833333333333
FamilyMix Selector,"stage3_gated_bp,teacher_short_preserve_mid_smooth,sra_safe,teacher_robust_trend",0.0013020833333333333
FamilyMix Selector,"teacher_short_preserve_mid_smooth,sra_safe,teacher_robust_trend",0.0013020833333333333
FamilyMix Selector,"teacher_short_preserve_mid_smooth,teacher_median_smoothing,stage3_gated_bp",0.0013020833333333333
