variant,slice,n,mse,lrbn_mse,mse_delta_pct_vs_lrbn,harm_rate,win_rate,coverage
LRBN,overall,768,4.894157596003544,4.894157596003544,0.0,0.0,0.0,0.0
LRBN,high_gap_low_repair,163,4.875331913757459,4.875331913757459,0.0,0.0,0.0,0.0
LRBN,q4_boundary,194,4.628772253626971,4.628772253626971,0.0,0.0,0.0,0.0
LRBN,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
LRBN,non_boundary,574,4.983852293601202,4.983852293601202,0.0,0.0,0.0,0.0
LRBN,amplitude_mismatch,378,4.717407120726903,4.717407120726903,0.0,0.0,0.0,0.0
LRBN,known_harmed_config,96,3.994698335172625,3.994698335172625,0.0,0.0,0.0,0.0
SRA-BP-balanced,overall,768,4.766982513125085,4.894157596003544,-2.59850812165216,0.10416666666666667,0.33203125,0.0
SRA-BP-balanced,high_gap_low_repair,163,4.489336396175754,4.875331913757459,-7.917317705093091,0.17791411042944785,0.7668711656441718,0.0
SRA-BP-balanced,q4_boundary,194,4.231265669020404,4.628772253626971,-8.587732598775384,0.16494845360824742,0.7731958762886598,0.0
SRA-BP-balanced,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
SRA-BP-balanced,non_boundary,574,4.948043606777191,4.983852293601202,-0.7184941415325645,0.08362369337979095,0.18292682926829268,0.0
SRA-BP-balanced,amplitude_mismatch,378,4.616585785077957,4.717407120726903,-2.1372192998192694,0.10317460317460317,0.3148148148148148,0.0
SRA-BP-balanced,known_harmed_config,96,3.9061928594973883,3.994698335172625,-2.2155734432911722,0.19791666666666666,0.375,0.0
oracle_stage14_cga_full,overall,768,3.074767225864992,4.894157596003544,-37.174740100456724,0.0,1.0,0.0
oracle_stage14_cga_full,high_gap_low_repair,163,2.939199999119644,4.875331913757459,-39.71282253015549,0.0,1.0,0.0
oracle_stage14_cga_full,q4_boundary,194,2.7676174396675584,4.628772253626971,-40.20839021579052,0.0,1.0,0.0
oracle_stage14_cga_full,low_gap_high_repair,114,3.6799407741619192,5.953046697432603,-38.18390876108238,0.0,1.0,0.0
oracle_stage14_cga_full,non_boundary,574,3.1785774323498392,4.983852293601202,-36.22247914423383,0.0,1.0,0.0
oracle_stage14_cga_full,amplitude_mismatch,378,3.043236795942475,4.717407120726903,-35.48920579442241,0.0,1.0,0.0
oracle_stage14_cga_full,known_harmed_config,96,2.445506684734806,3.994698335172625,-38.78119238490016,0.0,1.0,0.0
Stage10 hard selector,overall,768,4.835256543120913,4.894157596003544,-1.2034972639699786,0.0,0.13411458333333334,0.13411458333333334
Stage10 hard selector,high_gap_low_repair,163,4.803329876181596,4.875331913757459,-1.476864318201543,0.0,0.15950920245398773,0.15950920245398773
Stage10 hard selector,q4_boundary,194,4.568275696282303,4.628772253626971,-1.3069676773699064,0.0,0.13402061855670103,0.13402061855670103
Stage10 hard selector,low_gap_high_repair,114,5.9103101752585925,5.953046697432603,-0.717893278422496,0.0,0.08771929824561403,0.08771929824561403
Stage10 hard selector,non_boundary,574,4.9254904878712455,4.983852293601202,-1.1710179631082862,0.0,0.13414634146341464,0.13414634146341464
Stage10 hard selector,amplitude_mismatch,378,4.66585088702794,4.717407120726903,-1.0928934533369123,0.0,0.1349206349206349,0.1349206349206349
Stage10 hard selector,known_harmed_config,96,3.994698335172625,3.994698335172625,0.0,0.0,0.0,0.0
FamilyMix Selector,overall,768,4.8270219779235175,4.894157596003544,-1.3717502272030029,0.0026041666666666665,0.4739583333333333,0.6692708333333334
FamilyMix Selector,high_gap_low_repair,163,4.739865842260699,4.875331913757459,-2.778602023723441,0.006134969325153374,0.7607361963190185,0.9141104294478528
FamilyMix Selector,q4_boundary,194,4.496599359183076,4.628772253626971,-2.8554633262585245,0.010309278350515464,0.7319587628865979,0.9123711340206185
FamilyMix Selector,low_gap_high_repair,114,5.909535723707138,5.953046697432603,-0.7309026094342582,0.0,0.3157894736842105,0.5701754385964912
FamilyMix Selector,non_boundary,574,4.9386979152678485,4.983852293601202,-0.9060135730893519,0.0,0.3867595818815331,0.5871080139372822
FamilyMix Selector,amplitude_mismatch,378,4.663755055891563,4.717407120726903,-1.1373210610946998,0.0026455026455026454,0.4576719576719577,0.6243386243386243
FamilyMix Selector,known_harmed_config,96,3.9818316826864497,3.994698335172625,-0.3220932189216185,0.0,0.13541666666666666,0.3645833333333333
Two-stage Cost-Sensitive Router,overall,768,4.851786621375979,4.894157596003544,-0.8657460187957554,0.0,0.24869791666666666,0.3502604166666667
Two-stage Cost-Sensitive Router,high_gap_low_repair,163,4.806998906355626,4.875331913757459,-1.4016072848055048,0.0,0.3803680981595092,0.7423312883435583
Two-stage Cost-Sensitive Router,q4_boundary,194,4.553868158842453,4.628772253626971,-1.618228128722508,0.0,0.3917525773195876,0.7319587628865979
Two-stage Cost-Sensitive Router,low_gap_high_repair,114,5.920029606208505,5.953046697432603,-0.5546250994952653,0.0,0.21052631578947367,0.21052631578947367
Two-stage Cost-Sensitive Router,non_boundary,574,4.952476833451769,4.983852293601202,-0.6295423346868013,0.0,0.20034843205574912,0.22125435540069685
Two-stage Cost-Sensitive Router,amplitude_mismatch,378,4.684639395880197,4.717407120726903,-0.6946130350563323,0.0,0.2275132275132275,0.30952380952380953
Two-stage Cost-Sensitive Router,known_harmed_config,96,3.992576685513457,3.994698335172625,-0.05311163637003917,0.0,0.03125,0.19791666666666666
ListSafe Top-k Selector,overall,768,4.829996212308013,4.894157596003544,-1.3109791073508872,0.0026041666666666665,0.4453125,0.6796875
ListSafe Top-k Selector,high_gap_low_repair,163,4.749874315756238,4.875331913757459,-2.5733139807336376,0.006134969325153374,0.7177914110429447,0.8957055214723927
ListSafe Top-k Selector,q4_boundary,194,4.50586024992676,4.628772253626971,-2.6553910345958567,0.010309278350515464,0.6907216494845361,0.9020618556701031
ListSafe Top-k Selector,low_gap_high_repair,114,5.909764718986853,5.953046697432603,-0.7270559189752448,0.0,0.30701754385964913,0.6403508771929824
ListSafe Top-k Selector,non_boundary,574,4.939547391231295,4.983852293601202,-0.8889690077270864,0.0,0.3623693379790941,0.6045296167247387
ListSafe Top-k Selector,amplitude_mismatch,378,4.6667218768027094,4.717407120726903,-1.0744301375654919,0.0026455026455026454,0.4365079365079365,0.6455026455026455
ListSafe Top-k Selector,known_harmed_config,96,3.9824014623037622,3.994698335172625,-0.30782982358912553,0.0,0.13541666666666666,0.4270833333333333
Retrieval-Prior Selector,overall,768,4.845259156520844,4.894157596003544,-0.9991186107843731,0.0026041666666666665,0.3776041666666667,0.5
Retrieval-Prior Selector,high_gap_low_repair,163,4.7755793630924614,4.875331913757459,-2.0460668570872924,0.006134969325153374,0.6380368098159509,0.7852760736196319
Retrieval-Prior Selector,q4_boundary,194,4.530774809672565,4.628772253626971,-2.1171368642279687,0.010309278350515464,0.6185567010309279,0.7783505154639175
Retrieval-Prior Selector,low_gap_high_repair,114,5.924098979066503,5.953046697432603,-0.4862672810874679,0.0,0.23684210526315788,0.37719298245614036
Retrieval-Prior Selector,non_boundary,574,4.951548291169914,4.983852293601202,-0.6481733499194171,0.0,0.2961672473867596,0.4059233449477352
Retrieval-Prior Selector,amplitude_mismatch,378,4.680136283059141,4.717407120726903,-0.7900704059439351,0.0026455026455026454,0.3544973544973545,0.4444444444444444
Retrieval-Prior Selector,known_harmed_config,96,3.984198016537609,3.994698335172625,-0.26285635929693474,0.0,0.13541666666666666,0.25
Bayes-Abstain Selector,overall,768,4.863887879550018,4.894157596003544,-0.6184867527844886,0.0,0.18098958333333334,0.3190104166666667
Bayes-Abstain Selector,high_gap_low_repair,163,4.825896549878901,4.875331913757459,-1.0139897067861185,0.0,0.2883435582822086,0.49079754601226994
Bayes-Abstain Selector,q4_boundary,194,4.580012483301216,4.628772253626971,-1.0534061204287464,0.0,0.27835051546391754,0.4845360824742268
Bayes-Abstain Selector,low_gap_high_repair,114,5.930791384386676,5.953046697432603,-0.37384744551289734,0.0,0.11403508771929824,0.21929824561403508
Bayes-Abstain Selector,non_boundary,574,4.95983182880484,4.983852293601202,-0.48196582348567973,0.0,0.1480836236933798,0.26306620209059234
Bayes-Abstain Selector,amplitude_mismatch,378,4.697449442701699,4.717407120726903,-0.4230645664481474,0.0,0.14285714285714285,0.2724867724867725
Bayes-Abstain Selector,known_harmed_config,96,3.994698335172625,3.994698335172625,0.0,0.0,0.0,0.13541666666666666
