variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score,rho,group_lasso,tau_score,tau_harm,beta_harm,residual_cap,temp,shrink,width_coef,center_mode,lowpass_kernel,local_shrink,global_shrink,mask_quantile,patch_len,stride,codebook_size,retrieval_k,calibration_score,target_variant
H1 Residual Atom Simplex Editor,232,9.078057059718235,2.327096888637057,9.1261157455358,2.332075092367097,-0.04805868581756599,-0.5266061389634872,-0.2134666986062051,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.9353448275862069,217,0.0,0.025358889608146633,0.7758620689655172,0.23275862068965517,1.3911125506494128e-05,0.012222203191938164,0.04873881153480371,0.25,0.0,0.0,0.2,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,1.1126271727921138,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.07774160599854,2.3270695674779445,9.1261157455358,2.332075092367097,-0.04837413953726233,-0.5300627433737903,-0.21463823716792135,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.9353448275862069,217,0.0,0.025525343515867403,0.7758620689655172,0.23275862068965517,1.4183162825572271e-05,0.012339312386563038,0.04873881153480371,0.25,0.0,0.0,0.2,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,1.1041769511501875,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.064281112246583,2.3244139740485683,9.1261157455358,2.332075092367097,-0.06183463328922048,-0.6775569688748411,-0.3285107889858574,0.004310344827586207,0.25,0.034482758620689655,1.0,8,8,False,0.9568965517241379,222,0.0045045045045045045,0.03262797583550294,0.7456896551724138,0.24329501915708812,2.4440837245174015e-05,0.016677114715609412,0.07987087603609537,0.25,0.0,0.0,0.35,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,0.7436037560600708,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.06073831905632,2.3238769233295433,9.1261157455358,2.332075092367097,-0.06537742647948214,-0.7163773529809068,-0.35153966650699187,0.004310344827586207,0.25,0.034482758620689655,1.0,8,8,False,0.9568965517241379,222,0.0045045045045045045,0.03449738403691283,0.7456896551724138,0.24329501915708812,2.893443368356422e-05,0.017689011015139134,0.07987087603609537,0.25,0.0,0.0,0.35,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,0.6487011259117084,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.077837968444726,2.327060313068963,9.1261157455358,2.332075092367097,-0.0482777770910753,-0.5290068456757187,-0.21503506868385194,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.9353448275862069,217,0.0,0.02547449641937159,0.7758620689655172,0.23275862068965517,1.3986523469418382e-05,0.012280142320140595,0.04843450921832254,0.25,0.001,0.0,0.2,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,1.1067582617431335,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.07752251472503,2.327032991909851,9.1261157455358,2.332075092367097,-0.04859323081077164,-0.5324634500860218,-0.21620660724554916,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.9353448275862069,217,0.0,0.02564095032709236,0.7758620689655172,0.23275862068965517,1.4258560788496528e-05,0.012397251514765471,0.04843450921832254,0.25,0.001,0.0,0.2,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,1.0983080401012075,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.064113101288367,2.3243871620560785,9.1261157455358,2.332075092367097,-0.06200264424743294,-0.6793979597489065,-0.32966049434751393,0.004310344827586207,0.25,0.034482758620689655,1.0,8,8,False,0.9568965517241379,222,0.0045045045045045045,0.032716629348802116,0.7456896551724138,0.24329501915708812,2.4510019748611875e-05,0.016724494202152954,0.07950841977526663,0.25,0.001,0.0,0.35,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,0.73910315978703,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.06056636439069,2.323848540171131,9.1261157455358,2.332075092367097,-0.0655493811451139,-0.7182615572824544,-0.35275674388085776,0.004310344827586207,0.25,0.034482758620689655,1.0,8,8,False,0.9568965517241379,222,0.0045045045045045045,0.03458811850684641,0.7456896551724138,0.24329501915708812,2.900705441861378e-05,0.017739217064044785,0.07950841977526663,0.25,0.001,0.0,0.35,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,0.6440948875121533,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.074416535540452,2.326682650164576,9.1261157455358,2.332075092367097,-0.051699209995349896,-0.5664974166472545,-0.23122935436547076,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.8275862068965517,192,0.0,0.027279867037505862,0.7758620689655172,0.23275862068965517,1.5461246622218856e-05,0.013091077499208407,0.048141373959118744,0.25,0.01,0.0,0.2,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,1.0151065722275698,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.073970732027572,2.3266425961896844,9.1261157455358,2.332075092367097,-0.052145013508229525,-0.5713823372950102,-0.2329468794507834,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.8275862068965517,192,0.0,0.027515101977407325,0.7758620689655172,0.23275862068965517,1.5782038627661012e-05,0.01322565863498267,0.048141373959118744,0.25,0.01,0.0,0.2,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,1.0031646033827701,H1 Residual Atom Simplex Editor
