variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,ci95_low_delta_raw,ci95_high_delta_raw,p_bootstrap_delta_lt_zero,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score
LRBN,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,False,0.0,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
SRA-BP-safe,768,4.813148680992863,1.6609504547937923,4.894157596003544,1.682162338434372,-0.0810089150106816,-1.6552167202647812,-1.2609890870712976,0.03515625,0.15234375,0.11458333333333333,1.0,8.0,8.0,False,0.0,0,0.0,0.0445253068802708,-0.10428529361638128,-0.05819955040863004,1.0,0.8125,0.05222800925925926,0.0016123990457235303,0.06965834913894481,
SRA-BP-balanced,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.19791666666666666,1.0,8.0,8.0,False,0.0,0,0.0,0.06989983253004452,-0.15384714945596734,-0.09920247122496113,1.0,0.5638020833333334,0.12152777777777778,0.0025347640279076615,0.14325491333243331,
oracle_stage15_cga_full,768,3.074767225864992,1.3221820683229766,4.894157596003544,1.682162338434372,-1.8193903701385523,-37.174740100456724,-21.399853019325842,0.0,1.0,0.0,1.0,8.0,8.0,False,0.0,0,0.0,0.9999999945036535,-2.087688531220485,-1.5644267072510374,1.0,0.0,0.9613715277777778,0.055124450703359744,0.7812580426414838,
H1 Residual Atom Simplex Editor,768,4.825330644544388,1.6691624943025232,4.894157596003544,1.682162338434372,-0.06882695145915697,-1.406308439571461,-0.772805558509148,0.0078125,0.22526041666666666,0.020833333333333332,1.0,8.0,8.0,False,0.9231770833333334,709,0.00846262341325811,0.03782967757250403,-0.08399463440311496,-0.05575948042654688,1.0,0.7669270833333334,0.2377025462962963,0.0004473000233835362,0.03508059804289226,0.046655096860137
H3 Any-Quantile Residual Envelope,768,4.890124682741507,1.6817954994930429,4.894157596003544,1.682162338434372,-0.004032913262036759,-0.08240260299525427,-0.021807582464949793,0.4518229166666667,0.5481770833333334,0.5,0.75,6.0,8.0,False,0.12109375,93,0.3978494623655914,0.002216628880784585,-0.00581057112417089,-0.002303857905797738,1.0,0.71484375,0.20442708333333334,3.509070338897539e-06,0.007840665374898276,0.19547556278472003
H5 Local-Global Decoupled Sparse Editor,768,4.870041469553699,1.6799407152196413,4.894157596003544,1.682162338434372,-0.02411612644984557,-0.4927533682254704,-0.1320694888218403,0.4361979166666667,0.5638020833333334,0.5208333333333334,0.875,7.0,8.0,False,0.98828125,759,0.43741765480895917,0.013255058789532047,-0.03295091619904001,-0.015154018774794714,1.0,0.01171875,0.9437210648148148,8.145502490313248e-05,0.04098752100705389,0.1435479058159722
H2 Prototype Codebook Local Editor,768,4.893025821595544,1.6820252227776449,4.894157596003544,1.682162338434372,-0.0011317744080005406,-0.023125009431891226,-0.00815115478329157,0.018229166666666668,0.032552083333333336,0.041666666666666664,0.5,4.0,8.0,False,0.05078125,39,0.358974358974359,0.0006220624338545488,-0.001977277049004914,-0.0004320980252612428,1.0,0.9765625,0.0078125,6.690736135770403e-07,0.0006014447665458604,0.035753364807202585
H4 Retrieval-Conditioned Residual Adapter,768,4.906912861947984,1.6837395805554287,4.894157596003544,1.682162338434372,0.012755265944439978,0.2606222964457361,0.09376277637676739,0.07682291666666667,0.07161458333333333,0.21875,0.25,2.0,8.0,False,0.1484375,114,0.5175438596491229,-0.007010736169479265,0.004172885358984777,0.022178052199420033,0.0015,0.8515625,0.1484375,6.538499177270274e-05,0.014399007767817268,0.4304529780762394
SafeTAE-safe (Stage7 table),768,4.804842746654656,1.6608366693376846,4.894157596003544,1.682162338434372,-0.0893148493488878,-1.824927935286098,-1.2677533245548938,0.0182291666666666,0.49609375,,,5.0,8.0,False,0.51953125,399,0.0350877192982456,0.1004235659281106,,,1.0,,,,,
Stage14 FamilyMix Selector,768,4.8270219779235175,1.6690956961026686,4.894157596003544,1.682162338434372,-0.0671356180800268,-1.3717502272030029,-0.7767765307471562,0.0026041666666666,0.4739583333333333,0.0104166666666666,1.0,8.0,8.0,False,0.6692708333333334,514,0.0038910505836575,0.0369000621377993,-0.0760784658718341,-0.0589871719142377,1.0,,,,,0.0314891753220395
