variant,slice,n,mse,lrbn_mse,mse_delta_pct_vs_lrbn,harm_rate,win_rate,coverage
LRBN,overall,768,4.894157596003544,4.894157596003544,0.0,0.0,0.0,0.0
LRBN,high_gap_low_repair,163,4.875331913757459,4.875331913757459,0.0,0.0,0.0,0.0
LRBN,q4_boundary,194,4.628772253626971,4.628772253626971,0.0,0.0,0.0,0.0
LRBN,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
LRBN,non_boundary,574,4.983852293601202,4.983852293601202,0.0,0.0,0.0,0.0
LRBN,amplitude_mismatch,378,4.717407120726903,4.717407120726903,0.0,0.0,0.0,0.0
LRBN,known_harmed_config,96,3.994698335172625,3.994698335172625,0.0,0.0,0.0,0.0
SRA-BP-safe,overall,768,4.813148680992863,4.894157596003544,-1.6552167202647812,0.03515625,0.15234375,0.0
SRA-BP-safe,high_gap_low_repair,163,4.573197184275724,4.875331913757459,-6.197213527338204,0.15950920245398773,0.588957055214724,0.0
SRA-BP-safe,q4_boundary,194,4.3080771673991185,4.628772253626971,-6.9282969211486956,0.13917525773195877,0.6030927835051546,0.0
SRA-BP-safe,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
SRA-BP-safe,non_boundary,574,4.983852293601202,4.983852293601202,0.0,0.0,0.0,0.0
SRA-BP-safe,amplitude_mismatch,378,4.6606545909750094,4.717407120726903,-1.2030449816857,0.026455026455026454,0.12433862433862433,0.0
SRA-BP-safe,known_harmed_config,96,3.940405316053798,3.994698335172625,-1.3591268833712322,0.052083333333333336,0.17708333333333334,0.0
SRA-BP-balanced,overall,768,4.766982513125085,4.894157596003544,-2.59850812165216,0.10416666666666667,0.33203125,0.0
SRA-BP-balanced,high_gap_low_repair,163,4.489336396175754,4.875331913757459,-7.917317705093091,0.17791411042944785,0.7668711656441718,0.0
SRA-BP-balanced,q4_boundary,194,4.231265669020404,4.628772253626971,-8.587732598775384,0.16494845360824742,0.7731958762886598,0.0
SRA-BP-balanced,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
SRA-BP-balanced,non_boundary,574,4.948043606777191,4.983852293601202,-0.7184941415325645,0.08362369337979095,0.18292682926829268,0.0
SRA-BP-balanced,amplitude_mismatch,378,4.616585785077957,4.717407120726903,-2.1372192998192694,0.10317460317460317,0.3148148148148148,0.0
SRA-BP-balanced,known_harmed_config,96,3.9061928594973883,3.994698335172625,-2.2155734432911722,0.19791666666666666,0.375,0.0
oracle_stage15_cga_full,overall,768,3.074767225864992,4.894157596003544,-37.174740100456724,0.0,1.0,0.0
oracle_stage15_cga_full,high_gap_low_repair,163,2.939199999119644,4.875331913757459,-39.71282253015549,0.0,1.0,0.0
oracle_stage15_cga_full,q4_boundary,194,2.7676174396675584,4.628772253626971,-40.20839021579052,0.0,1.0,0.0
oracle_stage15_cga_full,low_gap_high_repair,114,3.6799407741619192,5.953046697432603,-38.18390876108238,0.0,1.0,0.0
oracle_stage15_cga_full,non_boundary,574,3.1785774323498392,4.983852293601202,-36.22247914423383,0.0,1.0,0.0
oracle_stage15_cga_full,amplitude_mismatch,378,3.043236795942475,4.717407120726903,-35.48920579442241,0.0,1.0,0.0
oracle_stage15_cga_full,known_harmed_config,96,2.445506684734806,3.994698335172625,-38.78119238490016,0.0,1.0,0.0
H1 Residual Atom Simplex Editor,overall,768,4.825330644544388,4.894157596003544,-1.406308439571461,0.0078125,0.22526041666666666,0.9231770833333334
H1 Residual Atom Simplex Editor,high_gap_low_repair,163,4.713633567838043,4.875331913757459,-3.316663325659145,0.024539877300613498,0.4110429447852761,0.8220858895705522
H1 Residual Atom Simplex Editor,q4_boundary,194,4.472860234424718,4.628772253626971,-3.368323398137649,0.030927835051546393,0.37628865979381443,0.7783505154639175
H1 Residual Atom Simplex Editor,low_gap_high_repair,114,5.91462540925497,5.953046697432603,-0.6454054548179848,0.0,0.14035087719298245,0.9824561403508771
H1 Residual Atom Simplex Editor,non_boundary,574,4.94445827444546,4.983852293601202,-0.7904331179171682,0.0,0.17421602787456447,0.9721254355400697
H1 Residual Atom Simplex Editor,amplitude_mismatch,378,4.669117851187192,4.717407120726903,-1.0236400675527482,0.007936507936507936,0.19047619047619047,0.9312169312169312
H1 Residual Atom Simplex Editor,known_harmed_config,96,3.9790237727264426,3.994698335172625,-0.39238413246206977,0.020833333333333332,0.08333333333333333,0.9270833333333334
H3 Any-Quantile Residual Envelope,overall,768,4.890124682741507,4.894157596003544,-0.08240260299525427,0.4518229166666667,0.5481770833333334,0.12109375
H3 Any-Quantile Residual Envelope,high_gap_low_repair,163,4.87108074638687,4.875331913757459,-0.08719749623350737,0.49079754601226994,0.50920245398773,0.07975460122699386
H3 Any-Quantile Residual Envelope,q4_boundary,194,4.624467148753754,4.628772253626971,-0.09300748941670728,0.4587628865979381,0.5412371134020618,0.06701030927835051
H3 Any-Quantile Residual Envelope,low_gap_high_repair,114,5.949304497112239,5.953046697432603,-0.0628619344728387,0.45614035087719296,0.543859649122807,0.12280701754385964
H3 Any-Quantile Residual Envelope,non_boundary,574,4.979911375413327,4.983852293601202,-0.07907373549227201,0.44947735191637633,0.5505226480836237,0.13937282229965156
H3 Any-Quantile Residual Envelope,amplitude_mismatch,378,4.713883894866213,4.717407120726903,-0.074685643258159,0.4708994708994709,0.5291005291005291,0.1402116402116402
H3 Any-Quantile Residual Envelope,known_harmed_config,96,3.9950465243600095,3.994698335172625,0.008716282364735494,0.46875,0.53125,0.0
H5 Local-Global Decoupled Sparse Editor,overall,768,4.870041469553699,4.894157596003544,-0.4927533682254704,0.4361979166666667,0.5638020833333334,0.98828125
H5 Local-Global Decoupled Sparse Editor,high_gap_low_repair,163,4.836050298271794,4.875331913757459,-0.8057218687869426,0.32515337423312884,0.6748466257668712,0.9631901840490797
H5 Local-Global Decoupled Sparse Editor,q4_boundary,194,4.593513478005954,4.628772253626971,-0.7617306191121452,0.36082474226804123,0.6391752577319587,0.9639175257731959
H5 Local-Global Decoupled Sparse Editor,low_gap_high_repair,114,5.934323914367891,5.953046697432603,-0.3145075788055886,0.5087719298245614,0.49122807017543857,1.0
H5 Local-Global Decoupled Sparse Editor,non_boundary,574,4.963502149623841,4.983852293601202,-0.408321570096607,0.4616724738675958,0.5383275261324042,0.9965156794425087
H5 Local-Global Decoupled Sparse Editor,amplitude_mismatch,378,4.694603712762481,4.717407120726903,-0.4833885931933156,0.455026455026455,0.544973544973545,0.9867724867724867
H5 Local-Global Decoupled Sparse Editor,known_harmed_config,96,3.997859361104044,3.994698335172625,0.07913052897321098,0.5208333333333334,0.4791666666666667,0.9583333333333334
H2 Prototype Codebook Local Editor,overall,768,4.893025821595544,4.894157596003544,-0.023125009431891226,0.018229166666666668,0.032552083333333336,0.05078125
H2 Prototype Codebook Local Editor,high_gap_low_repair,163,4.8739783571040745,4.875331913757459,-0.027763374362036467,0.0,0.03067484662576687,0.03067484662576687
H2 Prototype Codebook Local Editor,q4_boundary,194,4.6276349869542805,4.628772253626971,-0.0245695101836565,0.0,0.02577319587628866,0.02577319587628866
H2 Prototype Codebook Local Editor,low_gap_high_repair,114,5.952125474275583,5.953046697432603,-0.015474818228282032,0.043859649122807015,0.02631578947368421,0.07017543859649122
H2 Prototype Codebook Local Editor,non_boundary,574,4.982722375463845,4.983852293601202,-0.02267158151016067,0.024390243902439025,0.03484320557491289,0.059233449477351915
H2 Prototype Codebook Local Editor,amplitude_mismatch,378,4.715291626343132,4.717407120726903,-0.04484443095851992,0.03439153439153439,0.06084656084656084,0.09523809523809523
H2 Prototype Codebook Local Editor,known_harmed_config,96,3.994698335172625,3.994698335172625,0.0,0.0,0.0,0.0
H4 Retrieval-Conditioned Residual Adapter,overall,768,4.906912861947984,4.894157596003544,0.2606222964457361,0.07682291666666667,0.07161458333333333,0.1484375
H4 Retrieval-Conditioned Residual Adapter,high_gap_low_repair,163,4.869471317272041,4.875331913757459,-0.12020917913012355,0.03680981595092025,0.0736196319018405,0.11042944785276074
H4 Retrieval-Conditioned Residual Adapter,q4_boundary,194,4.6219734811618896,4.628772253626971,-0.14688068623522588,0.030927835051546393,0.07216494845360824,0.10309278350515463
H4 Retrieval-Conditioned Residual Adapter,low_gap_high_repair,114,5.955485638680394,5.953046697432603,0.04096963063881754,0.03508771929824561,0.02631578947368421,0.06140350877192982
H4 Retrieval-Conditioned Residual Adapter,non_boundary,574,5.003216415732832,4.983852293601202,0.388537238907311,0.09233449477351917,0.07142857142857142,0.16376306620209058
H4 Retrieval-Conditioned Residual Adapter,amplitude_mismatch,378,4.73886149266852,4.717407120726903,0.45479161215223485,0.0873015873015873,0.06613756613756613,0.15343915343915343
H4 Retrieval-Conditioned Residual Adapter,known_harmed_config,96,4.0685388386869965,3.994698335172625,1.8484625654801665,0.21875,0.0625,0.28125
