variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score,shrink,residual_cap,gate_quantile,score_threshold,mix_residual,patch_delta_rms,calibration_score,target_variant
H2L Learned Patch Residual Editor,232,8.653940550819948,2.2651512007346644,9.1261157455358,2.332075092367097,-0.47217519471585395,-5.173890046588945,-2.8697142542495273,0.2672413793103448,0.7327586206896551,0.4827586206896552,1.0,8,8,False,1.0,232,0.2672413793103448,0.2491503551295177,0.0,1.0,0.00017865001610973687,0.12311476869556875,1.927443228726243,0.25,0.15,0.0,0.0538950152695179,1.0,1.4154707193374634,70.3433513327214,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.752449629584454,2.2816904727690304,9.1261157455358,2.332075092367097,-0.3736661159513479,-4.09447048405763,-2.160505875086337,0.2543103448275862,0.646551724137931,0.41379310344827586,1.0,8,8,False,0.9008620689655172,209,0.2822966507177033,0.19717055561372956,0.09913793103448276,0.664272030651341,0.000138972566210518,0.10562620353320122,1.8647790391897332,0.25,0.15,0.5,0.7479564249515533,1.0,1.4154707193374634,58.750357102149266,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.927980205821076,2.3078259115815314,9.1261157455358,2.332075092367097,-0.1981355397147252,-2.1710829121857045,-1.0398113148651376,0.1853448275862069,0.46120689655172414,0.3448275862068966,1.0,8,8,False,0.646551724137931,150,0.2866666666666667,0.10454920257598385,0.35344827586206895,0.3481800766283525,5.892422699995853e-05,0.06239383989049703,1.6000099223235558,0.25,0.15,0.75,1.3063579201698303,1.0,1.4154707193374634,37.915123984366026,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,9.032518059282532,2.3225589513519083,9.1261157455358,2.332075092367097,-0.09359768625326984,-1.0256026633948079,-0.40805465508078576,0.08189655172413793,0.22413793103448276,0.1724137931034483,0.875,7,8,False,0.30603448275862066,71,0.2676056338028169,0.049388229263794395,0.6939655172413793,0.14224137931034483,1.7889302756466074e-05,0.02663043074229146,1.0395502746105194,0.25,0.15,0.9,2.0707091093063363,1.0,1.4154707193374634,-0.10724954130863962,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.46757155400607,2.2399019319747904,9.1261157455358,2.332075092367097,-0.6585441915297312,-7.216040308608449,-3.9524096071670014,0.2801724137931034,0.7198275862068966,0.4827586206896552,1.0,8,8,False,1.0,232,0.2801724137931034,0.3474907640729661,0.0,1.0,0.0003524983494356538,0.17378054756268677,1.927443228726243,0.25,0.25,0.0,0.0538950152695179,1.0,1.4154707193374634,70.62878727759843,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.558233457204055,2.2550462872436006,9.1261157455358,2.332075092367097,-0.5678822883317455,-6.222606676748254,-3.3030156295271555,0.2543103448275862,0.646551724137931,0.3793103448275862,1.0,8,8,False,0.9008620689655172,209,0.2822966507177033,0.2996516449678437,0.09913793103448276,0.664272030651341,0.0003433654005081075,0.1669321696094235,1.8647790391897332,0.25,0.25,0.5,0.7479564249515533,1.0,1.4154707193374634,51.44980711635519,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.813500329430342,2.2937420061679914,9.1261157455358,2.332075092367097,-0.3126154161054573,-3.4255035162777716,-1.6437329209594085,0.1896551724137931,0.45689655172413796,0.3448275862068966,1.0,8,8,False,0.646551724137931,150,0.29333333333333333,0.16495623407008556,0.35344827586206895,0.3481800766283525,0.00016354414383212737,0.10393798566793573,1.6000099223235558,0.25,0.25,0.75,1.3063579201698303,1.0,1.4154707193374634,37.43656544923947,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.97529004667657,2.3168138937553726,9.1261157455358,2.332075092367097,-0.15082569885923078,-1.6526822900283937,-0.6544042512281961,0.08620689655172414,0.21982758620689655,0.1724137931034483,0.875,7,8,False,0.30603448275862066,71,0.28169014084507044,0.07958545229392859,0.6939655172413793,0.14224137931034483,4.969250765685022e-05,0.04438405123715248,1.0395502746105194,0.25,0.25,0.9,2.0707091093063363,1.0,1.4154707193374634,-1.6402458588462514,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.360261185657032,2.2265553044484405,9.1261157455358,2.332075092367097,-0.7658545598787686,-8.391900567491808,-4.524716541570735,0.2801724137931034,0.7198275862068966,0.4827586206896552,1.0,8,8,False,1.0,232,0.2801724137931034,0.4041146966353945,0.0,1.0,0.0004889792954785625,0.20516518735209988,1.927443228726243,0.25,0.35,0.0,0.0538950152695179,1.0,1.4154707193374634,69.45292701871509,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.44134483466082,2.240180588796734,9.1261157455358,2.332075092367097,-0.6847709108749824,-7.503421271635817,-3.9404607286055486,0.2543103448275862,0.646551724137931,0.3448275862068966,1.0,8,8,False,0.9008620689655172,209,0.2822966507177033,0.3613296876586996,0.09913793103448276,0.664272030651341,0.0005109682356039468,0.2049876597121085,1.8647790391897332,0.25,0.35,0.5,0.7479564249515533,1.0,1.4154707193374634,44.996578728364184,H2L Learned Patch Residual Editor
