variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,ci95_low_delta_raw,ci95_high_delta_raw,p_bootstrap_delta_lt_zero,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score
LRBN,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,False,0.0,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
SRA-BP-safe,768,4.813148680992863,1.6609504547937923,4.894157596003544,1.682162338434372,-0.0810089150106816,-1.6552167202647812,-1.2609890870712976,0.03515625,0.15234375,0.11458333333333333,1.0,8.0,8.0,False,0.0,0,0.0,0.0445253068802708,-0.10428529361638128,-0.05819955040863004,1.0,0.8125,0.05222800925925926,0.0016123990457235303,0.06965834913894481,
SRA-BP-balanced,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.19791666666666666,1.0,8.0,8.0,False,0.0,0,0.0,0.06989983253004452,-0.15384714945596734,-0.09920247122496113,1.0,0.5638020833333334,0.12152777777777778,0.0025347640279076615,0.14325491333243331,
oracle_stage16_cga_full,768,3.074767225864992,1.3221820683229766,4.894157596003544,1.682162338434372,-1.8193903701385523,-37.174740100456724,-21.399853019325842,0.0,1.0,0.0,1.0,8.0,8.0,False,0.0,0,0.0,0.9999999945036535,-2.087688531220485,-1.5644267072510374,1.0,0.0,0.9613715277777778,0.055124450703359744,0.7812580426414838,
H2L Learned Patch Residual Editor,768,4.899525647459733,1.6826891199876972,4.894157596003544,1.682162338434372,0.0053680514561881025,0.1096828481698996,0.03131573797353645,0.07291666666666667,0.06380208333333333,0.17708333333333334,0.5,4.0,8.0,False,0.13671875,105,0.5333333333333333,-0.002950467098643947,-0.013638997734935638,0.02456288406948556,0.294,0.86328125,0.051215277777777776,0.00016915951067076685,0.023958901321316537,0.3735444371898969
H6 Denoising Teacher Manifold Projector,768,4.843571097692103,1.6724423144435654,4.894157596003544,1.682162338434372,-0.05058649831144139,-1.0336099158185628,-0.5778291256996259,0.024739583333333332,0.12369791666666667,0.08333333333333333,1.0,8.0,8.0,False,0.1484375,114,0.16666666666666666,0.027804092438693157,-0.06822455668514554,-0.034573993522262564,1.0,0.8515625,0.10908564814814815,0.00015332832686197777,0.017795141197775522,0.25186305158347283
H2H6 Learned Patch Teacher Hybrid,768,4.806724537686366,1.6658698035605797,4.894157596003544,1.682162338434372,-0.08743305831717922,-1.7864781920779689,-0.9685471137168291,0.10546875,0.2734375,0.1875,1.0,8.0,8.0,False,0.37890625,291,0.27835051546391754,0.04805623865644542,-0.11631123752966897,-0.06047856494568026,1.0,0.62109375,0.21180555555555555,0.0004902851560944424,0.04915067646235562,0.44782760922415416
H6-Safe Sparse Teacher Projector,768,4.844569966291932,1.6727680931416868,4.894157596003544,1.682162338434372,-0.049587629711612735,-1.0132005076989046,-0.5584624635920915,0.016927083333333332,0.0859375,0.041666666666666664,0.875,7.0,8.0,False,0.10286458333333333,79,0.16455696202531644,0.027255079642575928,-0.06892787838807947,-0.03139762347864138,1.0,0.8971354166666666,0.08825231481481481,0.0002630911744012195,0.017312332607627597,0.21706189242386797
H2H6-Safe Sparse Learned Teacher Hybrid,768,4.878476094180302,1.6789224985192,4.894157596003544,1.682162338434372,-0.015681501823242665,-0.3204126856071458,-0.1925997165605012,0.059895833333333336,0.08333333333333333,0.15625,0.875,7.0,8.0,False,0.14322916666666666,110,0.41818181818181815,0.00861909681090458,-0.029972178818098345,-0.0024873215631109453,0.9885,0.8567708333333334,0.07233796296296297,7.71399891864944e-05,0.016636544021066815,0.2755041122552548
SafeTAE-safe (Stage7 table),768,4.804842746654656,1.6608366693376846,4.894157596003544,1.682162338434372,-0.0893148493488878,-1.824927935286098,-1.2677533245548938,0.0182291666666666,0.49609375,,,5.0,8.0,False,0.51953125,399,0.0350877192982456,0.1004235659281106,,,1.0,,,,,
Stage14 FamilyMix Selector,768,4.8270219779235175,1.6690956961026686,4.894157596003544,1.682162338434372,-0.0671356180800268,-1.3717502272030029,-0.7767765307471562,0.0026041666666666,0.4739583333333333,0.0104166666666666,1.0,8.0,8.0,False,0.6692708333333334,514,0.0038910505836575,0.0369000621377993,-0.0760784658718341,-0.0589871719142377,1.0,,,,,0.0314891753220395
H1 Residual Atom Simplex Editor (Stage15),768,4.825330644544388,1.6691624943025232,4.894157596003544,1.682162338434372,-0.0688269514591569,-1.406308439571461,-0.772805558509148,0.0078125,0.2252604166666666,0.0208333333333333,1.0,8.0,8.0,False,0.9231770833333334,709,0.0084626234132581,0.037829677572504,-0.0839946344031149,-0.0557594804265468,1.0,0.7669270833333334,0.2377025462962963,0.0004473000233835,0.0350805980428922,0.046655096860137
H2 Prototype Codebook Local Editor (Stage15),768,4.893025821595544,1.6820252227776449,4.894157596003544,1.682162338434372,-0.0011317744080005,-0.0231250094318912,-0.0081511547832915,0.0182291666666666,0.0325520833333333,0.0416666666666666,0.5,4.0,8.0,False,0.05078125,39,0.358974358974359,0.0006220624338545,-0.0019772770490049,-0.0004320980252612,1.0,0.9765625,0.0078125,6.690736135770403e-07,0.0006014447665458,0.0357533648072025
