variant,slice,n,mse,lrbn_mse,mse_delta_pct_vs_lrbn,harm_rate,win_rate,coverage
LRBN,overall,768,4.894157596003544,4.894157596003544,0.0,0.0,0.0,0.0
LRBN,high_gap_low_repair,163,4.875331913757459,4.875331913757459,0.0,0.0,0.0,0.0
LRBN,q4_boundary,194,4.628772253626971,4.628772253626971,0.0,0.0,0.0,0.0
LRBN,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
LRBN,non_boundary,574,4.983852293601202,4.983852293601202,0.0,0.0,0.0,0.0
LRBN,amplitude_mismatch,378,4.717407120726903,4.717407120726903,0.0,0.0,0.0,0.0
LRBN,known_harmed_config,96,3.994698335172625,3.994698335172625,0.0,0.0,0.0,0.0
SRA-BP-safe,overall,768,4.813148680992863,4.894157596003544,-1.6552167202647812,0.03515625,0.15234375,0.0
SRA-BP-safe,high_gap_low_repair,163,4.573197184275724,4.875331913757459,-6.197213527338204,0.15950920245398773,0.588957055214724,0.0
SRA-BP-safe,q4_boundary,194,4.3080771673991185,4.628772253626971,-6.9282969211486956,0.13917525773195877,0.6030927835051546,0.0
SRA-BP-safe,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
SRA-BP-safe,non_boundary,574,4.983852293601202,4.983852293601202,0.0,0.0,0.0,0.0
SRA-BP-safe,amplitude_mismatch,378,4.6606545909750094,4.717407120726903,-1.2030449816857,0.026455026455026454,0.12433862433862433,0.0
SRA-BP-safe,known_harmed_config,96,3.940405316053798,3.994698335172625,-1.3591268833712322,0.052083333333333336,0.17708333333333334,0.0
SRA-BP-balanced,overall,768,4.766982513125085,4.894157596003544,-2.59850812165216,0.10416666666666667,0.33203125,0.0
SRA-BP-balanced,high_gap_low_repair,163,4.489336396175754,4.875331913757459,-7.917317705093091,0.17791411042944785,0.7668711656441718,0.0
SRA-BP-balanced,q4_boundary,194,4.231265669020404,4.628772253626971,-8.587732598775384,0.16494845360824742,0.7731958762886598,0.0
SRA-BP-balanced,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
SRA-BP-balanced,non_boundary,574,4.948043606777191,4.983852293601202,-0.7184941415325645,0.08362369337979095,0.18292682926829268,0.0
SRA-BP-balanced,amplitude_mismatch,378,4.616585785077957,4.717407120726903,-2.1372192998192694,0.10317460317460317,0.3148148148148148,0.0
SRA-BP-balanced,known_harmed_config,96,3.9061928594973883,3.994698335172625,-2.2155734432911722,0.19791666666666666,0.375,0.0
oracle_stage16_cga_full,overall,768,3.074767225864992,4.894157596003544,-37.174740100456724,0.0,1.0,0.0
oracle_stage16_cga_full,high_gap_low_repair,163,2.939199999119644,4.875331913757459,-39.71282253015549,0.0,1.0,0.0
oracle_stage16_cga_full,q4_boundary,194,2.7676174396675584,4.628772253626971,-40.20839021579052,0.0,1.0,0.0
oracle_stage16_cga_full,low_gap_high_repair,114,3.6799407741619192,5.953046697432603,-38.18390876108238,0.0,1.0,0.0
oracle_stage16_cga_full,non_boundary,574,3.1785774323498392,4.983852293601202,-36.22247914423383,0.0,1.0,0.0
oracle_stage16_cga_full,amplitude_mismatch,378,3.043236795942475,4.717407120726903,-35.48920579442241,0.0,1.0,0.0
oracle_stage16_cga_full,known_harmed_config,96,2.445506684734806,3.994698335172625,-38.78119238490016,0.0,1.0,0.0
H2L Learned Patch Residual Editor,overall,768,4.899525647459733,4.894157596003544,0.1096828481698996,0.07291666666666667,0.06380208333333333,0.13671875
H2L Learned Patch Residual Editor,high_gap_low_repair,163,4.87259895313919,4.875331913757459,-0.05605691388829616,0.07975460122699386,0.049079754601226995,0.12883435582822086
H2L Learned Patch Residual Editor,q4_boundary,194,4.611843658763793,4.628772253626971,-0.36572537811382155,0.06701030927835051,0.06701030927835051,0.13402061855670103
H2L Learned Patch Residual Editor,low_gap_high_repair,114,5.973548706018375,5.953046697432603,0.3443952247203945,0.07894736842105263,0.07894736842105263,0.15789473684210525
H2L Learned Patch Residual Editor,non_boundary,574,4.996756145381356,4.983852293601202,0.2589132059718249,0.07491289198606271,0.0627177700348432,0.13763066202090593
H2L Learned Patch Residual Editor,amplitude_mismatch,378,4.7194556285536144,4.717407120726903,0.04342444419029755,0.07936507936507936,0.07142857142857142,0.15079365079365079
H2L Learned Patch Residual Editor,known_harmed_config,96,4.010809404390321,3.994698335172625,0.4033112847473401,0.09375,0.052083333333333336,0.14583333333333334
H6 Denoising Teacher Manifold Projector,overall,768,4.843571097692103,4.894157596003544,-1.0336099158185628,0.024739583333333332,0.12369791666666667,0.1484375
H6 Denoising Teacher Manifold Projector,high_gap_low_repair,163,4.841066460237492,4.875331913757459,-0.7028332440913733,0.03680981595092025,0.10429447852760736,0.1411042944785276
H6 Denoising Teacher Manifold Projector,q4_boundary,194,4.595441424174536,4.628772253626971,-0.7200792684131316,0.03608247422680412,0.10309278350515463,0.13917525773195877
H6 Denoising Teacher Manifold Projector,low_gap_high_repair,114,5.8743483125984195,5.953046697432603,-1.3219850053574325,0.03508771929824561,0.12280701754385964,0.15789473684210525
H6 Denoising Teacher Manifold Projector,non_boundary,574,4.927433739961107,4.983852293601202,-1.1320269984591627,0.020905923344947737,0.13066202090592335,0.15156794425087108
H6 Denoising Teacher Manifold Projector,amplitude_mismatch,378,4.668182587826536,4.717407120726903,-1.0434658602973308,0.037037037037037035,0.1746031746031746,0.21164021164021163
H6 Denoising Teacher Manifold Projector,known_harmed_config,96,3.9582124990922822,3.994698335172625,-0.9133564772026844,0.010416666666666666,0.07291666666666667,0.08333333333333333
H2H6 Learned Patch Teacher Hybrid,overall,768,4.806724537686366,4.894157596003544,-1.7864781920779689,0.10546875,0.2734375,0.37890625
H2H6 Learned Patch Teacher Hybrid,high_gap_low_repair,163,4.802753756636968,4.875331913757459,-1.4886813504290448,0.12269938650306748,0.3128834355828221,0.43558282208588955
H2H6 Learned Patch Teacher Hybrid,q4_boundary,194,4.554807682063128,4.628772253626971,-1.5979306682477858,0.10824742268041238,0.28865979381443296,0.39690721649484534
H2H6 Learned Patch Teacher Hybrid,low_gap_high_repair,114,5.821361966684966,5.953046697432603,-2.2120560650603194,0.11403508771929824,0.21052631578947367,0.32456140350877194
H2H6 Learned Patch Teacher Hybrid,non_boundary,574,4.8918671683325465,4.983852293601202,-1.8456631470035572,0.10452961672473868,0.2682926829268293,0.37282229965156793
H2H6 Learned Patch Teacher Hybrid,amplitude_mismatch,378,4.632147287391688,4.717407120726903,-1.807345242259749,0.12433862433862433,0.32275132275132273,0.4470899470899471
H2H6 Learned Patch Teacher Hybrid,known_harmed_config,96,3.9347543435023495,3.994698335172625,-1.500588692578361,0.07291666666666667,0.1875,0.2604166666666667
H6-Safe Sparse Teacher Projector,overall,768,4.844569966291932,4.894157596003544,-1.0132005076989046,0.016927083333333332,0.0859375,0.10286458333333333
H6-Safe Sparse Teacher Projector,high_gap_low_repair,163,4.850615868339724,4.875331913757459,-0.5069612860058608,0.03067484662576687,0.05521472392638037,0.08588957055214724
H6-Safe Sparse Teacher Projector,q4_boundary,194,4.608441605652832,4.628772253626971,-0.4392233364751509,0.030927835051546393,0.061855670103092786,0.09278350515463918
H6-Safe Sparse Teacher Projector,low_gap_high_repair,114,5.873916002873388,5.953046697432603,-1.3292469965071345,0.02631578947368421,0.10526315789473684,0.13157894736842105
H6-Safe Sparse Teacher Projector,non_boundary,574,4.92437641570654,4.983852293601202,-1.193371598345442,0.012195121951219513,0.09407665505226481,0.10627177700348432
H6-Safe Sparse Teacher Projector,amplitude_mismatch,378,4.670033927560494,4.717407120726903,-1.0042210022078129,0.023809523809523808,0.10052910052910052,0.12433862433862433
H6-Safe Sparse Teacher Projector,known_harmed_config,96,3.9627591516655607,3.994698335172625,-0.7995393080346332,0.010416666666666666,0.0625,0.07291666666666667
H2H6-Safe Sparse Learned Teacher Hybrid,overall,768,4.878476094180302,4.894157596003544,-0.3204126856071458,0.059895833333333336,0.08333333333333333,0.14322916666666666
H2H6-Safe Sparse Learned Teacher Hybrid,high_gap_low_repair,163,4.8575483745972186,4.875331913757459,-0.36476571110125844,0.06748466257668712,0.08588957055214724,0.15337423312883436
H2H6-Safe Sparse Learned Teacher Hybrid,q4_boundary,194,4.605290731117355,4.628772253626971,-0.507294832673751,0.05670103092783505,0.08762886597938144,0.14432989690721648
H2H6-Safe Sparse Learned Teacher Hybrid,low_gap_high_repair,114,5.931463530339294,5.953046697432603,-0.36255665634810585,0.07017543859649122,0.08771929824561403,0.15789473684210525
H2H6-Safe Sparse Learned Teacher Hybrid,non_boundary,574,4.970807035703318,4.983852293601202,-0.26175049145130774,0.06097560975609756,0.08188153310104529,0.14285714285714285
H2H6-Safe Sparse Learned Teacher Hybrid,amplitude_mismatch,378,4.7034292746913655,4.717407120726903,-0.29630357626952314,0.08465608465608465,0.09259259259259259,0.17724867724867724
H2H6-Safe Sparse Learned Teacher Hybrid,known_harmed_config,96,3.977015438978603,3.994698335172625,-0.44265911130412827,0.052083333333333336,0.08333333333333333,0.13541666666666666
