variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score,shrink,residual_cap,gate_quantile,score_threshold,width_coef,energy_only_accept,calibration_score,target_variant
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.106621797640548,2.3292010689095983,9.1261157455358,2.332075092367097,-0.019493947895254358,-0.21360618709474402,-0.12323888945864957,0.23275862068965517,0.7672413793103449,0.3793103448275862,1.0,8,8,False,1.0,232,0.23275862068965517,0.010286275296400823,1.0,0.022988505747126436,2.950195396112588e-07,0.005209934499894413,0.24118593804024416,0.25,0.1,0.0,0.1347542256116867,1.0,False,65.39905911157494,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.117240782326002,2.33087735315367,9.1261157455358,2.332075092367097,-0.008874963209800635,-0.09724797983649486,-0.05135937569984453,0.12931034482758622,0.375,0.3793103448275862,0.5,4,8,False,0.5043103448275862,117,0.2564102564102564,0.0046830080449564715,1.0,0.005747126436781609,1.6319692397557426e-07,0.002282115466466732,0.24118593804024416,0.25,0.1,0.5,0.2499999701976776,1.0,False,47.437827491448274,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.120556564083092,2.331370887384059,9.1261157455358,2.332075092367097,-0.005559181452710625,-0.06091508810127232,-0.03019649677334913,0.03879310344827586,0.21120689655172414,0.10344827586206896,0.5,4,8,False,0.25,58,0.15517241379310345,0.0029333858463399167,1.0,0.003352490421455939,8.841929733706665e-08,0.0011350362138589092,0.24118593804024416,0.25,0.1,0.75,0.2500009834766388,1.0,False,12.39660493443553,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.123419865703296,2.3317544638190424,9.1261157455358,2.332075092367097,-0.0026958798325068954,-0.029540276550507845,-0.013748637328590732,0.021551724137931036,0.08189655172413793,0.06896551724137931,0.5,4,8,False,0.10344827586206896,24,0.20833333333333334,0.0014225216088697788,1.0,0.003352490421455939,5.139599077857271e-08,0.0004740074898534488,0.24118593804024416,0.25,0.1,0.9,0.25005040168762205,1.0,False,12.458197030735697,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.106621797640548,2.3292010689095983,9.1261157455358,2.332075092367097,-0.019493947895254358,-0.21360618709474402,-0.12323888945864957,0.23275862068965517,0.7672413793103449,0.3793103448275862,1.0,8,8,False,1.0,232,0.23275862068965517,0.010286275296400823,1.0,0.022988505747126436,2.950195396112588e-07,0.005209934499894413,0.24118593804024416,0.25,0.2,0.0,0.1347542256116867,1.0,False,65.39905911157494,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.117240782326002,2.33087735315367,9.1261157455358,2.332075092367097,-0.008874963209800635,-0.09724797983649486,-0.05135937569984453,0.12931034482758622,0.375,0.3793103448275862,0.5,4,8,False,0.5043103448275862,117,0.2564102564102564,0.0046830080449564715,1.0,0.005747126436781609,1.6319692397557426e-07,0.002282115466466732,0.24118593804024416,0.25,0.2,0.5,0.2499999701976776,1.0,False,47.437827491448274,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.120556564083092,2.331370887384059,9.1261157455358,2.332075092367097,-0.005559181452710625,-0.06091508810127232,-0.03019649677334913,0.03879310344827586,0.21120689655172414,0.10344827586206896,0.5,4,8,False,0.25,58,0.15517241379310345,0.0029333858463399167,1.0,0.003352490421455939,8.841929733706665e-08,0.0011350362138589092,0.24118593804024416,0.25,0.2,0.75,0.2500009834766388,1.0,False,12.39660493443553,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.123419865703296,2.3317544638190424,9.1261157455358,2.332075092367097,-0.0026958798325068954,-0.029540276550507845,-0.013748637328590732,0.021551724137931036,0.08189655172413793,0.06896551724137931,0.5,4,8,False,0.10344827586206896,24,0.20833333333333334,0.0014225216088697788,1.0,0.003352490421455939,5.139599077857271e-08,0.0004740074898534488,0.24118593804024416,0.25,0.2,0.9,0.25005040168762205,1.0,False,12.458197030735697,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.106621797640548,2.3292010689095983,9.1261157455358,2.332075092367097,-0.019493947895254358,-0.21360618709474402,-0.12323888945864957,0.23275862068965517,0.7672413793103449,0.3793103448275862,1.0,8,8,False,1.0,232,0.23275862068965517,0.010286275296400823,1.0,0.022988505747126436,2.950195396112588e-07,0.005209934499894413,0.24118593804024416,0.25,0.35,0.0,0.1347542256116867,1.0,False,65.39905911157494,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.117240782326002,2.33087735315367,9.1261157455358,2.332075092367097,-0.008874963209800635,-0.09724797983649486,-0.05135937569984453,0.12931034482758622,0.375,0.3793103448275862,0.5,4,8,False,0.5043103448275862,117,0.2564102564102564,0.0046830080449564715,1.0,0.005747126436781609,1.6319692397557426e-07,0.002282115466466732,0.24118593804024416,0.25,0.35,0.5,0.2499999701976776,1.0,False,47.437827491448274,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.120556564083092,2.331370887384059,9.1261157455358,2.332075092367097,-0.005559181452710625,-0.06091508810127232,-0.03019649677334913,0.03879310344827586,0.21120689655172414,0.10344827586206896,0.5,4,8,False,0.25,58,0.15517241379310345,0.0029333858463399167,1.0,0.003352490421455939,8.841929733706665e-08,0.0011350362138589092,0.24118593804024416,0.25,0.35,0.75,0.2500009834766388,1.0,False,12.39660493443553,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.123419865703296,2.3317544638190424,9.1261157455358,2.332075092367097,-0.0026958798325068954,-0.029540276550507845,-0.013748637328590732,0.021551724137931036,0.08189655172413793,0.06896551724137931,0.5,4,8,False,0.10344827586206896,24,0.20833333333333334,0.0014225216088697788,1.0,0.003352490421455939,5.139599077857271e-08,0.0004740074898534488,0.24118593804024416,0.25,0.35,0.9,0.25005040168762205,1.0,False,12.458197030735697,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.087307793221658,2.326348729946212,9.1261157455358,2.332075092367097,-0.038807952314143114,-0.42524063198082923,-0.2455479420483956,0.23275862068965517,0.7672413793103449,0.3793103448275862,1.0,8,8,False,1.0,232,0.23275862068965517,0.02047760070652753,0.521551724137931,0.3702107279693487,1.1800781584450365e-06,0.01041986899978884,0.24118593804024416,0.5,0.1,0.0,0.1347542256116867,1.0,False,54.55831080216448,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.108434912645798,2.329687553753487,9.1261157455358,2.332075092367097,-0.017680832890004917,-0.193738862881261,-0.10237829009824351,0.12931034482758622,0.375,0.3793103448275862,0.5,4,8,False,0.5043103448275862,117,0.2564102564102564,0.009329557848080814,0.9956896551724138,0.1997126436781609,6.527876959022977e-07,0.004564230932933475,0.24118593804024416,0.5,0.1,0.5,0.2499999701976776,1.0,False,45.198118256019185,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.115035035819135,2.3306709328669624,9.1261157455358,2.332075092367097,-0.011080709716666285,-0.12141758896652391,-0.060210732437801506,0.03879310344827586,0.21120689655172414,0.10344827586206896,0.5,4,8,False,0.25,58,0.15517241379310345,0.005846903420362598,0.9956896551724138,0.09626436781609195,3.536771893482673e-07,0.0022700724277178222,0.24118593804024416,0.5,0.1,0.75,0.2500009834766388,1.0,False,10.167678825384844,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.120746072566869,2.3314357215983192,9.1261157455358,2.332075092367097,-0.005369672968933261,-0.05883853670905838,-0.027416388440020034,0.021551724137931036,0.08189655172413793,0.06896551724137931,0.5,4,8,False,0.10344827586206896,24,0.20833333333333334,0.002833388839801696,0.9956896551724138,0.034003831417624523,2.0558396311429092e-07,0.0009480149797068981,0.24118593804024416,0.5,0.1,0.9,0.25005040168762205,1.0,False,11.440432383812913,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.087307793221658,2.326348729946212,9.1261157455358,2.332075092367097,-0.038807952314143114,-0.42524063198082923,-0.2455479420483956,0.23275862068965517,0.7672413793103449,0.3793103448275862,1.0,8,8,False,1.0,232,0.23275862068965517,0.02047760070652753,0.521551724137931,0.3702107279693487,1.1800781584450365e-06,0.01041986899978884,0.24118593804024416,0.5,0.2,0.0,0.1347542256116867,1.0,False,54.55831080216448,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.108434912645798,2.329687553753487,9.1261157455358,2.332075092367097,-0.017680832890004917,-0.193738862881261,-0.10237829009824351,0.12931034482758622,0.375,0.3793103448275862,0.5,4,8,False,0.5043103448275862,117,0.2564102564102564,0.009329557848080814,0.9956896551724138,0.1997126436781609,6.527876959022977e-07,0.004564230932933475,0.24118593804024416,0.5,0.2,0.5,0.2499999701976776,1.0,False,45.198118256019185,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.115035035819135,2.3306709328669624,9.1261157455358,2.332075092367097,-0.011080709716666285,-0.12141758896652391,-0.060210732437801506,0.03879310344827586,0.21120689655172414,0.10344827586206896,0.5,4,8,False,0.25,58,0.15517241379310345,0.005846903420362598,0.9956896551724138,0.09626436781609195,3.536771893482673e-07,0.0022700724277178222,0.24118593804024416,0.5,0.2,0.75,0.2500009834766388,1.0,False,10.167678825384844,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.120746072566869,2.3314357215983192,9.1261157455358,2.332075092367097,-0.005369672968933261,-0.05883853670905838,-0.027416388440020034,0.021551724137931036,0.08189655172413793,0.06896551724137931,0.5,4,8,False,0.10344827586206896,24,0.20833333333333334,0.002833388839801696,0.9956896551724138,0.034003831417624523,2.0558396311429092e-07,0.0009480149797068981,0.24118593804024416,0.5,0.2,0.9,0.25005040168762205,1.0,False,11.440432383812913,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.087307793221658,2.326348729946212,9.1261157455358,2.332075092367097,-0.038807952314143114,-0.42524063198082923,-0.2455479420483956,0.23275862068965517,0.7672413793103449,0.3793103448275862,1.0,8,8,False,1.0,232,0.23275862068965517,0.02047760070652753,0.521551724137931,0.3702107279693487,1.1800781584450365e-06,0.01041986899978884,0.24118593804024416,0.5,0.35,0.0,0.1347542256116867,1.0,False,54.55831080216448,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.108434912645798,2.329687553753487,9.1261157455358,2.332075092367097,-0.017680832890004917,-0.193738862881261,-0.10237829009824351,0.12931034482758622,0.375,0.3793103448275862,0.5,4,8,False,0.5043103448275862,117,0.2564102564102564,0.009329557848080814,0.9956896551724138,0.1997126436781609,6.527876959022977e-07,0.004564230932933475,0.24118593804024416,0.5,0.35,0.5,0.2499999701976776,1.0,False,45.198118256019185,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.115035035819135,2.3306709328669624,9.1261157455358,2.332075092367097,-0.011080709716666285,-0.12141758896652391,-0.060210732437801506,0.03879310344827586,0.21120689655172414,0.10344827586206896,0.5,4,8,False,0.25,58,0.15517241379310345,0.005846903420362598,0.9956896551724138,0.09626436781609195,3.536771893482673e-07,0.0022700724277178222,0.24118593804024416,0.5,0.35,0.75,0.2500009834766388,1.0,False,10.167678825384844,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.120746072566869,2.3314357215983192,9.1261157455358,2.332075092367097,-0.005369672968933261,-0.05883853670905838,-0.027416388440020034,0.021551724137931036,0.08189655172413793,0.06896551724137931,0.5,4,8,False,0.10344827586206896,24,0.20833333333333334,0.002833388839801696,0.9956896551724138,0.034003831417624523,2.0558396311429092e-07,0.0009480149797068981,0.24118593804024416,0.5,0.35,0.9,0.25005040168762205,1.0,False,11.440432383812913,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.068256833995587,2.3235251164138244,9.1261157455358,2.332075092367097,-0.05785891154021425,-0.6339927422585772,-0.3666252405248187,0.23275862068965517,0.7672413793103449,0.3793103448275862,1.0,8,8,False,1.0,232,0.23275862068965517,0.030530126357710814,0.0,0.6987547892720306,2.6357342109417925e-06,0.015584836033406754,0.24118593804024416,0.75,0.1,0.0,0.1347542256116867,1.0,False,54.14850817886306,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.099715038541557,2.3285080677317413,9.1261157455358,2.332075092367097,-0.026400706994243305,-0.2892874438747829,-0.15295496408907502,0.12931034482758622,0.375,0.3793103448275862,0.5,4,8,False,0.5043103448275862,117,0.2564102564102564,0.013930730789965413,0.4956896551724138,0.43726053639846746,1.4625913741327561e-06,0.006838769254288891,0.24118593804024416,0.75,0.1,0.5,0.2499999701976776,1.0,False,36.20451173342935,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.109560397549236,2.3299764126890143,9.1261157455358,2.332075092367097,-0.016555347986564453,-0.18140628970788625,-0.089991942195715,0.03879310344827586,0.21120689655172414,0.10344827586206896,0.5,4,8,False,0.25,58,0.15517241379310345,0.008735678782591466,0.75,0.21216475095785442,7.929972318717055e-07,0.00340067610181707,0.24118593804024416,0.75,0.1,0.75,0.2500009834766388,1.0,False,1.2438801346402846,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.118103184941276,2.3311200528549008,9.1261157455358,2.332075092367097,-0.008012560594525674,-0.08779814774608964,-0.04095234802803138,0.021551724137931036,0.08189655172413793,0.06896551724137931,0.5,4,8,False,0.10344827586206896,24,0.20833333333333334,0.004227948312329718,0.896551724137931,0.08333333333333333,4.600690326022403e-07,0.0014181351150268544,0.24118593804024416,0.75,0.1,0.9,0.25005040168762205,1.0,False,5.772470472214211,SL-TMP Sequence Teacher Minimal-Norm Projection
SL-TMP Sequence Teacher Minimal-Norm Projection,232,9.068173732279135,2.323510304839135,9.1261157455358,2.332075092367097,-0.05794201325666621,-0.6349033346582166,-0.36726036478279717,0.23275862068965517,0.7672413793103449,0.3793103448275862,1.0,8,8,False,1.0,232,0.23275862068965517,0.030573976230380086,0.0,0.6987547892720306,2.655175856501332e-06,0.01562980349968326,0.24118593804024416,0.75,0.2,0.0,0.1347542256116867,1.0,False,54.14672058901004,SL-TMP Sequence Teacher Minimal-Norm Projection
