variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,ci95_low_delta_raw,ci95_high_delta_raw,p_bootstrap_delta_lt_zero,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score
LRBN,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,False,0.0,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
SRA-BP-safe,768,4.813148680992863,1.6609504547937923,4.894157596003544,1.682162338434372,-0.0810089150106816,-1.6552167202647812,-1.2609890870712976,0.03515625,0.15234375,0.11458333333333333,1.0,8.0,8.0,False,0.0,0,0.0,0.0445253068802708,-0.10428529361638128,-0.05819955040863004,1.0,0.8125,0.05222800925925926,0.0016123990457235303,0.06965834913894481,
SRA-BP-balanced,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.19791666666666666,1.0,8.0,8.0,False,0.0,0,0.0,0.06989983253004452,-0.15384714945596734,-0.09920247122496113,1.0,0.5638020833333334,0.12152777777777778,0.0025347640279076615,0.14325491333243331,
oracle_stage17_cga_full,768,3.074767225864992,1.3221820683229766,4.894157596003544,1.682162338434372,-1.8193903701385523,-37.174740100456724,-21.399853019325842,0.0,1.0,0.0,1.0,8.0,8.0,False,0.0,0,0.0,0.9999999945036535,-2.087688531220485,-1.5644267072510374,1.0,0.0,0.9613715277777778,0.055124450703359744,0.7812580426414838,
SL-TMP Sequence Teacher Minimal-Norm Projection,768,4.8928524941596,1.6817317592626442,4.894157596003544,1.682162338434372,-0.0013051018439438524,-0.026666526683638912,-0.0255967666930954,0.10807291666666667,0.12760416666666666,0.23958333333333334,0.25,2.0,8.0,False,0.23567708333333334,181,0.4585635359116022,0.0007173291989399574,-0.0030616340060705817,0.00046146967302437716,0.9305,0.7643229166666666,0.21629050925925927,2.9583458244637055e-06,0.0031953699382569235,0.23525514320742028
UTRE Uncertainty Teacher Residual Envelope,768,4.9926617043350605,1.6802564638987565,4.894157596003544,1.682162338434372,0.09850410833151596,2.0126877036138713,-0.11329908420488474,0.31640625,0.3294270833333333,0.4375,0.25,2.0,8.0,False,0.6458333333333334,496,0.4899193548387097,-0.054141271387845066,0.024176517252825176,0.17535141995080378,0.0035,0.3541666666666667,0.6501736111111112,0.0036554272330953682,0.21925856640672692,0.6486525322397938
SSP Structured Sequence Projector,768,4.895090062885083,1.682189784617096,4.894157596003544,1.682162338434372,0.0009324668815379763,0.01905265331861482,0.0016316012987345077,0.07552083333333333,0.06640625,0.3541666666666667,0.125,1.0,8.0,False,0.14192708333333334,109,0.5321100917431193,-0.0005125161107353805,-0.0006853128810234687,0.002462884867022063,0.13,0.8580729166666666,0.125,1.8135704134912505e-06,0.0019275282530357974,0.43462224564670277
TRAP Teacher-Residual Agreement Projector,768,4.890482581896936,1.6810577369664148,4.894157596003544,1.682162338434372,-0.003675014106607265,-0.07508981938178093,-0.0656655684265725,0.08723958333333333,0.13802083333333334,0.21875,0.875,7.0,8.0,False,0.22526041666666666,173,0.3872832369942196,0.0020199151027320487,-0.006082722845939395,-0.001371325684879991,0.9985,0.7747395833333334,0.2560763888888889,3.6746018697838056e-06,0.004133372743263509,0.007082828892237508
IMDR Iterative Minimal-Norm Denoising Refiner,768,4.891469625097092,1.6817215450152236,4.894157596003544,1.682162338434372,-0.0026879709064516442,-0.05492203404227808,-0.026203976064416986,0.005208333333333333,0.0234375,0.03125,0.5,4.0,8.0,False,0.028645833333333332,22,0.18181818181818182,0.0014774019560590108,-0.00467522171063937,-0.0010388098107229288,1.0,0.9713541666666666,0.034722222222222224,1.8135939261629195e-06,0.002291666595541335,0.051514229220942065
SafeTAE-safe (Stage7 table),768,4.804842746654656,1.6608366693376846,4.894157596003544,1.682162338434372,-0.0893148493488878,-1.824927935286098,-1.2677533245548938,0.0182291666666666,0.49609375,,,5.0,8.0,False,0.51953125,399,0.0350877192982456,0.1004235659281106,,,1.0,,,,,
FamilyMix Selector (Stage14),768,4.8270219779235175,1.6690956961026686,4.894157596003544,1.682162338434372,-0.0671356180800268,-1.3717502272030029,-0.7767765307471562,0.0026041666666666,0.4739583333333333,0.0104166666666666,1.0,8.0,8.0,False,0.6692708333333334,514,0.0038910505836575,0.0369000621377993,-0.0760784658718341,-0.0589871719142377,1.0,,,,,0.0314891753220395
H1 Residual Atom Simplex Editor (Stage15),768,4.825330644544388,1.6691624943025232,4.894157596003544,1.682162338434372,-0.0688269514591569,-1.406308439571461,-0.772805558509148,0.0078125,0.2252604166666666,0.0208333333333333,1.0,8.0,8.0,False,0.9231770833333334,709,0.0084626234132581,0.037829677572504,-0.0839946344031149,-0.0557594804265468,1.0,0.7669270833333334,0.2377025462962963,0.0004473000233835,0.0350805980428922,0.046655096860137
H2 Prototype Codebook Local Editor (Stage15),768,4.893025821595544,1.6820252227776449,4.894157596003544,1.682162338434372,-0.0011317744080005,-0.0231250094318912,-0.0081511547832915,0.0182291666666666,0.0325520833333333,0.0416666666666666,0.5,4.0,8.0,False,0.05078125,39,0.358974358974359,0.0006220624338545,-0.0019772770490049,-0.0004320980252612,1.0,0.9765625,0.0078125,6.690736135770403e-07,0.0006014447665458,0.0357533648072025
H6 Denoising Teacher Manifold Projector (Stage16),768,4.843571097692103,1.6724423144435654,4.894157596003544,1.682162338434372,-0.0505864983114413,-1.0336099158185628,-0.5778291256996259,0.0247395833333333,0.1236979166666666,0.0833333333333333,1.0,8.0,8.0,False,0.1484375,114,0.1666666666666666,0.0278040924386931,-0.0682245566851455,-0.0345739935222625,1.0,0.8515625,0.1090856481481481,0.0001533283268619,0.0177951411977755,0.2518630515834728
H2H6 Learned Patch Teacher Hybrid (Stage16),768,4.806724537686366,1.6658698035605797,4.894157596003544,1.682162338434372,-0.0874330583171792,-1.7864781920779689,-0.9685471137168292,0.10546875,0.2734375,0.1875,1.0,8.0,8.0,False,0.37890625,291,0.2783505154639175,0.0480562386564454,-0.1163112375296689,-0.0604785649456802,1.0,0.62109375,0.2118055555555555,0.0004902851560944,0.0491506764623556,0.4478276092241541
H6-Safe Sparse Teacher Projector (Stage16),768,4.844569966291932,1.6727680931416868,4.894157596003544,1.682162338434372,-0.0495876297116127,-1.0132005076989046,-0.5584624635920915,0.0169270833333333,0.0859375,0.0416666666666666,0.875,7.0,8.0,False,0.1028645833333333,79,0.1645569620253164,0.0272550796425759,-0.0689278783880794,-0.0313976234786413,1.0,0.8971354166666666,0.0882523148148148,0.0002630911744012,0.0173123326076275,0.2170618924238679
