variant,slice,n,mse,lrbn_mse,mse_delta_pct_vs_lrbn,harm_rate,win_rate,coverage
LRBN,overall,768,4.894157596003544,4.894157596003544,0.0,0.0,0.0,0.0
LRBN,high_gap_low_repair,163,4.875331913757459,4.875331913757459,0.0,0.0,0.0,0.0
LRBN,q4_boundary,194,4.628772253626971,4.628772253626971,0.0,0.0,0.0,0.0
LRBN,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
LRBN,non_boundary,574,4.983852293601202,4.983852293601202,0.0,0.0,0.0,0.0
LRBN,amplitude_mismatch,378,4.717407120726903,4.717407120726903,0.0,0.0,0.0,0.0
LRBN,known_harmed_config,96,3.994698335172625,3.994698335172625,0.0,0.0,0.0,0.0
SRA-BP-safe,overall,768,4.813148680992863,4.894157596003544,-1.6552167202647812,0.03515625,0.15234375,0.0
SRA-BP-safe,high_gap_low_repair,163,4.573197184275724,4.875331913757459,-6.197213527338204,0.15950920245398773,0.588957055214724,0.0
SRA-BP-safe,q4_boundary,194,4.3080771673991185,4.628772253626971,-6.9282969211486956,0.13917525773195877,0.6030927835051546,0.0
SRA-BP-safe,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
SRA-BP-safe,non_boundary,574,4.983852293601202,4.983852293601202,0.0,0.0,0.0,0.0
SRA-BP-safe,amplitude_mismatch,378,4.6606545909750094,4.717407120726903,-1.2030449816857,0.026455026455026454,0.12433862433862433,0.0
SRA-BP-safe,known_harmed_config,96,3.940405316053798,3.994698335172625,-1.3591268833712322,0.052083333333333336,0.17708333333333334,0.0
SRA-BP-balanced,overall,768,4.766982513125085,4.894157596003544,-2.59850812165216,0.10416666666666667,0.33203125,0.0
SRA-BP-balanced,high_gap_low_repair,163,4.489336396175754,4.875331913757459,-7.917317705093091,0.17791411042944785,0.7668711656441718,0.0
SRA-BP-balanced,q4_boundary,194,4.231265669020404,4.628772253626971,-8.587732598775384,0.16494845360824742,0.7731958762886598,0.0
SRA-BP-balanced,low_gap_high_repair,114,5.953046697432603,5.953046697432603,0.0,0.0,0.0,0.0
SRA-BP-balanced,non_boundary,574,4.948043606777191,4.983852293601202,-0.7184941415325645,0.08362369337979095,0.18292682926829268,0.0
SRA-BP-balanced,amplitude_mismatch,378,4.616585785077957,4.717407120726903,-2.1372192998192694,0.10317460317460317,0.3148148148148148,0.0
SRA-BP-balanced,known_harmed_config,96,3.9061928594973883,3.994698335172625,-2.2155734432911722,0.19791666666666666,0.375,0.0
oracle_stage17_cga_full,overall,768,3.074767225864992,4.894157596003544,-37.174740100456724,0.0,1.0,0.0
oracle_stage17_cga_full,high_gap_low_repair,163,2.939199999119644,4.875331913757459,-39.71282253015549,0.0,1.0,0.0
oracle_stage17_cga_full,q4_boundary,194,2.7676174396675584,4.628772253626971,-40.20839021579052,0.0,1.0,0.0
oracle_stage17_cga_full,low_gap_high_repair,114,3.6799407741619192,5.953046697432603,-38.18390876108238,0.0,1.0,0.0
oracle_stage17_cga_full,non_boundary,574,3.1785774323498392,4.983852293601202,-36.22247914423383,0.0,1.0,0.0
oracle_stage17_cga_full,amplitude_mismatch,378,3.043236795942475,4.717407120726903,-35.48920579442241,0.0,1.0,0.0
oracle_stage17_cga_full,known_harmed_config,96,2.445506684734806,3.994698335172625,-38.78119238490016,0.0,1.0,0.0
SL-TMP Sequence Teacher Minimal-Norm Projection,overall,768,4.8928524941596,4.894157596003544,-0.026666526683638912,0.10807291666666667,0.12760416666666666,0.23567708333333334
SL-TMP Sequence Teacher Minimal-Norm Projection,high_gap_low_repair,163,4.873586246331432,4.875331913757459,-0.03580612465625924,0.07975460122699386,0.1165644171779141,0.19631901840490798
SL-TMP Sequence Teacher Minimal-Norm Projection,q4_boundary,194,4.6265193285949335,4.628772253626971,-0.048672194347098546,0.07216494845360824,0.10824742268041238,0.18041237113402062
SL-TMP Sequence Teacher Minimal-Norm Projection,low_gap_high_repair,114,5.9508605009507285,5.953046697432603,-0.03672399343255276,0.14035087719298245,0.19298245614035087,0.3333333333333333
SL-TMP Sequence Teacher Minimal-Norm Projection,non_boundary,574,4.982867536179714,4.983852293601202,-0.019758960769694345,0.12020905923344948,0.13414634146341464,0.25435540069686413
SL-TMP Sequence Teacher Minimal-Norm Projection,amplitude_mismatch,378,4.7164432237663805,4.717407120726903,-0.02043277024456911,0.10582010582010581,0.1164021164021164,0.2222222222222222
SL-TMP Sequence Teacher Minimal-Norm Projection,known_harmed_config,96,3.995937491054816,3.994698335172625,0.03102001140307872,0.23958333333333334,0.1875,0.4270833333333333
UTRE Uncertainty Teacher Residual Envelope,overall,768,4.9926617043350605,4.894157596003544,2.0126877036138713,0.31640625,0.3294270833333333,0.6458333333333334
UTRE Uncertainty Teacher Residual Envelope,high_gap_low_repair,163,5.035195385894218,4.875331913757459,3.279027451602732,0.3496932515337423,0.3374233128834356,0.6871165644171779
UTRE Uncertainty Teacher Residual Envelope,q4_boundary,194,4.761581922541239,4.628772253626971,2.869220202469027,0.36597938144329895,0.3711340206185567,0.7371134020618557
UTRE Uncertainty Teacher Residual Envelope,low_gap_high_repair,114,5.945360382386624,5.953046697432603,-0.12911565159370428,0.16666666666666666,0.2543859649122807,0.42105263157894735
UTRE Uncertainty Teacher Residual Envelope,non_boundary,574,5.070761839645167,4.983852293601202,1.7438226646717938,0.29965156794425085,0.3153310104529617,0.6149825783972126
UTRE Uncertainty Teacher Residual Envelope,amplitude_mismatch,378,4.835357309374416,4.717407120726903,2.5003181913056185,0.3333333333333333,0.32275132275132273,0.656084656084656
UTRE Uncertainty Teacher Residual Envelope,known_harmed_config,96,4.0138281999745375,3.994698335172625,0.4788813359344167,0.4166666666666667,0.3854166666666667,0.8020833333333334
SSP Structured Sequence Projector,overall,768,4.895090062885083,4.894157596003544,0.01905265331861482,0.07552083333333333,0.06640625,0.14192708333333334
SSP Structured Sequence Projector,high_gap_low_repair,163,4.875137071904798,4.875331913757459,-0.003996483843725183,0.04294478527607362,0.018404907975460124,0.06134969325153374
SSP Structured Sequence Projector,q4_boundary,194,4.62884131073702,4.628772253626971,0.0014919098654228844,0.04639175257731959,0.015463917525773196,0.061855670103092786
SSP Structured Sequence Projector,low_gap_high_repair,114,5.953880594599587,5.953046697432603,0.01400790566523174,0.13157894736842105,0.13157894736842105,0.2631578947368421
SSP Structured Sequence Projector,non_boundary,574,4.985076574935124,4.983852293601202,0.024564960182255336,0.08536585365853659,0.08362369337979095,0.16898954703832753
SSP Structured Sequence Projector,amplitude_mismatch,378,4.718553027281959,4.717407120726903,0.024291025203065614,0.08465608465608465,0.07671957671957672,0.16137566137566137
SSP Structured Sequence Projector,known_harmed_config,96,3.9961400147456714,3.994698335172625,0.036089823272606285,0.0625,0.0,0.0625
TRAP Teacher-Residual Agreement Projector,overall,768,4.890482581896936,4.894157596003544,-0.07508981938178093,0.08723958333333333,0.13802083333333334,0.22526041666666666
TRAP Teacher-Residual Agreement Projector,high_gap_low_repair,163,4.869983419549393,4.875331913757459,-0.10970523221204656,0.06134969325153374,0.1165644171779141,0.17791411042944785
TRAP Teacher-Residual Agreement Projector,q4_boundary,194,4.6211391262531665,4.628772253626971,-0.16490609040728818,0.06701030927835051,0.14432989690721648,0.211340206185567
TRAP Teacher-Residual Agreement Projector,low_gap_high_repair,114,5.954022583287061,5.953046697432603,0.016393048844036556,0.10526315789473684,0.13157894736842105,0.23684210526315788
TRAP Teacher-Residual Agreement Projector,non_boundary,574,4.981515039030894,4.983852293601202,-0.046896545642392276,0.09407665505226481,0.13588850174216027,0.22996515679442509
TRAP Teacher-Residual Agreement Projector,amplitude_mismatch,378,4.7139050935430715,4.717407120726903,-0.07423627189226037,0.08465608465608465,0.1349206349206349,0.21957671957671956
TRAP Teacher-Residual Agreement Projector,known_harmed_config,96,3.99226671456672,3.994698335172625,-0.06087119466338281,0.13541666666666666,0.16666666666666666,0.3020833333333333
IMDR Iterative Minimal-Norm Denoising Refiner,overall,768,4.891469625097092,4.894157596003544,-0.05492203404227808,0.005208333333333333,0.0234375,0.028645833333333332
IMDR Iterative Minimal-Norm Denoising Refiner,high_gap_low_repair,163,4.876203124321129,4.875331913757459,0.0178697692237994,0.006134969325153374,0.0,0.006134969325153374
IMDR Iterative Minimal-Norm Denoising Refiner,q4_boundary,194,4.629471531502233,4.628772253626971,0.015107199823964272,0.005154639175257732,0.010309278350515464,0.015463917525773196
IMDR Iterative Minimal-Norm Denoising Refiner,low_gap_high_repair,114,5.942939556305019,5.953046697432603,-0.16978098147566661,0.008771929824561403,0.05263157894736842,0.06140350877192982
IMDR Iterative Minimal-Norm Denoising Refiner,non_boundary,574,4.9800195034200945,4.983852293601202,-0.07690416865559592,0.005226480836236934,0.027874564459930314,0.033101045296167246
IMDR Iterative Minimal-Norm Denoising Refiner,amplitude_mismatch,378,4.713287684080153,4.717407120726903,-0.08732417051557965,0.005291005291005291,0.03439153439153439,0.03968253968253968
IMDR Iterative Minimal-Norm Denoising Refiner,known_harmed_config,96,3.986014277080107,3.994698335172625,-0.21738958344657625,0.03125,0.07291666666666667,0.10416666666666667
