variant,parent,n,mse,mae,parent_mse,parent_mae,mse_delta_vs_parent,mse_delta_pct_vs_parent,mae_delta_pct_vs_parent,harm_rate_vs_parent,win_rate_vs_parent,max_config_harm,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,split,oracle_pool,parent_method,oracle_mse_over_parent,incremental_oracle_delta_pct,oracle_gain_fraction_vs_LRBN_oracle,non_parent_selection_rate,oracle_family_share::residual,oracle_family_share::volatility,oracle_family_share::boundary,oracle_family_share::level,oracle_family_share::parent,oracle_family_share::amplitude,oracle_family_share::residual_distribution,oracle_family_share::smoothing_teacher,oracle_family_share::retrieval_memory,oracle_family_share::default,oracle_family_share::ensemble,ci95_low_delta_raw,ci95_high_delta_raw,p_bootstrap_delta_lt_zero
oracle::tae_old_pool,LRBN,536,7.354483051669309,2.083475644206719,8.654801853724939,2.293814621233675,-1.3003188020556298,-15.024246915526563,-9.169833262151178,0.0,0.9720149253731343,0.0,8,8,False,1.0,536,0.0,inner_train,tae_old_pool,LRBN,7.354483051669309,-15.024246915526563,0.6829785969732851,0.9720149253731343,0.4197761194029851,0.2873134328358209,0.17723880597014927,0.07276119402985075,0.027985074626865673,0.014925373134328358,,,,,,,,
oracle::cga_new_family_pool,LRBN,536,7.081192029182877,2.043558113413056,8.654801853724939,2.293814621233675,-1.5736098245420598,-18.181927782050874,-10.910058049722373,0.0,1.0,0.0,8,8,False,1.0,536,0.0,inner_train,cga_new_family_pool,LRBN,7.081192029182877,-18.181927782050874,0.82652179484761,1.0,,,,,,,0.5764925373134329,0.30970149253731344,0.11380597014925373,,,,,
oracle::union_full_pool,LRBN,536,6.750907938178553,1.984625951162097,8.654801853724939,2.293814621233675,-1.9038939155463845,-21.9981224934359,-13.479235238171276,0.0,1.0,0.0,8,8,False,1.0,536,0.0,inner_train,union_full_pool,LRBN,6.750907938178553,-21.9981224934359,0.9999999947476066,1.0,0.20149253731343283,0.03731343283582089,0.1287313432835821,0.009328358208955223,,,0.34328358208955223,0.21641791044776118,0.061567164179104475,0.0018656716417910447,,,,
oracle::sra_complement_atom_pool,LRBN,536,6.909673190977377,2.0158699066697086,8.654801853724939,2.293814621233675,-1.7451286627475604,-20.163704383135077,-12.11713931803113,0.0,1.0,0.0,8,8,False,1.0,536,0.0,inner_train,sra_complement_atom_pool,LRBN,6.909673190977377,-20.163704383135077,0.9166102372256578,1.0,0.24440298507462688,0.03917910447761194,,0.03917910447761194,,,0.3787313432835821,0.2294776119402985,0.06716417910447761,,0.0018656716417910447,,,
oracle::tae_old_pool,SRA-BP-safe,536,7.354483051669309,2.083475644206719,8.506061508115229,2.264009430149727,-1.1515784564459215,-13.538327391512755,-7.9740739036436485,0.0,0.9440298507462687,0.0,8,8,False,1.0,536,0.0,inner_train,tae_old_pool,SRA-BP-safe,7.354483051669309,-13.538327391512755,0.6048543151454399,0.9440298507462687,0.4197761194029851,0.2873134328358209,0.1455223880597015,0.07276119402985075,0.055970149253731345,0.014925373134328358,,,,0.0037313432835820895,,,,
oracle::cga_new_family_pool,SRA-BP-safe,536,7.052934159807724,2.0367572175668403,8.506061508115229,2.264009430149727,-1.4531273483075058,-17.08343332825423,-10.037600044982934,0.0,0.9552238805970149,0.0,8,8,False,1.0,536,0.0,inner_train,cga_new_family_pool,SRA-BP-safe,7.052934159807724,-17.08343332825423,0.7632396578451625,0.9552238805970149,,,,,0.04477611940298507,,0.5634328358208955,0.29850746268656714,0.09328358208955224,,,,,
oracle::union_full_pool,SRA-BP-safe,536,6.750907938178553,1.984625951162097,8.506061508115229,2.264009430149727,-1.7551535699366763,-20.63415090754695,-12.340208217910678,0.0,0.9757462686567164,0.0,8,8,False,1.0,536,0.0,inner_train,union_full_pool,SRA-BP-safe,6.750907938178553,-20.63415090754695,0.9218757129197613,0.9757462686567164,0.20149253731343283,0.03731343283582089,0.1044776119402985,0.009328358208955223,0.024253731343283583,,0.34328358208955223,0.21641791044776118,0.061567164179104475,0.0018656716417910447,,,,
oracle::sra_complement_atom_pool,SRA-BP-safe,536,6.902053464677234,2.0133639469062152,8.506061508115229,2.264009430149727,-1.6040080434379953,-18.857235396451852,-11.070867408880407,0.0,0.9626865671641791,0.0,8,8,False,1.0,536,0.0,inner_train,sra_complement_atom_pool,SRA-BP-safe,6.902053464677234,-18.857235396451852,0.8424881354551688,0.9626865671641791,0.24067164179104478,0.03917910447761194,,0.013059701492537313,0.03731343283582089,,0.375,0.2294776119402985,0.06529850746268656,,,,,
oracle::tae_old_pool,SRA-BP-balanced,536,7.354483051669309,2.083475644206719,8.450890366618426,2.2512402439262127,-1.0964073149491171,-12.973867439845286,-7.4520966576938426,0.0,0.9235074626865671,0.0,8,8,False,1.0,536,0.0,inner_train,tae_old_pool,SRA-BP-balanced,7.354483051669309,-12.973867439845286,0.5758762608764915,0.9235074626865671,0.4197761194029851,0.2873134328358209,0.11940298507462686,0.07276119402985075,0.07649253731343283,0.014925373134328358,,,,0.009328358208955223,,,,
oracle::cga_new_family_pool,SRA-BP-balanced,536,7.048953497799013,2.0362498653497907,8.450890366618426,2.2512402439262127,-1.4019368688194134,-16.589220855334176,-9.54986382290713,0.0,0.9384328358208955,0.0,8,8,False,1.0,536,0.0,inner_train,cga_new_family_pool,SRA-BP-balanced,7.048953497799013,-16.589220855334176,0.7363524038856744,0.9384328358208955,,,,,0.061567164179104475,,0.5522388059701493,0.2947761194029851,0.0914179104477612,,,,,
