atom_id,slice,n,slice_coverage,mse_delta_pct_vs_sra_balanced,mean_delta_mse_vs_sra_balanced,harm_rate,A_gt1_rate,mean_cosine,top_family_group,profile_type,family_group,only_family_oracle_delta_pct_vs_sra_balanced,selection_rate,test_threshold_leakage
0.0,overall,220,0.2864583333333333,-24.52049430482565,-0.747265975341209,0.0,1.0,0.588546608302411,old_residual,atom,,,,
0.0,high_gap_low_repair,42,0.25766871165644173,-19.48445568323727,-0.6541682903658247,0.0,1.0,0.5235508010388878,old_residual,atom,,,,
0.0,q4_boundary,54,0.27835051546391754,-22.72908298092697,-0.7159373867405002,0.0,1.0,0.5373907597139946,old_residual,atom,,,,
0.0,low_gap_high_repair,29,0.2543859649122807,-24.900191450307855,-0.7439622312834655,0.0,1.0,0.5885453829680278,old_residual,atom,,,,
0.0,non_boundary,166,0.289198606271777,-25.129469115233828,-0.757457202958307,0.0,1.0,0.6051876674817755,old_residual,atom,,,,
0.0,amplitude_mismatch,114,0.30158730158730157,-27.61037176908518,-0.8361673678184549,0.0,1.0,0.6174417299426296,old_residual,atom,,,,
0.0,known_harmed_config,15,0.15625,-17.114673469271306,-0.27714309370865586,0.0,1.0,0.46043877405215805,old_residual,atom,,,,
1.0,overall,165,0.21484375,-16.561622578535864,-1.2603610712776459,0.0,1.0,0.6100775322997332,residual_distribution,atom,,,,
1.0,high_gap_low_repair,20,0.12269938650306748,-17.793311098472035,-0.8881599902540644,0.0,1.0,0.4549150029126827,residual_distribution,atom,,,,
1.0,q4_boundary,22,0.1134020618556701,-17.302737909007686,-0.8308783684117358,0.0,1.0,0.44170499227128723,residual_distribution,atom,,,,
1.0,low_gap_high_repair,31,0.2719298245614035,-14.972268697018961,-1.5585795067771082,0.0,1.0,0.7025451312902563,residual_distribution,atom,,,,
1.0,non_boundary,143,0.24912891986062718,-16.493542050817517,-1.326435333257017,0.0,1.0,0.635980999996417,residual_distribution,atom,,,,
1.0,amplitude_mismatch,79,0.20899470899470898,-16.772611625626276,-1.220616879060789,0.0,1.0,0.6353970956037598,residual_distribution,atom,,,,
1.0,known_harmed_config,26,0.2708333333333333,-14.534257311338672,-0.6869192443665673,0.0,1.0,0.566316500723445,residual_distribution,atom,,,,
3.0,overall,92,0.11979166666666667,-57.76266418881909,-2.758749690391903,0.0,1.0,0.7593188938862009,smoothing_teacher,atom,,,,
3.0,high_gap_low_repair,9,0.05521472392638037,-54.76629437778641,-2.789089279872004,0.0,1.0,0.7381360712543505,smoothing_teacher,atom,,,,
3.0,q4_boundary,11,0.05670103092783505,-60.032924135775254,-3.1657227933661574,0.0,1.0,0.7633724315691485,smoothing_teacher,atom,,,,
3.0,low_gap_high_repair,22,0.19298245614035087,-61.90305214694194,-2.8339302581288597,0.0,1.0,0.7308568334004358,smoothing_teacher,atom,,,,
3.0,non_boundary,81,0.14111498257839722,-57.41737219321901,-2.7034817381361407,0.0,1.0,0.7587684134601216,smoothing_teacher,atom,,,,
3.0,amplitude_mismatch,52,0.13756613756613756,-55.01533846349753,-2.4770193585068254,0.0,1.0,0.7691651586416767,smoothing_teacher,atom,,,,
3.0,known_harmed_config,26,0.2708333333333333,-59.939816106918784,-2.4495239523047543,0.0,1.0,0.7649434197652496,smoothing_teacher,atom,,,,
4.0,overall,241,0.3138020833333333,-12.900340631483248,-0.6345810764487276,0.0,1.0,0.49224558434953325,residual_distribution,atom,,,,
4.0,high_gap_low_repair,61,0.37423312883435583,-10.13399281372899,-0.6155224359549949,0.0,1.0,0.42653694771381756,residual_distribution,atom,,,,
4.0,q4_boundary,68,0.35051546391752575,-10.376750446066307,-0.6096806740283498,0.0,1.0,0.42169508725832205,residual_distribution,atom,,,,
4.0,low_gap_high_repair,32,0.2807017543859649,-13.753532961223497,-0.7245638566422126,0.0,1.0,0.5179658414809694,residual_distribution,atom,,,,
4.0,non_boundary,173,0.30139372822299654,-14.183146606016933,-0.6443685178625176,0.0,1.0,0.5199764155761365,residual_distribution,atom,,,,
4.0,amplitude_mismatch,113,0.29894179894179895,-12.404093603596698,-0.6079704269621383,0.0,1.0,0.4941295817455729,residual_distribution,atom,,,,
4.0,known_harmed_config,21,0.21875,-8.713968277731981,-0.46031555730068663,0.0,1.0,0.47966907895851446,residual_distribution,atom,,,,
,overall,768,,,,,,,,family,ensemble,-0.5140910084829763,0.12369791666666667,False
,high_gap_low_repair,163,,,,,,,,family,ensemble,-1.249996798057136,0.2147239263803681,False
,q4_boundary,194,,,,,,,,family,ensemble,-1.2022325653492663,0.20618556701030927,False
,low_gap_high_repair,114,,,,,,,,family,ensemble,-0.0026321580769995898,0.008771929824561403,False
,non_boundary,574,,,,,,,,family,ensemble,-0.315204923320683,0.09581881533101046,False
,amplitude_mismatch,378,,,,,,,,family,ensemble,-0.4429142534996735,0.12433862433862433,False
,known_harmed_config,96,,,,,,,,family,ensemble,-0.35527556663251336,0.22916666666666666,False
,overall,768,,,,,,,,family,old_residual,-7.988098128055037,0.5442708333333334,False
,high_gap_low_repair,163,,,,,,,,family,old_residual,-6.301025967429301,0.48466257668711654,False
,q4_boundary,194,,,,,,,,family,old_residual,-6.807668228591549,0.4845360824742268,False
,low_gap_high_repair,114,,,,,,,,family,old_residual,-7.272175322756658,0.5263157894736842,False
,non_boundary,574,,,,,,,,family,old_residual,-8.329264969630481,0.5644599303135889,False
,amplitude_mismatch,378,,,,,,,,family,old_residual,-9.142242640993924,0.5582010582010583,False
,known_harmed_config,96,,,,,,,,family,old_residual,-8.62502595409729,0.4895833333333333,False
,overall,768,,,,,,,,family,residual_distribution,-14.388075040532723,0.8450520833333334,False
,high_gap_low_repair,163,,,,,,,,family,residual_distribution,-9.867824009133601,0.6441717791411042,False
,q4_boundary,194,,,,,,,,family,residual_distribution,-9.988814747299719,0.6391752577319587,False
,low_gap_high_repair,114,,,,,,,,family,residual_distribution,-14.98808649668316,0.9385964912280702,False
,non_boundary,574,,,,,,,,family,residual_distribution,-15.659545493960328,0.9146341463414634,False
,amplitude_mismatch,378,,,,,,,,family,residual_distribution,-15.021006133257888,0.8677248677248677,False
,known_harmed_config,96,,,,,,,,family,residual_distribution,-11.97796265405957,0.84375,False
,overall,768,,,,,,,,family,retrieval_memory,-5.1564783572660104,0.4713541666666667,False
,high_gap_low_repair,163,,,,,,,,family,retrieval_memory,-3.44766089258658,0.3619631901840491,False
,q4_boundary,194,,,,,,,,family,retrieval_memory,-3.6821664136755667,0.36597938144329895,False
,low_gap_high_repair,114,,,,,,,,family,retrieval_memory,-5.169083760662972,0.5526315789473685,False
,non_boundary,574,,,,,,,,family,retrieval_memory,-5.582582736289492,0.5069686411149826,False
,amplitude_mismatch,378,,,,,,,,family,retrieval_memory,-5.272335122139098,0.47883597883597884,False
,known_harmed_config,96,,,,,,,,family,retrieval_memory,-4.025546643308877,0.4479166666666667,False
,overall,768,,,,,,,,family,smoothing_teacher,-10.740900025416142,0.7291666666666666,False
,high_gap_low_repair,163,,,,,,,,family,smoothing_teacher,-6.638713095344692,0.48466257668711654,False
,q4_boundary,194,,,,,,,,family,smoothing_teacher,-8.320910810490444,0.4639175257731959,False
,low_gap_high_repair,114,,,,,,,,family,smoothing_teacher,-12.1798970856124,0.9035087719298246,False
,non_boundary,574,,,,,,,,family,smoothing_teacher,-11.440323241888379,0.818815331010453,False
,amplitude_mismatch,378,,,,,,,,family,smoothing_teacher,-11.818515301956985,0.7619047619047619,False
,known_harmed_config,96,,,,,,,,family,smoothing_teacher,-17.12629840956926,0.7083333333333334,False
,overall,768,,,,,,,,family,volatility_amplitude_level,-2.958936747171772,0.70703125,False
,high_gap_low_repair,163,,,,,,,,family,volatility_amplitude_level,-2.4967930292221805,0.4049079754601227,False
,q4_boundary,194,,,,,,,,family,volatility_amplitude_level,-2.3402847321935876,0.38144329896907214,False
,low_gap_high_repair,114,,,,,,,,family,volatility_amplitude_level,-2.2456359321656767,0.9035087719298246,False
,non_boundary,574,,,,,,,,family,volatility_amplitude_level,-3.1377390242746226,0.8170731707317073,False
,amplitude_mismatch,378,,,,,,,,family,volatility_amplitude_level,-2.842597271462853,0.716931216931217,False
,known_harmed_config,96,,,,,,,,family,volatility_amplitude_level,-0.7813063899870312,0.6145833333333334,False
