candidate,mse,mse_delta_pct_vs_lrbn,win_rate,harm_rate,oracle_count_x,oracle_count_y,oracle_rate
keep_lrbn,4.894157596003544,0.0,0.0,0.0,0,0.0,0.0
raw,6.427220554044915,31.32434795644504,0.3580729166666667,0.6419270833333334,126,126.0,0.1640625
sra_safe,4.813148680992863,-1.6552167202647812,0.15234375,0.03515625,25,25.0,0.032552083333333336
sra_balanced,4.766982513125085,-2.59850812165216,0.33203125,0.10416666666666667,30,30.0,0.0390625
bp_always,4.6439807089980585,-5.111745618870136,0.5768229166666666,0.4231770833333333,278,278.0,0.3619791666666667
level_bias,4.765325131587551,-2.632372612152032,0.7018229166666666,0.2981770833333333,42,42.0,0.0546875
level_bias_light,4.816989644191789,-1.5767361418254064,0.7252604166666666,0.2747395833333333,9,9.0,0.01171875
phase_shift_plus,4.8046007735042915,-1.829872057847003,0.91796875,0.08203125,9,9.0,0.01171875
phase_shift_minus,4.802828136403488,-1.8660915105803737,0.8932291666666666,0.10677083333333333,32,32.0,0.041666666666666664
amplitude_shrink,4.850900468720464,-0.8838523555109313,0.7200520833333334,0.2799479166666667,1,1.0,0.0013020833333333333
amplitude_expand,4.927670283888929,0.6847488492049354,0.2565104166666667,0.7434895833333334,9,9.0,0.01171875
volatility_shrink,4.761939212485863,-2.7015554904789436,0.83984375,0.16015625,207,207.0,0.26953125
ensemble_median,4.850173336154437,-0.8987095101954454,0.7643229166666666,0.23567708333333334,0,0.0,0.0
