selected_expert,count,variant,rate,selected_tier
keep_lrbn,348,SafeTAE-pairwise-hard,0.453125,default
amplitude_scale_bounded,206,SafeTAE-pairwise-hard,0.2682291666666667,balanced
volatility_shrink,156,SafeTAE-pairwise-hard,0.203125,safe
sra_basic_ablation,15,SafeTAE-pairwise-hard,0.01953125,balanced
sra_safe,14,SafeTAE-pairwise-hard,0.018229166666666668,safe
mrc_ridge_abstain,8,SafeTAE-pairwise-hard,0.010416666666666666,safe
sra_balanced,6,SafeTAE-pairwise-hard,0.0078125,balanced
level_bias_light,4,SafeTAE-pairwise-hard,0.005208333333333333,safe
mrc_ridge_residual_blend,4,SafeTAE-pairwise-hard,0.005208333333333333,balanced
ensemble_median,3,SafeTAE-pairwise-hard,0.00390625,safe
stage3_gated_bp,3,SafeTAE-pairwise-hard,0.00390625,safe
level_bias_bounded,1,SafeTAE-pairwise-hard,0.0013020833333333333,balanced
keep_lrbn,348,SafeTAE-pairwise-blend,0.453125,default
amplitude_scale_bounded,206,SafeTAE-pairwise-blend,0.2682291666666667,balanced
volatility_shrink,156,SafeTAE-pairwise-blend,0.203125,safe
sra_basic_ablation,15,SafeTAE-pairwise-blend,0.01953125,balanced
sra_safe,14,SafeTAE-pairwise-blend,0.018229166666666668,safe
mrc_ridge_abstain,8,SafeTAE-pairwise-blend,0.010416666666666666,safe
sra_balanced,6,SafeTAE-pairwise-blend,0.0078125,balanced
level_bias_light,4,SafeTAE-pairwise-blend,0.005208333333333333,safe
mrc_ridge_residual_blend,4,SafeTAE-pairwise-blend,0.005208333333333333,balanced
ensemble_median,3,SafeTAE-pairwise-blend,0.00390625,safe
stage3_gated_bp,3,SafeTAE-pairwise-blend,0.00390625,safe
level_bias_bounded,1,SafeTAE-pairwise-blend,0.0013020833333333333,balanced
keep_lrbn,348,SafeTAE-tiered-blend,0.453125,default
amplitude_scale_bounded,206,SafeTAE-tiered-blend,0.2682291666666667,balanced
volatility_shrink,156,SafeTAE-tiered-blend,0.203125,safe
sra_basic_ablation,15,SafeTAE-tiered-blend,0.01953125,balanced
sra_safe,14,SafeTAE-tiered-blend,0.018229166666666668,safe
mrc_ridge_abstain,8,SafeTAE-tiered-blend,0.010416666666666666,safe
sra_balanced,6,SafeTAE-tiered-blend,0.0078125,balanced
level_bias_light,4,SafeTAE-tiered-blend,0.005208333333333333,safe
mrc_ridge_residual_blend,4,SafeTAE-tiered-blend,0.005208333333333333,balanced
ensemble_median,3,SafeTAE-tiered-blend,0.00390625,safe
stage3_gated_bp,3,SafeTAE-tiered-blend,0.00390625,safe
level_bias_bounded,1,SafeTAE-tiered-blend,0.0013020833333333333,balanced
keep_lrbn,369,SafeTAE-mrc-consistency,0.48046875,default
volatility_shrink,173,SafeTAE-mrc-consistency,0.22526041666666666,safe
amplitude_scale_bounded,166,SafeTAE-mrc-consistency,0.21614583333333334,balanced
sra_basic_ablation,16,SafeTAE-mrc-consistency,0.020833333333333332,balanced
sra_safe,14,SafeTAE-mrc-consistency,0.018229166666666668,safe
mrc_ridge_abstain,8,SafeTAE-mrc-consistency,0.010416666666666666,safe
sra_balanced,7,SafeTAE-mrc-consistency,0.009114583333333334,balanced
level_bias_light,4,SafeTAE-mrc-consistency,0.005208333333333333,safe
mrc_ridge_residual_blend,4,SafeTAE-mrc-consistency,0.005208333333333333,balanced
ensemble_median,3,SafeTAE-mrc-consistency,0.00390625,safe
stage3_gated_bp,3,SafeTAE-mrc-consistency,0.00390625,safe
level_bias_bounded,1,SafeTAE-mrc-consistency,0.0013020833333333333,balanced
keep_lrbn,369,SafeTAE-safe,0.48046875,default
volatility_shrink,173,SafeTAE-safe,0.22526041666666666,safe
amplitude_scale_bounded,166,SafeTAE-safe,0.21614583333333334,balanced
sra_basic_ablation,16,SafeTAE-safe,0.020833333333333332,balanced
sra_safe,14,SafeTAE-safe,0.018229166666666668,safe
mrc_ridge_abstain,8,SafeTAE-safe,0.010416666666666666,safe
sra_balanced,7,SafeTAE-safe,0.009114583333333334,balanced
level_bias_light,4,SafeTAE-safe,0.005208333333333333,safe
mrc_ridge_residual_blend,4,SafeTAE-safe,0.005208333333333333,balanced
ensemble_median,3,SafeTAE-safe,0.00390625,safe
stage3_gated_bp,3,SafeTAE-safe,0.00390625,safe
level_bias_bounded,1,SafeTAE-safe,0.0013020833333333333,balanced
keep_lrbn,369,SafeTAE-balanced,0.48046875,default
volatility_shrink,173,SafeTAE-balanced,0.22526041666666666,safe
amplitude_scale_bounded,166,SafeTAE-balanced,0.21614583333333334,balanced
sra_basic_ablation,16,SafeTAE-balanced,0.020833333333333332,balanced
sra_safe,14,SafeTAE-balanced,0.018229166666666668,safe
mrc_ridge_abstain,8,SafeTAE-balanced,0.010416666666666666,safe
sra_balanced,7,SafeTAE-balanced,0.009114583333333334,balanced
level_bias_light,4,SafeTAE-balanced,0.005208333333333333,safe
mrc_ridge_residual_blend,4,SafeTAE-balanced,0.005208333333333333,balanced
ensemble_median,3,SafeTAE-balanced,0.00390625,safe
stage3_gated_bp,3,SafeTAE-balanced,0.00390625,safe
level_bias_bounded,1,SafeTAE-balanced,0.0013020833333333333,balanced
