dataset,backbone,horizon,seed,sample_id,variant,selected_expert,selected_tier,selected_lambda,selected_score,p_leave,mse_delta_vs_lrbn
ETTm1,DLinear,192,2026,test_00073,SafeTAE-pairwise-hard,mrc_ridge_residual_blend,balanced,1.0,0.779105525338805,0.4436321913426395,3.2784282428658464
ETTh1,PatchTST,192,2026,test_00060,SafeTAE-safe,sra_basic_ablation,balanced,0.75,0.8161661975579407,0.8032214097290631,2.783566947394437
ETTh1,PatchTST,192,2026,test_00060,SafeTAE-mrc-consistency,sra_basic_ablation,balanced,0.75,0.8161661975579407,0.8032214097290631,2.783566947394437
ETTh1,PatchTST,192,2026,test_00060,SafeTAE-balanced,sra_basic_ablation,balanced,0.75,0.8161661975579407,0.8032214097290631,2.783566947394437
ETTm1,DLinear,192,2026,test_00073,SafeTAE-balanced,mrc_ridge_residual_blend,balanced,0.75,0.779105525338805,0.4436321913426395,2.3911028393496263
ETTm1,DLinear,192,2026,test_00073,SafeTAE-tiered-blend,mrc_ridge_residual_blend,balanced,0.75,0.779105525338805,0.4436321913426395,2.3911028393496263
ETTm1,DLinear,192,2026,test_00073,SafeTAE-mrc-consistency,mrc_ridge_residual_blend,balanced,0.75,0.779105525338805,0.4436321913426395,2.3911028393496263
ETTm1,DLinear,192,2026,test_00073,SafeTAE-safe,mrc_ridge_residual_blend,balanced,0.75,0.779105525338805,0.4436321913426395,2.3911028393496263
ETTm1,DLinear,192,2026,test_00095,SafeTAE-pairwise-hard,mrc_ridge_residual_blend,balanced,1.0,0.880410830950157,0.3348161561162718,2.2214062622988444
ETTh1,PatchTST,192,2026,test_00081,SafeTAE-pairwise-hard,sra_basic_ablation,balanced,1.0,1.0441766181952175,0.7502202545844787,1.6993307214940083
ETTm1,DLinear,192,2026,test_00073,SafeTAE-pairwise-blend,mrc_ridge_residual_blend,balanced,0.5,0.779105525338805,0.4436321913426395,1.5489229976999113
ETTm1,DLinear,192,2026,test_00068,SafeTAE-pairwise-hard,mrc_ridge_residual_blend,balanced,1.0,0.7988273324459283,0.4679145240667662,1.5226673615340327
ETTm1,DLinear,192,2026,test_00095,SafeTAE-tiered-blend,mrc_ridge_residual_blend,balanced,0.75,0.880410830950157,0.3348161561162718,1.4990798925126714
ETTm1,DLinear,192,2026,test_00095,SafeTAE-balanced,mrc_ridge_residual_blend,balanced,0.75,0.880410830950157,0.3348161561162718,1.4990798925126714
ETTm1,DLinear,192,2026,test_00095,SafeTAE-mrc-consistency,mrc_ridge_residual_blend,balanced,0.75,0.880410830950157,0.3348161561162718,1.4990798925126714
ETTm1,DLinear,192,2026,test_00095,SafeTAE-safe,mrc_ridge_residual_blend,balanced,0.75,0.880410830950157,0.3348161561162718,1.4990798925126714
ETTh1,PatchTST,192,2026,test_00081,SafeTAE-tiered-blend,sra_basic_ablation,balanced,0.75,1.0441766181952175,0.7502202545844787,1.2247707379032908
ETTh1,PatchTST,192,2026,test_00081,SafeTAE-safe,sra_basic_ablation,balanced,0.75,1.0441766181952175,0.7502202545844787,1.2247707379032908
ETTh1,PatchTST,192,2026,test_00081,SafeTAE-mrc-consistency,sra_basic_ablation,balanced,0.75,1.0441766181952175,0.7502202545844787,1.2247707379032908
ETTh1,PatchTST,192,2026,test_00081,SafeTAE-balanced,sra_basic_ablation,balanced,0.75,1.0441766181952175,0.7502202545844787,1.2247707379032908
ETTm1,DLinear,192,2026,test_00048,SafeTAE-safe,mrc_ridge_abstain,safe,1.0,1.0018487492525932,0.7636994584488446,1.0999905249899578
ETTm1,DLinear,192,2026,test_00048,SafeTAE-tiered-blend,mrc_ridge_abstain,safe,1.0,1.0018487492525932,0.7636994584488446,1.0999905249899578
ETTm1,DLinear,192,2026,test_00048,SafeTAE-mrc-consistency,mrc_ridge_abstain,safe,1.0,1.0018487492525932,0.7636994584488446,1.0999905249899578
ETTm1,DLinear,192,2026,test_00048,SafeTAE-balanced,mrc_ridge_abstain,safe,1.0,1.0018487492525932,0.7636994584488446,1.0999905249899578
ETTm1,DLinear,192,2026,test_00048,SafeTAE-pairwise-hard,mrc_ridge_abstain,safe,1.0,1.0018487492525932,0.7636994584488446,1.0999905249899578
ETTm1,DLinear,192,2026,test_00068,SafeTAE-mrc-consistency,mrc_ridge_residual_blend,balanced,0.75,0.7988273324459283,0.4679145240667662,1.0533873649156118
ETTm1,DLinear,192,2026,test_00068,SafeTAE-tiered-blend,mrc_ridge_residual_blend,balanced,0.75,0.7988273324459283,0.4679145240667662,1.0533873649156118
ETTm1,DLinear,192,2026,test_00068,SafeTAE-balanced,mrc_ridge_residual_blend,balanced,0.75,0.7988273324459283,0.4679145240667662,1.0533873649156118
ETTm1,DLinear,192,2026,test_00068,SafeTAE-safe,mrc_ridge_residual_blend,balanced,0.75,0.7988273324459283,0.4679145240667662,1.0533873649156118
ETTm1,DLinear,192,2026,test_00069,SafeTAE-pairwise-hard,mrc_ridge_residual_blend,balanced,1.0,0.7845503709918193,0.6550582212187015,1.0017181843996508
ETTh1,PatchTST,192,2026,test_00062,SafeTAE-pairwise-hard,sra_basic_ablation,balanced,1.0,1.0379129702185006,0.9480725010942934,0.9622896590960335
ETTm1,DLinear,192,2026,test_00095,SafeTAE-pairwise-blend,mrc_ridge_residual_blend,balanced,0.5,0.880410830950157,0.3348161561162718,0.8880700588674726
ETTh1,PatchTST,192,2026,test_00081,SafeTAE-pairwise-blend,sra_basic_ablation,balanced,0.5,1.0441766181952175,0.7502202545844787,0.7833622897907171
ETTm1,DLinear,192,2026,test_00081,SafeTAE-tiered-blend,mrc_ridge_abstain,safe,1.0,1.0488589316243129,0.5455882989184436,0.7425072613192456
ETTm1,DLinear,192,2026,test_00081,SafeTAE-safe,mrc_ridge_abstain,safe,1.0,1.0488589316243129,0.5455882989184436,0.7425072613192456
ETTm1,DLinear,192,2026,test_00081,SafeTAE-mrc-consistency,mrc_ridge_abstain,safe,1.0,1.0488589316243129,0.5455882989184436,0.7425072613192456
ETTm1,DLinear,192,2026,test_00081,SafeTAE-balanced,mrc_ridge_abstain,safe,1.0,1.0488589316243129,0.5455882989184436,0.7425072613192456
ETTm1,DLinear,192,2026,test_00081,SafeTAE-pairwise-hard,mrc_ridge_abstain,safe,1.0,1.0488589316243129,0.5455882989184436,0.7425072613192456
ETTm1,DLinear,192,2026,test_00069,SafeTAE-mrc-consistency,mrc_ridge_residual_blend,balanced,0.75,0.7845503709918193,0.6550582212187015,0.6842572343769526
ETTm1,DLinear,192,2026,test_00069,SafeTAE-balanced,mrc_ridge_residual_blend,balanced,0.75,0.7845503709918193,0.6550582212187015,0.6842572343769526
ETTm1,DLinear,192,2026,test_00069,SafeTAE-safe,mrc_ridge_residual_blend,balanced,0.75,0.7845503709918193,0.6550582212187015,0.6842572343769526
ETTm1,DLinear,192,2026,test_00069,SafeTAE-tiered-blend,mrc_ridge_residual_blend,balanced,0.75,0.7845503709918193,0.6550582212187015,0.6842572343769526
ETTh1,PatchTST,192,2026,test_00062,SafeTAE-safe,sra_basic_ablation,balanced,0.75,1.0379129702185006,0.9480725010942934,0.6495643414846701
ETTh1,PatchTST,192,2026,test_00062,SafeTAE-tiered-blend,sra_basic_ablation,balanced,0.75,1.0379129702185006,0.9480725010942934,0.6495643414846701
ETTh1,PatchTST,192,2026,test_00062,SafeTAE-balanced,sra_basic_ablation,balanced,0.75,1.0379129702185006,0.9480725010942934,0.6495643414846701
ETTh1,PatchTST,192,2026,test_00062,SafeTAE-mrc-consistency,sra_basic_ablation,balanced,0.75,1.0379129702185006,0.9480725010942934,0.6495643414846701
