method,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,mean_win_size,mean_loss_size,win_loss_ratio,top5_loss_contribution,coverage,selected_count,selected_harm_rate,ci95_low_mse_delta,ci95_high_mse_delta,p_bootstrap_delta_lt_zero,max_per_config_harm_rate,worst_config_mse_delta_pct_vs_lrbn,improved_configs,total_configs,test_threshold_leakage,oracle_gain_fraction,variant,reference_only
LRBN,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,False,0.0,LRBN,
TAE-oracle-best,768,4.004776228998621,1.473462565133926,4.894157596003544,1.682162338434372,-0.889381367004924,-18.17230744498177,-12.406636820440541,0.0,1.0,0.889381367004924,0.0,88938136.7004924,0.0,0.0,0,0.0,-0.9871010990575995,-0.8032505349126827,1.0,0.0,-12.536674624508956,8.0,8.0,False,0.9999999887562295,TAE-oracle-best,
sra_safe,768,4.813148680992863,1.6609504547937923,4.894157596003544,1.682162338434372,-0.0810089150106816,-1.6552167202647812,-1.2609890870712976,0.03515625,0.15234375,0.5902660964848472,0.2535661689082847,2.3278581513757297,1.0000000000000002,0.0,0,0.0,-0.10428529361638128,-0.05819955040863004,1.0,0.11458333333333333,-0.33590863040576024,8.0,8.0,False,0.09108456406349184,sra_safe,
sra_balanced,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.4507411159013866,0.21585651130246503,2.088151486837842,0.8970062858269305,0.0,0,0.0,-0.15384714945596734,-0.09920247122496113,1.0,0.19791666666666666,-0.907455225423527,8.0,8.0,False,0.14299274323320435,sra_balanced,
sra_basic_ablation,768,4.722565345340137,1.640118072129334,4.894157596003544,1.682162338434372,-0.17159225066340697,-3.5060630342782355,-2.4994178679703287,0.11328125,0.2109375,1.2257498641463835,0.7676853963473288,1.596682513451102,0.8070531848299551,0.0,0,0.0,-0.23515621296466532,-0.11018210072994444,1.0,0.17708333333333334,-1.3282202614384186,8.0,8.0,False,0.19293438686703798,sra_basic_ablation,
mrc_ridge_abstain,768,4.835279636495446,1.6684196707975232,4.894157596003544,1.682162338434372,-0.058877959508098494,-1.2030254080063634,-0.8169644059409285,0.026041666666666668,0.07552083333333333,0.9365503015412147,0.4550822293585404,2.0579803396883296,0.9999999999999998,0.0,0,0.0,-0.0878756740161868,-0.03199010580917086,1.0,0.11458333333333333,-0.08466117929288072,8.0,8.0,False,0.0662010258258112,mrc_ridge_abstain,
mrc_ridge_residual_blend,768,4.786188617410421,1.64498482414434,4.894157596003544,1.682162338434372,-0.10796897859312347,-2.206078906422641,-2.2101026291923542,0.4114583333333333,0.5885416666666666,0.7542819650179429,0.8165040273056687,0.9237945319988268,0.43005271942340256,0.0,0,0.0,-0.1917558401123771,-0.026202810123648293,0.9965,0.5,5.3922439389631025,4.0,8.0,False,0.12139784054925822,mrc_ridge_residual_blend,
SafeTAE-pairwise-hard,768,4.796918348726557,1.6598250790347648,4.894157596003544,1.682162338434372,-0.09723924727698781,-1.9868433978853968,-1.32788963089068,0.018229166666666668,0.5234375,0.21837919275080528,0.9363352555069351,0.233227563668206,1.0,0.546875,420,0.03333333333333333,-0.12091685364591834,-0.07411072384816021,1.0,0.08333333333333333,1.6645975696825477,5.0,8.0,False,0.10933357701332827,SafeTAE-pairwise-hard,
SafeTAE-pairwise-blend,768,4.831927986301282,1.6682646056626211,4.894157596003544,1.682162338434372,-0.06222960970226241,-1.2715080860070131,-0.8261826086338115,0.014322916666666666,0.52734375,0.1319373082781725,0.5129336001202114,0.2572210236861873,0.9999999999999999,0.546875,420,0.02619047619047619,-0.07517726034973202,-0.0494373954914725,1.0,0.08333333333333333,0.5354609318294545,5.0,8.0,False,0.06996954434983395,SafeTAE-pairwise-blend,
SafeTAE-tiered-blend,768,4.8037702491971785,1.6611275364086742,4.894157596003544,1.682162338434372,-0.09038734680636569,-1.8468417669159174,-1.250462064216063,0.016927083333333332,0.5247395833333334,0.1968790980813247,0.7634457061142327,0.25788224876471255,0.9999999999999998,0.546875,420,0.030952380952380953,-0.11007469290772744,-0.07078991342021564,1.0,0.08333333333333333,1.0249267482063416,5.0,8.0,False,0.101629457444627,SafeTAE-tiered-blend,
SafeTAE-mrc-consistency,768,4.804842746654656,1.6608366693376846,4.894157596003544,1.682162338434372,-0.08931484934888782,-1.824927935286098,-1.2677533245548938,0.018229166666666668,0.49609375,0.21339151030662812,0.9077400804913901,0.23507996676792378,0.9999999999999999,0.51953125,399,0.03508771929824561,-0.11076794598212655,-0.06780276954675023,1.0,0.08333333333333333,1.0249267482063416,5.0,8.0,False,0.10042356592811065,SafeTAE-mrc-consistency,
SafeTAE-safe,768,4.804842746654656,1.6608366693376846,4.894157596003544,1.682162338434372,-0.08931484934888782,-1.824927935286098,-1.2677533245548938,0.018229166666666668,0.49609375,0.21339151030662812,0.9077400804913901,0.23507996676792378,0.9999999999999999,0.51953125,399,0.03508771929824561,-0.11076794598212655,-0.06780276954675023,1.0,0.08333333333333333,1.0249267482063416,5.0,8.0,False,0.10042356592811065,SafeTAE-safe,
SafeTAE-balanced,768,4.804842746654656,1.6608366693376846,4.894157596003544,1.682162338434372,-0.08931484934888782,-1.824927935286098,-1.2677533245548938,0.018229166666666668,0.49609375,0.21339151030662812,0.9077400804913901,0.23507996676792378,0.9999999999999999,0.51953125,399,0.03508771929824561,-0.11076794598212655,-0.06780276954675023,1.0,0.08333333333333333,1.0249267482063416,5.0,8.0,False,0.10042356592811065,SafeTAE-balanced,
TAE-router-stage6,768,5.329668276649817,1.722547882088964,4.894157596003544,1.682162338434372,0.4355106806462717,8.898583080202448,2.400811294592338,0.3059895833333333,0.6927083333333334,0.5730619833379015,2.7206007569025545,0.2106380290373663,0.621848422545585,0.0,0,0.0,,,,,,,,False,,TAE-router-stage6,True
TAE-ranker-stage6,768,5.913438663449831,1.823556725143764,4.894157596003544,1.682162338434372,1.019281067446287,20.826486384418025,8.40551370329925,0.39453125,0.60546875,0.924166494563918,4.001799603204523,0.2309377239965978,0.4217783896426891,0.0,0,0.0,,,,,,,,False,,TAE-ranker-stage6,True
