variant,dataset,backbone,horizon,seed,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate
sra_safe,ETTh1,DLinear,96,2026,96,5.188084968146783,1.7469307389634061,5.294718415187439,1.7666085156934137,-2.013958788316126,-1.1138730762257496,0.010416666666666666,0.11458333333333333
sra_safe,ETTh1,DLinear,192,2026,96,6.686739962120147,2.003434686299547,6.7713172839613245,2.0194551565052357,-1.2490527052484073,-0.7933065547284691,0.010416666666666666,0.0625
sra_safe,ETTh1,PatchTST,96,2026,96,5.734529868564924,1.8388803361286274,5.8042865388731295,1.8533736928487337,-1.2018130001136522,-0.7819986167834988,0.03125,0.11458333333333333
sra_safe,ETTh1,PatchTST,192,2026,96,7.217988450611034,2.089549526069066,7.242316015180876,2.0944762102183376,-0.33590863040576024,-0.23522273023267293,0.03125,0.07291666666666667
sra_safe,ETTm1,DLinear,96,2026,96,2.6928010429757467,1.234580511660631,2.8177423433450954,1.2739993115635848,-4.434092429388516,-3.094098971306748,0.0,0.22916666666666666
sra_safe,ETTm1,DLinear,192,2026,96,3.940405316053798,1.5184772168994483,3.994698335172625,1.5380548779931642,-1.3591268833712322,-1.272884423472081,0.052083333333333336,0.17708333333333334
sra_safe,ETTm1,PatchTST,96,2026,96,2.9052281671338314,1.295809853054107,3.013168467192729,1.3271271209399849,-3.582285586614855,-2.359779041190756,0.03125,0.20833333333333334
sra_safe,ETTm1,PatchTST,192,2026,96,4.139411672336638,1.559940769275504,4.215013369115137,1.5842038217125196,-1.7936288684893775,-1.5315612771108662,0.11458333333333333,0.23958333333333334
sra_balanced,ETTh1,DLinear,96,2026,96,5.092716103615506,1.7166752436703696,5.294718415187439,1.7666085156934137,-3.815166272317528,-2.826504644170939,0.0625,0.3645833333333333
sra_balanced,ETTh1,DLinear,192,2026,96,6.647688769334823,1.9897684724907496,6.7713172839613245,2.0194551565052357,-1.8257675613097273,-1.4700343194971879,0.11458333333333333,0.23958333333333334
sra_balanced,ETTh1,PatchTST,96,2026,96,5.656138297549248,1.8207390890575013,5.8042865388731295,1.8533736928487337,-2.5523936503900533,-1.760821562379529,0.0625,0.2708333333333333
sra_balanced,ETTh1,PatchTST,192,2026,96,7.1765952399686865,2.079197176348409,7.242316015180876,2.0944762102183376,-0.907455225423527,-0.72949187593717,0.10416666666666667,0.21875
sra_balanced,ETTm1,DLinear,96,2026,96,2.6497538254477084,1.2128107388684082,2.8177423433450954,1.2739993115635848,-5.961812573032402,-4.8028732558569684,0.052083333333333336,0.5
sra_balanced,ETTm1,DLinear,192,2026,96,3.9061928594973883,1.5075104402520072,3.994698335172625,1.5380548779931642,-2.2155734432911722,-1.985913375367964,0.19791666666666666,0.375
sra_balanced,ETTm1,PatchTST,96,2026,96,2.878273894125695,1.2840796064446778,3.013168467192729,1.3271271209399849,-4.476834736858485,-3.2436617029159183,0.052083333333333336,0.3541666666666667
sra_balanced,ETTm1,PatchTST,192,2026,96,4.128501115461629,1.5542358612560612,4.215013369115137,1.5842038217125196,-2.052478743772565,-1.8916732718707772,0.1875,0.3333333333333333
sra_basic_ablation,ETTh1,DLinear,96,2026,96,5.098688723666836,1.7355699632432813,5.294718415187439,1.7666085156934137,-3.702362916752521,-1.756957016719335,0.11458333333333333,0.125
sra_basic_ablation,ETTh1,DLinear,192,2026,96,6.679724972403323,1.9944116388819069,6.7713172839613245,2.0194551565052357,-1.3526513022759,-1.2401125827748782,0.0625,0.11458333333333333
sra_basic_ablation,ETTh1,PatchTST,96,2026,96,5.614848560547,1.8184875687625908,5.8042865388731295,1.8533736928487337,-3.2637599252040315,-1.8823038242379866,0.14583333333333334,0.16666666666666666
