expert,count,variant,coverage
keep_lrbn,236,SafeTAE-mrc-features,0.3072916666666667
amplitude_scale_bounded,221,SafeTAE-mrc-features,0.2877604166666667
volatility_shrink,160,SafeTAE-mrc-features,0.20833333333333334
sra_safe,37,SafeTAE-mrc-features,0.048177083333333336
mrc_ridge_residual_blend,34,SafeTAE-mrc-features,0.044270833333333336
sra_balanced,24,SafeTAE-mrc-features,0.03125
mrc_ridge_abstain,20,SafeTAE-mrc-features,0.026041666666666668
sra_basic_ablation,15,SafeTAE-mrc-features,0.01953125
ensemble_median,10,SafeTAE-mrc-features,0.013020833333333334
level_bias_light,8,SafeTAE-mrc-features,0.010416666666666666
stage3_gated_bp,2,SafeTAE-mrc-features,0.0026041666666666665
level_bias_bounded,1,SafeTAE-mrc-features,0.0013020833333333333
keep_lrbn,248,SafeTAE-no-mrc-features,0.3229166666666667
amplitude_scale_bounded,233,SafeTAE-no-mrc-features,0.3033854166666667
volatility_shrink,149,SafeTAE-no-mrc-features,0.19401041666666666
mrc_ridge_residual_blend,35,SafeTAE-no-mrc-features,0.045572916666666664
sra_safe,29,SafeTAE-no-mrc-features,0.037760416666666664
mrc_ridge_abstain,22,SafeTAE-no-mrc-features,0.028645833333333332
sra_basic_ablation,16,SafeTAE-no-mrc-features,0.020833333333333332
sra_balanced,13,SafeTAE-no-mrc-features,0.016927083333333332
level_bias_light,8,SafeTAE-no-mrc-features,0.010416666666666666
ensemble_median,7,SafeTAE-no-mrc-features,0.009114583333333334
level_bias_bounded,5,SafeTAE-no-mrc-features,0.006510416666666667
stage3_gated_bp,3,SafeTAE-no-mrc-features,0.00390625
amplitude_scale_bounded,222,SafeTAE-expert-thresholds,0.2890625
keep_lrbn,209,SafeTAE-expert-thresholds,0.2721354166666667
volatility_shrink,159,SafeTAE-expert-thresholds,0.20703125
mrc_ridge_residual_blend,53,SafeTAE-expert-thresholds,0.06901041666666667
sra_safe,45,SafeTAE-expert-thresholds,0.05859375
sra_balanced,34,SafeTAE-expert-thresholds,0.044270833333333336
mrc_ridge_abstain,21,SafeTAE-expert-thresholds,0.02734375
sra_basic_ablation,10,SafeTAE-expert-thresholds,0.013020833333333334
level_bias_bounded,7,SafeTAE-expert-thresholds,0.009114583333333334
ensemble_median,4,SafeTAE-expert-thresholds,0.005208333333333333
level_bias_light,2,SafeTAE-expert-thresholds,0.0026041666666666665
stage3_gated_bp,2,SafeTAE-expert-thresholds,0.0026041666666666665
keep_lrbn,236,SafeTAE-expert-lambda,0.3072916666666667
amplitude_scale_bounded,221,SafeTAE-expert-lambda,0.2877604166666667
volatility_shrink,160,SafeTAE-expert-lambda,0.20833333333333334
sra_safe,37,SafeTAE-expert-lambda,0.048177083333333336
mrc_ridge_residual_blend,34,SafeTAE-expert-lambda,0.044270833333333336
sra_balanced,24,SafeTAE-expert-lambda,0.03125
mrc_ridge_abstain,20,SafeTAE-expert-lambda,0.026041666666666668
sra_basic_ablation,15,SafeTAE-expert-lambda,0.01953125
ensemble_median,10,SafeTAE-expert-lambda,0.013020833333333334
level_bias_light,8,SafeTAE-expert-lambda,0.010416666666666666
stage3_gated_bp,2,SafeTAE-expert-lambda,0.0026041666666666665
level_bias_bounded,1,SafeTAE-expert-lambda,0.0013020833333333333
keep_lrbn,307,SafeTAE-slice-aware,0.3997395833333333
amplitude_scale_bounded,273,SafeTAE-slice-aware,0.35546875
volatility_shrink,48,SafeTAE-slice-aware,0.0625
mrc_ridge_residual_blend,44,SafeTAE-slice-aware,0.057291666666666664
sra_safe,39,SafeTAE-slice-aware,0.05078125
ensemble_median,28,SafeTAE-slice-aware,0.036458333333333336
stage3_gated_bp,8,SafeTAE-slice-aware,0.010416666666666666
mrc_ridge_abstain,6,SafeTAE-slice-aware,0.0078125
sra_basic_ablation,6,SafeTAE-slice-aware,0.0078125
sra_balanced,4,SafeTAE-slice-aware,0.005208333333333333
