variant,mse,mse_delta_pct_vs_lrbn,oracle_gain_fraction
SRA-BP-safe,4.813148680992863,-1.6552167202647812,0.09108456508752337
SRA-BP-balanced,4.766982513125085,-2.59850812165216,0.1429927448408212
MRC-ridge-abstain,4.835279636495446,-1.2030254080063634,0.0662010265700859
SafeTAE-mrc-features,4.827036239305241,-1.3714588311575207,0.07546971320555687
SafeTAE-no-mrc-features,4.8297836581958,-1.3153221246650946,0.07238057845135419
SafeTAE-expert-thresholds,4.822207267089571,-1.470126929008454,0.08089929875211184
SafeTAE-expert-lambda,4.828304296009807,-1.3455492302282313,0.07404393934564922
SafeTAE-slice-aware,4.84124377691552,-1.0811629568920336,0.05949508394374992
SafeTAE-config-veto,4.848047577193097,-0.9421441343426503,0.051845047041715255
SafeTAE-pareto-safe,4.848047577193097,-0.9421441343426503,0.051845047041715255
SafeTAE-pareto-balanced,4.823967756067715,-1.4341556931008765,0.07891984534387289
SafeTAE-pareto-aggressive-diagnostic,4.791335549853788,-2.1009140781168645,0.11561074918390035
