variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,ci95_low_mse_delta,ci95_high_mse_delta,method,mean_win_size,mean_loss_size,win_loss_ratio,top5_loss_contribution,p_bootstrap_delta_lt_zero,max_per_config_harm_rate,worst_config_mse_delta_pct_vs_lrbn,reference_only
LRBN,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,False,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,
TAE-oracle-best,768,4.004776228998621,1.473462565133926,4.894157596003544,1.682162338434372,-0.889381367004924,-18.17230744498177,-12.406636820440541,0.0,1.0,0.0,1.0,8.0,8.0,False,0.0,0,0.0,0.9999999999988757,-0.9871010990575995,-0.8032505349126827,,,,,,,,,
SRA-BP-safe,768,4.813148680992863,1.6609504547937923,4.894157596003544,1.682162338434372,-0.0810089150106816,-1.6552167202647812,-1.2609890870712976,0.03515625,0.15234375,0.11458333333333333,1.0,8.0,8.0,False,0.0,0,0.0,0.09108456508752337,-0.10428529361638128,-0.05819955040863004,,,,,,,,,
SRA-BP-balanced,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.19791666666666666,1.0,8.0,8.0,False,0.0,0,0.0,0.1429927448408212,-0.15384714945596734,-0.09920247122496113,,,,,,,,,
MRC-ridge-abstain,768,4.835279636495446,1.6684196707975232,4.894157596003544,1.682162338434372,-0.058877959508098494,-1.2030254080063634,-0.8169644059409285,0.026041666666666668,0.07552083333333333,0.11458333333333333,1.0,8.0,8.0,False,0.0,0,0.0,0.0662010265700859,-0.0878756740161868,-0.03199010580917086,,,,,,,,,
SafeTAE-safe,768,4.804842746654656,1.6608366693376846,4.894157596003544,1.682162338434372,-0.0893148493488878,-1.824927935286098,-1.2677533245548938,0.0182291666666666,0.49609375,0.0833333333333333,,5.0,8.0,False,0.51953125,399,0.0350877192982456,0.1004235659281106,-0.1107679459821265,-0.0678027695467502,SafeTAE-safe,0.2133915103066281,0.90774008049139,0.2350799667679237,1.0,1.0,0.0833333333333333,1.0249267482063416,True
TAE-router-stage6,768,5.329668276649817,1.722547882088964,4.894157596003544,1.682162338434372,0.4355106806462717,8.898583080202448,2.400811294592338,0.3059895833333333,0.6927083333333334,,,,,False,0.0,0,0.0,,,,TAE-router-stage6,0.5730619833379015,2.7206007569025545,0.2106380290373663,0.621848422545585,,,,True
TAE-ranker-stage6,768,5.913438663449831,1.823556725143764,4.894157596003544,1.682162338434372,1.019281067446287,20.826486384418025,8.40551370329925,0.39453125,0.60546875,,,,,False,0.0,0,0.0,,,,TAE-ranker-stage6,0.924166494563918,4.001799603204523,0.2309377239965978,0.4217783896426891,,,,True
SafeTAE-mrc-features,768,4.827036239305241,1.6667102282515958,4.894157596003544,1.682162338434372,-0.0671213566983032,-1.3714588311575207,-0.9185861398668149,0.044270833333333336,0.6276041666666666,0.20833333333333334,1.0,8.0,8.0,False,0.6927083333333334,532,0.06390977443609022,0.07546971320555687,-0.08298705995440032,-0.05205103346237081,,,,,,,,,
SafeTAE-no-mrc-features,768,4.8297836581958,1.6673119202896138,4.894157596003544,1.682162338434372,-0.06437393780774492,-1.3153221246650946,-0.8828171762719463,0.0390625,0.6223958333333334,0.20833333333333334,1.0,8.0,8.0,False,0.6770833333333334,520,0.057692307692307696,0.07238057845135419,-0.07982545766721186,-0.05032688511601479,,,,,,,,,
